Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Boyd Group Income Fund,1.05,0.90,0.25,0.33,1.05,-0.1381,-0.0201,2.0486,-0.0411,-0.8900,0.7025,0.2975,2.3614,0.22,0.55,4.82,0.13,27.32,13.71,2.05,146.10,41.168,15.5x,23.0x,18.9x,4.3x,1.0x,-205.1x,15.5x,0.32,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Boyd Group Income Fund,1.28,1.14,0.53,0.47,1.28,-0.1126,-0.0181,1.7304,-0.0314,-1.0000,0.7212,0.2788,2.5873,-0.57,0.49,5.25,0.15,28.75,15.22,1.73,27.41,67.038,13.1x,18.1x,14.4x,2.9x,1.1x,-65.9x,5.4x,0.492,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Boyd Group Income Fund,1.17,1.03,0.49,0.55,1.17,-0.1188,-0.0187,1.8376,-0.0344,-1.3300,0.7106,0.2894,2.4550,-0.89,2.90,4.49,0.18,30.38,18.12,1.84,46.11,101.201,12.8x,17.9x,12.4x,3.5x,1.1x,-35.6x,6.0x,0.504,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Boyd Group Income Fund,1.03,0.90,0.30,0.51,1.03,0.1082,0.0219,1.8808,0.0412,1.6800,0.6196,0.3804,1.6289,-6.78,1.96,4.00,0.20,31.98,15.79,1.88,224.09,114.277,14.4x,19.7x,40.8x,3.8x,1.2x,78.4x,5.7x,0.516,4.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Boyd Group Income Fund,0.98,0.86,0.22,0.56,0.98,0.1329,0.0372,1.5518,0.0578,3.1600,0.5651,0.4349,1.2994,-5.67,1.62,4.23,0.21,31.51,15.01,1.55,-378.27,135.087,17.3x,24.8x,23.3x,3.5x,1.5x,44.8x,5.8x,0.528,5.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Boyd Group Income Fund,0.81,0.67,0.21,0.63,0.81,0.1359,0.0416,1.5117,0.0629,3.9400,0.5370,0.4630,1.1598,-10.95,2.38,3.95,0.29,24.45,17.74,1.51,-32.12,167.722,14.9x,21.9x,18.4x,3.1x,1.3x,29.7x,4.2x,0.54,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Boyd Group Income Fund,0.57,0.45,0.09,0.74,0.57,0.1048,0.0281,1.2010,0.0337,3.2300,0.6782,0.3218,2.1071,-3.45,1.48,6.02,0.23,26.02,20.25,1.20,-13.06,214.323,23.9x,33.3x,31.9x,3.3x,2.3x,51.3x,7.0x,0.184,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Boyd Group Income Fund,0.67,0.57,0.20,0.75,0.67,0.0620,0.0283,0.9934,0.0281,2.6700,0.5471,0.4529,1.2082,-2.86,0.30,6.60,0.27,26.42,17.95,0.99,-15.67,165.852,31.5x,52.8x,43.7x,3.3x,2.7x,96.1x,5.4x,0.564,4.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Boyd Group Income Fund,0.64,0.46,0.08,0.54,0.64,0.0324,0.0126,0.9238,0.0116,1.3900,0.6416,0.3584,1.7905,-2.16,1.00,10.83,0.15,15.53,18.18,0.92,-14.08,151.821,33.4x,64.2x,45.2x,2.6x,2.4x,97.1x,4.7x,0.576,3.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Boyd Group Income Fund,0.65,0.46,0.04,0.62,0.65,0.0549,0.0168,1.1567,0.0195,2.5800,0.6450,0.3550,1.8166,-2.57,0.77,8.48,0.19,17.20,17.47,1.16,-16.33,216.421,27.4x,49.7x,44.8x,2.5x,1.8x,83.4x,4.6x,0.588,3.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
