Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Brookfield Infrastructure Partners LP,2.12,2.08,0.90,1.16,2.12,-0.0095,-0.0345,0.1164,0.0041,-0.3500,0.5788,0.4212,1.3743,-1.06,0.20,10.16,0.08,37.41,5.83,0.12,2.73,948.687,13.1x,21.0x,70.8x,1.1x,6.2x,-54.7x,1.5x,0,4.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Brookfield Infrastructure Partners LP,1.90,1.87,0.23,0.84,1.90,0.0160,0.0525,0.1166,0.0139,0.3500,0.6167,0.3833,1.6091,-1.85,0.34,10.56,0.07,40.29,7.18,0.12,2.60,"1,115.221",12.2x,19.5x,15.6x,1.1x,6.1x,28.9x,1.7x,0.8894,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Brookfield Infrastructure Partners LP,1.28,1.27,0.16,0.52,1.28,0.0236,0.0911,0.1046,0.0220,0.6400,0.5954,0.4046,1.4714,-2.05,0.48,11.44,0.06,61.39,6.18,0.10,5.41,"1,280.644",11.5x,19.8x,52.5x,1.1x,5.8x,28.5x,1.6x,1.1766,4.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Brookfield Infrastructure Partners LP,1.08,1.01,0.52,0.50,1.08,0.0296,0.1348,0.0994,0.0248,1.0100,0.5467,0.4533,1.2060,-2.39,0.18,13.13,0.06,10.52,5.35,0.10,18.08,"1,189.739",18.0x,34.6x,66.2x,1.2x,8.3x,44.0x,2.1x,1.2569,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Brookfield Infrastructure Partners LP,0.97,0.90,0.24,0.95,0.97,0.0008,0.0031,0.1199,0.0195,-0.0350,0.5429,0.4571,1.1877,-2.75,0.56,8.96,0.09,13.97,4.79,0.12,-67.98,"2,246.599",15.2x,26.9x,30.6x,1.2x,7.1x,192.2x,2.3x,1.3125,4.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Brookfield Infrastructure Partners LP,0.94,0.88,0.22,0.56,0.94,0.0131,0.0413,0.1272,0.0220,0.5400,0.5990,0.4010,1.4939,-3.11,0.35,9.87,0.06,15.66,4.46,0.13,-32.99,"3,031.621",10.2x,15.3x,22.6x,1.1x,5.1x,51.5x,2.0x,1.5397,4.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Brookfield Infrastructure Partners LP,1.07,1.03,0.15,0.39,1.07,0.0023,0.0079,0.1172,0.0115,0.0580,0.6061,0.3939,1.5390,-2.03,0.20,11.68,0.06,19.05,3.79,0.12,16.41,"3,795.486",12.1x,20.1x,27.1x,1.2x,5.5x,244.5x,2.8x,1.566,4.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Brookfield Infrastructure Partners LP,0.67,0.63,0.16,0.46,0.67,0.0072,0.0176,0.1449,0.0147,0.3500,0.6466,0.3534,1.8298,-2.01,0.29,10.63,0.06,29.63,6.02,0.14,-4.90,"4,746.127",15.0x,26.8x,15.6x,1.2x,6.2x,-145.9x,4.0x,1.6456,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Brookfield Infrastructure Partners LP,0.57,0.52,0.16,0.32,0.57,0.0248,0.0567,0.1560,0.0368,1.7400,0.6432,0.3568,1.8025,-3.27,0.12,9.67,0.06,20.62,6.15,0.16,-3.06,"6,221.488",13.7x,23.9x,15.9x,1.2x,5.9x,27.1x,3.9x,1.7198,3.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Brookfield Infrastructure Partners LP,0.80,0.73,0.15,0.37,0.80,0.0049,0.0087,0.1977,0.0188,0.2600,0.6498,0.3502,1.8555,-2.04,0.27,8.40,0.07,19.79,6.24,0.20,-8.53,"7,638.986",10.9x,17.7x,53.7x,1.1x,4.3x,186.1x,3.1x,1.9497,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
