Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Empire Company Ltd,1.02,0.55,0.24,0.41,1.02,0.1010,0.0217,2.4470,0.0544,1.8300,0.4740,0.5260,0.9010,-12.11,2.23,3.85,0.23,14.79,45.78,2.45,496.38,878.9,5.4x,8.9x,NA,1.1x,0.3x,12.9x,1.3x,,7.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Empire Company Ltd,1.01,0.50,0.17,0.31,1.01,0.0410,0.0112,1.7192,0.0199,0.6300,0.5311,0.4689,1.1325,-2.62,0.85,6.53,0.12,12.15,45.83,1.72,797.32,996.4,10.6x,17.9x,-24.5x,1.0x,0.5x,25.4x,1.1x,0.26,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Empire Company Ltd,0.91,0.41,0.12,0.47,0.91,0.0694,0.0174,2.0981,0.0381,1.5100,0.4733,0.5267,0.8984,-5.38,0.65,4.79,0.21,14.23,48.12,2.10,-112.57,"1,133.2",7.9x,12.2x,12.6x,1.2x,0.4x,22.0x,1.4x,0.36,6.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Empire Company Ltd,0.96,0.48,0.10,0.33,0.96,-0.5786,-0.0862,2.7065,-0.2314,-7.7800,0.5970,0.4030,1.4813,21.98,4.36,5.14,0.16,14.50,50.54,2.71,-214.14,"1,060.8",7.1x,12.4x,12.3x,1.1x,0.3x,-5.0x,1.2x,0.4,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Empire Company Ltd,0.87,0.34,0.08,0.28,0.87,0.0428,0.0066,2.7496,0.0198,0.5800,0.5742,0.4258,1.3484,-3.12,1.07,6.94,0.14,13.69,57.81,2.75,-73.75,719.6,8.6x,17.1x,47.3x,1.3x,0.3x,-7.0x,1.5x,0.41,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Empire Company Ltd,0.84,0.42,0.21,0.30,0.84,0.0423,0.0066,2.8068,0.0208,0.5900,0.5648,0.4352,1.2977,-3.49,2.16,7.04,0.18,14.63,56.12,2.81,-52.14,694.9,8.7x,15.7x,14.4x,1.5x,0.3x,57.1x,1.8x,0.42,4.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Empire Company Ltd,0.98,0.45,0.21,0.33,0.98,0.0949,0.0153,2.6295,0.0434,1.4200,0.5748,0.4252,1.3518,-8.17,1.30,5.95,0.16,13.22,56.84,2.63,-604.05,927.7,13.8x,30.5x,31.8x,1.6x,0.4x,24.1x,2.1x,0.44,5.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Empire Company Ltd,0.80,0.44,0.25,0.51,0.80,0.1454,0.0219,1.8231,0.0419,2.1600,0.7257,0.2743,2.6456,-4.07,1.97,7.44,0.20,13.40,44.19,1.82,-33.16,"1,426.8",9.1x,15.3x,23.4x,1.4x,0.5x,15.7x,2.2x,0.48,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Empire Company Ltd,0.92,0.49,0.26,0.53,0.92,0.1560,0.0248,1.8674,0.0504,2.6100,0.7036,0.2964,2.3735,-4.91,1.52,6.46,0.17,14.05,44.41,1.87,-96.15,"1,652.4",9.6x,12.7x,16.0x,1.5x,0.6x,14.6x,2.4x,0.52,4.8,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Empire Company Ltd,0.76,0.38,0.19,0.50,0.76,0.1453,0.0246,1.8243,0.0489,2.8100,0.6906,0.3094,2.2322,-4.92,2.24,6.38,0.18,14.14,47.85,1.82,-29.48,"1,797.5",9.6x,13.1x,17.5x,1.4x,0.6x,14.7x,2.3x,0.6,4.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
