Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,George Weston Limited,1.56,1.21,0.45,0.28,1.56,0.0736,0.0200,1.3649,0.0367,4.4700,0.6291,0.3709,1.6963,-3.37,1.33,6.22,0.12,11.27,10.37,1.36,9.42,"2,489",8.3x,12.9x,49.0x,1.0x,0.6x,21.7x,1.9x,0.83,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,George Weston Limited,1.60,0.96,0.19,0.41,1.60,0.0087,0.0029,1.1823,0.0036,0.6400,0.6103,0.3897,1.5664,-1.20,0.66,7.43,0.13,7.15,11.11,1.18,10.58,"3,051",11.6x,22.2x,-72.8x,1.1x,0.8x,130.8x,2.0x,2.1,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,George Weston Limited,1.39,0.85,0.17,0.40,1.39,0.0343,0.0109,1.2269,0.0217,3.6600,0.6104,0.3896,1.5668,-2.87,1.37,6.63,0.14,7.45,11.00,1.23,14.27,"3,520",8.7x,14.1x,15.7x,1.1x,0.7x,27.5x,2.0x,1.7,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,George Weston Limited,1.48,0.90,0.20,0.48,1.48,0.0372,0.0115,1.2649,0.0287,3.9600,0.6102,0.3898,1.5657,-3.67,1.90,6.08,0.16,7.48,11.42,1.26,12.80,"3,811",9.1x,15.1x,14.5x,1.2x,0.7x,26.6x,2.1x,1.76,6.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,George Weston Limited,1.31,0.82,0.21,0.36,1.31,0.0518,0.0159,1.2530,0.0412,5.6500,0.6161,0.3839,1.6049,-4.59,3.36,6.70,0.14,7.32,10.89,1.25,16.51,"3,546",8.1x,12.7x,18.5x,1.1x,0.7x,18.1x,2.0x,1.82,6.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,George Weston Limited,1.23,0.71,0.16,0.28,1.23,0.0404,0.0118,1.1085,0.0228,4.0200,0.6758,0.3242,2.0846,-3.11,0.63,7.05,0.09,6.67,10.48,1.11,21.58,"4,202",9.9x,16.7x,23.2x,1.2x,0.7x,47.3x,2.0x,2.06,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,George Weston Limited,1.18,0.69,0.17,0.42,1.18,0.0184,0.0048,1.0480,0.0172,1.2900,0.7244,0.2756,2.6291,-2.13,1.37,7.80,0.13,6.48,10.42,1.05,26.35,"4,441",8.1x,13.2x,17.8x,1.2x,0.8x,440.1x,2.4x,2.1,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,George Weston Limited,1.33,0.79,0.26,0.55,1.33,0.0718,0.0181,1.1080,0.0329,5.9500,0.7209,0.2791,2.5831,-2.81,1.26,7.84,0.16,6.82,12.42,1.11,16.23,"4,420",9.0x,14.0x,13.6x,1.1x,0.7x,13.5x,2.1x,2.2,5.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,George Weston Limited,1.46,0.93,0.31,0.52,1.46,0.0328,0.0080,1.1416,0.0303,4.7300,0.7210,0.2790,2.5840,-3.27,1.32,6.15,0.15,7.05,12.07,1.14,12.08,"5,519",8.2x,11.5x,20.1x,1.4x,0.8x,39.1x,3.5x,2.4,5.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,George Weston Limited,1.36,0.82,0.22,0.45,1.36,0.1378,0.0318,1.1652,0.0573,12.3300,0.7308,0.2692,2.7146,-4.55,1.43,5.97,0.14,6.58,10.91,1.17,14.64,"5,988",8.1x,10.6x,19.9x,1.5x,0.9x,14.3x,4.2x,2.64,5.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
