Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Maple Leaf Foods Inc.,1.22,0.83,0.52,0.27,1.22,0.3023,0.1680,0.8210,0.1423,-1.1200,0.5438,0.4562,1.1919,2.18,0.77,272.61,0.13,7.23,19.36,0.82,13.64,7.179,27.2x,-458.1x,-15.1x,1.3x,1.1x,-39.1x,2.3x,0.08,5.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Maple Leaf Foods Inc.,2.75,1.78,1.28,-0.94,2.75,0.3163,0.2249,1.0976,0.2475,-1.5300,0.2197,0.7803,0.2816,6.01,0.36,-374.63,-0.57,7.81,24.16,1.10,4.66,-1.687,"1,393.4x",-21.9x,-5.7x,1.0x,0.7x,-10.9x,1.2x,0.16,10.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Maple Leaf Foods Inc.,2.52,1.43,0.89,0.48,2.52,0.0204,0.0126,1.2573,0.0159,0.3100,0.2206,0.7794,0.2830,-34.24,93.28,3.14,0.28,8.05,25.48,1.26,6.57,183.931,27.8x,562.4x,"-2,166.2x",1.4x,0.9x,-219.1x,1.5x,0.32,10.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Maple Leaf Foods Inc.,2.59,1.60,1.08,0.95,2.59,0.0870,0.0545,1.2656,0.0690,1.3800,0.2069,0.7931,0.2608,-114.35,109.79,1.51,0.66,7.34,27.10,1.27,5.58,361.636,11.1x,15.2x,26.8x,1.6x,1.0x,27.2x,1.8x,0.36,12,9,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Maple Leaf Foods Inc.,2.19,1.09,0.58,1.10,2.19,0.0800,0.0466,1.3379,0.0623,1.3000,0.2207,0.7793,0.2832,-56.40,78.10,1.70,0.67,7.62,29.41,1.34,8.48,342.705,11.8x,16.1x,25.1x,2.1x,1.3x,25.2x,2.2x,0.44,11.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Maple Leaf Foods Inc.,1.51,0.58,0.15,0.60,1.51,0.0505,0.0290,1.1132,0.0323,0.8200,0.3609,0.6391,0.5646,-15.44,10.83,4.05,0.26,6.39,25.20,1.11,13.86,279.709,10.5x,15.7x,45.7x,1.6x,1.0x,22.7x,1.7x,0.52,8.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Maple Leaf Foods Inc.,1.63,0.69,0.18,0.50,1.63,0.0383,0.0189,1.1217,0.0212,0.6000,0.4451,0.5549,0.8022,-4.02,4.25,6.23,0.17,6.64,25.90,1.12,11.62,251.161,13.8x,22.9x,-40.4x,1.4x,1.0x,46.3x,1.6x,0.58,7.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Maple Leaf Foods Inc.,1.32,0.54,0.15,0.48,1.32,0.0586,0.0263,1.1149,0.0293,0.9200,0.4994,0.5006,0.9976,-7.34,5.12,5.83,0.17,6.88,29.52,1.11,19.95,330.692,13.4x,23.3x,"1,934.7x",1.5x,1.0x,32.9x,1.8x,0.64,6.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Maple Leaf Foods Inc.,1.40,0.58,0.24,0.46,1.40,0.0505,0.0227,1.0308,0.0234,0.8300,0.5358,0.4642,1.1542,-9.05,5.50,7.32,0.13,7.05,29.49,1.03,16.84,321.153,14.1x,23.8x,-13.1x,1.4x,1.1x,28.9x,1.8x,0.72,6.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Maple Leaf Foods Inc.,1.65,0.66,0.14,0.08,1.65,-0.1878,-0.0658,1.0675,-0.0703,-2.5200,0.6259,0.3741,1.6734,4.64,0.57,17.89,0.02,6.85,26.88,1.07,11.51,155.317,33.0x,-233.7x,-12.1x,1.4x,1.1x,-10.6x,2.0x,0.8,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
