Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Metro Inc.,0.99,0.34,0.07,0.47,0.99,0.2348,0.0610,2.2511,0.1390,2.4200,0.4154,0.5846,0.7107,-22.99,1.50,2.66,0.27,13.55,37.97,2.25,-674.55,791.3,8.2x,10.3x,17.8x,1.8x,0.6x,7.8x,2.1x,0.1667,8.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Metro Inc.,1.11,0.35,0.03,0.40,1.11,0.1554,0.0386,2.1954,0.0864,1.7000,0.4552,0.5448,0.8355,-14.51,7.69,3.07,0.18,13.15,37.55,2.20,97.07,783.7,10.0x,12.7x,22.1x,2.1x,0.7x,16.3x,2.5x,0.4,8.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Metro Inc.,1.10,0.33,0.02,0.64,1.10,0.1758,0.0414,2.2691,0.0964,2.0300,0.4657,0.5343,0.8715,-13.60,1.02,2.93,0.27,13.29,42.21,2.27,112.04,855.4,12.5x,15.6x,28.0x,2.6x,0.9x,18.6x,3.4x,0.4667,8.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Metro Inc.,1.12,0.34,0.03,0.66,1.12,0.1945,0.0447,2.2811,0.1046,2.4100,0.4759,0.5241,0.9081,-14.56,3.54,2.90,0.27,13.82,41.74,2.28,101.90,919.3,12.8x,15.9x,24.2x,2.8x,0.9x,18.2x,3.8x,0.56,8.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Metro Inc.,1.05,0.39,0.12,0.54,1.05,0.1999,0.0449,2.1775,0.1006,2.5900,0.5107,0.4893,1.0438,-14.61,1.17,3.25,0.23,13.74,42.00,2.18,187.15,950.3,11.9x,14.9x,17.8x,2.6x,0.9x,16.7x,3.5x,0.65,7.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Metro Inc.,1.17,0.50,0.14,0.46,1.17,0.3014,0.1193,1.3169,0.1573,7.2000,0.4786,0.5214,0.9178,-28.08,0.70,4.91,0.14,11.66,26.73,1.32,50.99,"1,063.8",13.2x,16.7x,45.8x,1.5x,0.9x,6.0x,1.9x,0.72,8.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Metro Inc.,1.11,0.51,0.15,0.42,1.11,0.1192,0.0424,1.5141,0.0645,2.7900,0.4610,0.5390,0.8554,-10.55,5.11,3.82,0.16,13.22,27.43,1.51,79.58,"1,337.6",13.0x,16.4x,30.6x,2.0x,1.0x,21.5x,2.5x,0.8,9.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Metro Inc.,1.34,0.66,0.24,0.79,1.34,0.1292,0.0442,1.3407,0.0593,3.1500,0.5415,0.4585,1.1808,-9.18,1.81,4.39,0.20,12.51,24.66,1.34,28.10,"1,656.8",12.9x,15.6x,28.9x,1.9x,1.2x,20.6x,2.6x,0.9,8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Metro Inc.,1.12,0.59,0.20,0.72,1.12,0.1283,0.0450,1.3451,0.0607,3.3400,0.5282,0.4718,1.1195,-9.69,3.83,4.65,0.22,12.51,23.68,1.35,68.07,"1,542.8",12.2x,15.2x,23.6x,1.8x,1.1x,18.5x,2.4x,1,7.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Metro Inc.,1.12,0.44,0.01,0.75,1.12,0.1278,0.0448,1.4095,0.0634,3.5300,0.5061,0.4939,1.0249,-10.86,1.46,4.15,0.22,11.35,24.37,1.41,81.84,"1,634.9",12.3x,16.0x,29.8x,1.9x,1.1x,19.0x,2.5x,1.1,7.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
