Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,North West Company Inc,1.43,0.48,0.11,0.38,1.43,0.1993,0.0416,2.3014,0.0958,1.3300,0.5191,0.4809,1.0795,-14.86,0.97,2.57,0.23,5.47,25.57,2.30,17.27,135.319,10.7x,14.7x,27.4x,2.7x,0.9x,19.3x,3.9x,1.12,7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,North West Company Inc,2.16,0.76,0.20,0.79,2.16,0.1910,0.0387,2.2427,0.0868,1.3000,0.5454,0.4546,1.1996,-16.41,1.41,2.94,0.29,5.66,26.74,2.24,9.58,134.297,10.8x,15.0x,23.1x,2.7x,0.9x,20.2x,3.9x,1.16,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,North West Company Inc,2.16,0.80,0.24,0.86,2.16,0.1951,0.0389,2.2626,0.0879,1.4400,0.5495,0.4505,1.2197,-21.39,2.80,2.98,0.30,6.01,27.29,2.26,9.97,146.539,11.4x,15.7x,22.3x,3.0x,0.9x,21.3x,4.3x,1.24,7.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,North West Company Inc,2.15,0.75,0.20,0.83,2.15,0.2096,0.0418,2.2885,0.0956,1.5900,0.5436,0.4564,1.1910,-19.81,3.98,2.72,0.29,6.11,29.87,2.29,10.50,160.927,10.3x,14.3x,29.6x,2.6x,0.9x,18.4x,3.9x,1.24,7.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,North West Company Inc,1.96,0.66,0.15,0.83,1.96,0.1757,0.0338,2.1324,0.0749,1.3800,0.5895,0.4105,1.4360,-12.77,7.89,3.22,0.26,6.13,30.80,2.13,12.12,170.212,10.6x,15.2x,40.3x,2.4x,0.9x,21.3x,3.8x,1.28,6.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,North West Company Inc,1.91,0.71,0.20,0.79,1.91,0.2110,0.0431,1.7511,0.0788,1.7800,0.6426,0.3574,1.7976,-7.30,3.76,4.40,0.21,5.81,29.65,1.75,11.23,167.74,10.5x,15.1x,132.0x,2.3x,0.9x,17.0x,3.8x,1.28,6.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,North West Company Inc,2.06,0.78,0.15,0.83,2.06,0.1937,0.0395,1.7230,0.0710,1.7000,0.6487,0.3513,1.8469,-6.49,3.86,4.53,0.20,5.77,29.88,1.72,10.19,174.219,10.1x,16.8x,55.0x,1.9x,0.9x,16.9x,3.2x,1.32,6.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,North West Company Inc,1.26,0.54,0.23,1.07,1.26,0.2769,0.0593,1.9806,0.1205,2.8700,0.5759,0.4241,1.3577,-13.24,1.36,2.54,0.49,6.98,33.19,1.98,28.87,270.398,8.0x,11.0x,11.3x,2.1x,0.8x,12.7x,3.3x,1.44,6.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,North West Company Inc,1.37,0.53,0.17,0.76,1.37,0.2668,0.0688,1.8444,0.1291,3.2100,0.5241,0.4759,1.1015,-18.22,1.94,2.40,0.35,6.09,30.11,1.84,20.66,266.34,7.5x,9.7x,14.9x,2.1x,0.9x,11.1x,3.1x,1.48,7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,North West Company Inc,1.91,0.73,0.24,0.74,1.91,0.1886,0.0519,1.7599,0.0941,2.5500,0.5154,0.4846,1.0634,-12.71,5.01,2.76,0.27,5.46,28.98,1.76,10.40,250.043,8.9x,12.4x,66.3x,2.1x,0.9x,15.3x,3.0x,1.52,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
