Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Premium Brands Holdings Corporation,0.84,0.41,0.01,0.06,0.84,0.0606,0.0118,1.6003,0.0187,0.6000,0.6875,0.3125,2.1996,-1.88,0.39,6.61,0.03,7.91,12.66,1.60,-26.42,69.739,11.7x,16.8x,34.2x,1.5x,0.8x,34.8x,2.4x,0.625,3.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Premium Brands Holdings Corporation,2.11,1.10,0.08,0.18,2.11,0.0559,0.0094,1.6530,0.0154,0.5800,0.7232,0.2768,2.6131,-1.70,0.54,6.89,0.04,8.16,11.49,1.65,9.12,77.623,12.6x,18.7x,-70.3x,1.6x,0.8x,48.6x,2.6x,1.25,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Premium Brands Holdings Corporation,2.01,1.12,0.07,0.42,2.01,0.0365,0.0079,1.7338,0.0135,0.6800,0.6259,0.3741,1.6731,-4.12,1.84,4.80,0.13,8.47,9.99,1.73,9.24,111.6,13.1x,18.3x,34.5x,2.1x,1.0x,178.4x,3.7x,1.38,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Premium Brands Holdings Corporation,2.00,1.10,0.10,0.79,2.00,0.1616,0.0371,1.6569,0.0614,2.3900,0.6197,0.3803,1.6292,-6.42,2.09,4.49,0.22,8.84,11.24,1.66,9.79,154.8,16.9x,22.0x,42.5x,3.2x,1.4x,32.9x,5.1x,1.52,6.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Premium Brands Holdings Corporation,1.74,0.92,0.06,0.32,1.74,0.1617,0.0366,1.5062,0.0552,2.7000,0.6590,0.3410,1.9325,-5.67,1.71,5.26,0.09,8.16,10.75,1.51,11.14,182.9,19.2x,24.5x,54.9x,3.9x,1.7x,37.3x,7.0x,1.68,6.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Premium Brands Holdings Corporation,1.69,0.87,0.05,0.33,1.69,0.1189,0.0324,1.2348,0.0400,3.0200,0.6638,0.3362,1.9743,-3.52,2.88,6.61,0.08,7.14,9.98,1.23,10.62,246.1,15.5x,20.4x,"1,470.4x",1.9x,1.3x,25.9x,3.1x,1.9,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Premium Brands Holdings Corporation,1.72,0.85,0.04,0.36,1.72,0.0786,0.0231,1.2425,0.0287,2.3500,0.6353,0.3647,1.7419,-2.66,0.79,6.91,0.09,7.38,10.85,1.24,11.13,270.2,17.3x,24.5x,37.6x,2.0x,1.3x,39.4x,3.2x,2.1,5.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Premium Brands Holdings Corporation,2.48,1.57,0.74,0.46,2.48,0.0524,0.0206,1.1493,0.0236,2.1600,0.5486,0.4514,1.2155,-3.00,1.33,7.18,0.12,7.33,10.68,1.15,5.57,270.5,21.0x,32.1x,54.8x,2.1x,1.4x,57.3x,3.3x,2.31,6.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Premium Brands Holdings Corporation,2.09,0.98,0.03,0.11,2.09,0.0748,0.0269,1.1186,0.0301,3.0500,0.5977,0.4023,1.4854,-29.78,1.02,7.81,0.03,6.25,9.64,1.12,7.82,337.4,20.6x,29.5x,"-1,062.1x",2.2x,1.4x,47.0x,3.5x,2.54,6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Premium Brands Holdings Corporation,2.53,1.13,0.02,0.17,2.53,0.0883,0.0266,1.1873,0.0315,3.5900,0.6430,0.3570,1.8012,-5.63,0.90,8.99,0.03,6.27,11.01,1.19,7.00,363.2,18.0x,25.6x,-40.2x,1.6x,1.1x,28.2x,2.5x,2.8,6,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
