Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Primo Water Corp,1.43,0.77,0.13,0.44,1.43,0.0281,0.0081,1.4708,0.0155,0.1900,0.5755,0.4245,1.3556,-1.46,0.57,4.25,0.19,7.80,10.81,1.47,13.81,206.271,6.3x,12.7x,10.8x,1.0x,0.6x,24.6x,1.2x,0.12,3.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Primo Water Corp,1.08,0.68,0.13,0.09,1.08,0.0155,0.0051,0.6842,0.0053,0.1200,0.7730,0.2270,3.4048,0.13,0.13,13.69,0.02,6.96,7.17,0.68,41.64,203.351,6.9x,16.5x,9.2x,1.0x,0.6x,-31.8x,1.2x,0.2779,1.8,3,1,,,,,,,,,,,,,,,,,,,,,,,
2015,Primo Water Corp,1.13,0.69,0.14,0.45,1.13,0.0224,0.0122,0.4112,0.0050,-0.0300,0.7763,0.2237,3.4702,-1.02,0.90,13.15,0.11,2.15,4.30,0.41,15.70,235.782,9.0x,26.4x,14.1x,1.2x,1.0x,61.2x,1.8x,0.24,1.4,6,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Primo Water Corp,1.05,0.90,0.10,0.33,1.05,-0.0890,-0.0479,0.4120,-0.0197,-0.6300,0.7782,0.2218,3.5087,-0.09,6.20,15.73,0.09,6.20,6.52,0.41,37.66,261.716,16.5x,51.8x,57.9x,1.1x,2.0x,-156.6x,1.6x,0.3223,1.2,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Primo Water Corp,1.00,0.86,0.10,0.30,1.00,-0.0016,-0.0006,0.5545,-0.0003,-0.0330,0.7836,0.2164,3.6213,-0.61,1.49,11.75,0.09,8.95,8.48,0.55,"4,536.48",343.213,14.5x,53.6x,9.4x,1.6x,1.7x,-34.3x,2.7x,0.3017,1.6,4,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Primo Water Corp,1.13,0.90,0.30,0.26,1.13,0.3272,0.2138,0.5640,0.1206,0.1500,0.6314,0.3686,1.7132,-1.09,0.43,8.33,0.07,5.92,6.32,0.56,23.91,328.803,10.7x,35.6x,144.9x,1.2x,1.3x,55.1x,1.6x,0.3276,2.5,8,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Primo Water Corp,1.06,0.95,0.26,0.41,1.06,0.0025,0.0016,0.5295,0.0009,-0.1000,0.6561,0.3439,1.9076,-0.92,2.99,8.31,0.11,11.67,8.93,0.53,51.74,350.122,12.4x,36.3x,25.9x,1.2x,1.7x,-202.2x,1.6x,0.3116,1.9,4,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Primo Water Corp,0.81,0.65,0.21,0.32,0.81,-0.0978,-0.0674,0.5419,-0.0365,-1.2800,0.6263,0.3737,1.6763,0.87,0.28,7.21,0.08,10.02,9.49,0.54,-18.38,398.283,14.0x,42.2x,18.9x,1.4x,2.2x,-18.6x,1.8x,0.3054,2.4,3,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Primo Water Corp,0.72,0.58,0.18,0.36,0.72,-0.0024,-0.0015,0.5568,-0.0009,-0.0250,0.6455,0.3545,1.8205,-1.09,0.31,7.10,0.11,9.68,8.60,0.56,-10.37,428.043,12.4x,30.3x,27.0x,1.5x,2.1x,-138.5x,2.2x,0.3035,2.3,4,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Primo Water Corp,0.78,0.62,0.18,0.41,0.78,0.0231,0.0134,0.6041,0.0081,0.2500,0.6501,0.3498,1.8584,-1.71,3.14,6.20,0.12,8.22,9.21,0.60,-14.52,520.458,10.5x,28.6x,53.0x,1.3x,1.8x,82.7x,1.9x,0.3791,2.3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
