Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Saputo Inc,1.23,0.61,0.04,0.53,1.23,0.2090,0.0660,1.4051,0.0928,1.2200,0.5561,0.4439,1.2525,-23.73,9.57,3.36,0.22,8.36,11.68,1.41,25.52,860.772,12.5x,14.3x,NA,3.7x,1.5x,26.8x,4.5x,,7.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Saputo Inc,1.10,0.56,0.02,0.38,1.10,0.1878,0.0577,1.4524,0.0840,1.3700,0.5534,0.4466,1.2390,-15.37,2.88,3.45,0.19,8.80,11.44,1.45,54.07,"1,020.345",12.8x,15.0x,25.6x,2.9x,1.4x,21.1x,4.2x,0.345,7.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Saputo Inc,1.66,0.81,0.06,0.65,1.66,0.1674,0.0570,1.5672,0.0901,1.5500,0.4664,0.5336,0.8741,-16.92,1.11,2.99,0.24,9.54,13.59,1.57,13.61,"1,061.7",14.1x,16.6x,55.1x,3.0x,1.5x,23.9x,4.3x,0.52,8.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Saputo Inc,1.60,0.81,0.12,0.63,1.60,0.1477,0.0547,1.5325,0.0839,1.5300,0.4326,0.5674,0.7623,-21.30,2.84,2.64,0.27,9.11,13.12,1.53,13.42,"1,174.1",16.5x,20.0x,38.0x,2.9x,1.7x,26.5x,3.9x,0.54,9.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Saputo Inc,1.99,1.01,0.21,0.90,1.99,0.1684,0.0652,1.4694,0.0962,1.8600,0.4309,0.5691,0.7573,-31.69,1.83,2.54,0.33,8.42,12.93,1.47,9.40,"1,288.3",14.4x,17.1x,18.5x,3.2x,1.7x,25.2x,4.1x,0.6,9.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Saputo Inc,1.87,0.92,0.09,0.63,1.87,0.1777,0.0739,1.4423,0.1065,2.2100,0.4005,0.5995,0.6681,-32.14,1.87,2.55,0.25,8.33,12.22,1.44,10.22,"1,258.2",13.8x,16.5x,39.8x,2.8x,1.5x,18.1x,3.5x,0.64,10,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Saputo Inc,1.62,0.75,0.06,0.46,1.62,0.1393,0.0559,1.3658,0.0764,1.9400,0.4517,0.5483,0.8237,-17.10,1.04,3.74,0.20,7.31,10.82,1.37,11.24,"1,194.3",16.7x,22.1x,51.3x,2.5x,1.5x,23.3x,3.3x,0.66,8.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Saputo Inc,1.63,0.74,0.13,0.42,1.63,0.0889,0.0390,1.0834,0.0423,1.4600,0.5245,0.4755,1.1029,-8.16,0.59,5.23,0.14,6.07,10.89,1.08,9.48,"1,382.3",12.7x,17.6x,46.8x,1.7x,1.2x,22.3x,2.2x,0.68,7.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Saputo Inc,1.84,0.77,0.14,0.50,1.84,0.0971,0.0438,1.0892,0.0477,1.5300,0.5090,0.4910,1.0365,-9.98,0.85,4.87,0.16,5.59,11.75,1.09,7.93,"1,372",13.9x,19.9x,23.2x,1.8x,1.3x,25.4x,2.4x,0.7,8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Saputo Inc,1.54,0.64,0.06,0.25,1.54,0.0421,0.0182,1.0988,0.0200,0.6600,0.5246,0.4754,1.1035,-5.55,1.06,7.01,0.10,5.55,10.02,1.10,9.92,"1,024",15.0x,25.0x,83.0x,1.5x,1.1x,36.2x,1.9x,0.72,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
