Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Global Education Communities Corp,0.63,0.61,0.20,-0.10,0.63,-0.1244,-0.0595,0.7228,-0.0373,-0.0320,0.6541,0.3459,1.8909,44.83,0.97,-18.46,-0.06,33.57,4.63,0.72,-4.52,"-1,507.171",-13.7x,-6.2x,-4.0x,0.9x,0.9x,-5.9x,1.1x,,-3.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Global Education Communities Corp,0.78,0.76,0.16,-0.25,0.78,0.2191,0.1669,0.7415,0.1274,-0.0280,0.4352,0.5648,0.7705,-131.62,1.65,-15.33,-0.24,31.24,4.22,0.74,-8.18,"-1,183.601",-82.4x,-9.0x,-2.6x,0.7x,0.5x,-14.3x,1.0x,,-0.9,6,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Global Education Communities Corp,0.27,0.26,0.05,0.08,0.27,0.0288,0.0323,0.3989,0.0744,0.0160,0.5522,0.4478,1.2330,-71.82,4.54,64.40,0.07,27.31,4.03,0.40,-1.02,691.627,-40.0x,-22.7x,16.6x,1.0x,1.9x,-18.7x,1.1x,,-0.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Global Education Communities Corp,0.76,0.73,0.27,-0.04,0.76,0.0711,0.1082,0.3529,0.0900,0.0570,0.4632,0.5368,0.8629,-79.23,0.04,-89.90,-0.01,46.20,5.31,0.35,-9.04,-527.312,33.8x,54.3x,84.6x,1.1x,2.4x,6.4x,1.5x,,2.9,4,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Global Education Communities Corp,0.32,0.31,0.12,0.18,0.32,0.0310,0.0446,0.3209,0.0496,0.0330,0.5388,0.4612,1.1685,-111.70,1.09,19.86,0.12,41.31,5.78,0.32,-1.32,"4,528.612",84.0x,162.1x,28.4x,1.2x,3.4x,30.6x,1.8x,,1.9,4,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Global Education Communities Corp,0.75,0.74,0.45,0.27,0.75,0.1162,0.2662,0.2198,0.1331,0.2500,0.4964,0.5036,0.9856,-21.73,1.95,12.69,0.12,38.32,6.08,0.22,-4.02,"13,337",23.8x,28.0x,15.1x,1.0x,3.6x,5.5x,1.5x,,4.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Global Education Communities Corp,0.62,0.61,0.19,-0.12,0.62,0.0135,0.0368,0.1822,0.0383,0.0340,0.5017,0.4983,1.0070,-3.38,0.74,32.62,-0.05,43.03,5.71,0.18,-2.28,"5,994",51.0x,88.4x,63.7x,0.9x,3.9x,4.5x,0.9x,,3.8,1,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Global Education Communities Corp,0.34,0.34,0.14,0.05,0.34,0.0068,0.0196,0.1381,-0.0105,0.0170,0.6012,0.3988,1.5073,-0.22,0.69,46.86,0.03,39.08,4.35,0.14,-0.59,"5,809",41.3x,71.9x,-26.1x,0.9x,5.5x,7.1x,0.8x,,2.4,3,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Global Education Communities Corp,0.34,0.34,0.09,0.08,0.34,0.0231,0.0773,0.1173,0.0100,0.0660,0.6078,0.3922,1.5495,-1.60,1.16,87.92,0.05,30.13,5.15,0.12,-0.45,"3,588",66.4x,137.8x,-49.0x,0.9x,7.1x,19.5x,0.8x,,2.2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Global Education Communities Corp,0.15,0.15,0.04,0.03,0.15,-0.0946,-0.2094,0.1533,-0.1167,-0.2200,0.6608,0.3392,1.9484,3.89,0.40,-17.62,0.02,42.28,8.21,0.15,-0.38,"-17,913",62.3x,89.4x,48.1x,1.0x,6.7x,-22.1x,0.9x,,0.6,4,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
