Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Alimentation Couche Tard Inc,1.05,0.78,0.21,0.37,1.05,0.1781,0.0161,3.3703,0.0543,0.5200,0.6950,0.3050,2.2786,-7.18,0.52,5.48,0.16,36.56,23.57,3.37,248.73,"1,357,857.27",12.0x,17.9x,NA,2.1x,0.4x,21.0x,3.5x,,5.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Alimentation Couche Tard Inc,1.21,0.89,0.19,0.54,1.21,0.2040,0.0214,3.6000,0.0770,0.7900,0.6229,0.3771,1.6518,-10.65,0.81,4.32,0.22,38.88,23.39,3.60,68.76,"1,678,473.006",11.9x,18.4x,15.7x,2.8x,0.5x,19.9x,4.3x,0.05,6.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Alimentation Couche Tard Inc,1.11,0.78,0.23,0.69,1.11,0.2381,0.0269,3.1310,0.0843,1.0000,0.6461,0.3539,1.8256,-16.43,1.45,3.81,0.24,35.36,31.78,3.13,126.95,"2,276,192.745",13.1x,17.8x,20.0x,4.0x,0.6x,22.9x,5.5x,0.1125,6.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Alimentation Couche Tard Inc,1.08,0.78,0.23,0.71,1.08,0.2363,0.0349,2.7840,0.0971,1.3300,0.5890,0.4110,1.4330,-17.39,1.44,3.18,0.26,34.36,28.50,2.78,153.80,"2,874,745.481",12.7x,17.5x,25.5x,3.5x,0.8x,22.4x,5.3x,0.135,7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Alimentation Couche Tard Inc,0.98,0.71,0.20,0.59,0.98,0.2012,0.0319,2.6720,0.0852,1.4500,0.5764,0.4236,1.3605,-14.18,5.90,3.41,0.24,36.33,29.08,2.67,-479.80,"3,276,224.996",12.5x,17.6x,25.4x,3.0x,0.8x,23.2x,4.5x,0.18,6.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Alimentation Couche Tard Inc,1.07,0.74,0.16,0.52,1.07,0.2118,0.0325,2.2194,0.0724,1.8900,0.6594,0.3406,1.9359,-7.33,1.33,5.09,0.14,31.62,29.48,2.22,176.55,"3,848,380.17",11.8x,16.5x,27.3x,1.9x,0.7x,15.7x,3.3x,0.18,6.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Alimentation Couche Tard Inc,0.77,0.51,0.13,0.55,0.77,0.1997,0.0310,2.6149,0.0806,2.1900,0.5939,0.4061,1.4624,-8.67,1.33,3.82,0.23,34.01,36.54,2.61,-46.89,"4,726,777.446",11.1x,15.5x,17.5x,2.4x,0.7x,17.2x,3.8x,0.25,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Alimentation Couche Tard Inc,1.72,1.39,0.97,0.99,1.72,0.2338,0.0435,2.1080,0.0918,2.9500,0.6080,0.3920,1.5510,-11.34,1.96,3.92,0.24,35.95,54.05,2.11,20.15,"5,608,067.283",9.6x,13.9x,17.2x,2.0x,0.7x,15.0x,3.1x,0.28,7.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Alimentation Couche Tard Inc,1.20,0.90,0.51,0.69,1.20,0.2221,0.0591,1.6116,0.0953,3.0500,0.5710,0.4290,1.3311,-12.91,1.69,3.59,0.25,20.17,30.22,1.61,39.04,"5,642,233.344",9.7x,12.1x,17.6x,2.0x,1.0x,13.5x,3.0x,0.35,7.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Alimentation Couche Tard Inc,1.22,0.82,0.36,0.66,1.22,0.2157,0.0427,2.1226,0.0907,3.2100,0.5797,0.4203,1.3792,-12.95,1.97,3.76,0.23,21.56,28.84,2.12,47.91,"5,807,256.987",11.3x,14.4x,23.2x,2.4x,0.9x,16.6x,3.6x,0.44,7.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
