Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,ARC Resources Ltd.,0.52,0.52,0.00,2.08,0.52,0.0709,0.1718,0.2443,0.0420,0.7700,0.4079,0.5921,0.6890,-8.88,9.61,2.46,0.34,#DIV/0!,7.97,0.24,-7.54,"950,200",10.1x,22.0x,385.9x,2.4x,7.4x,29.8x,2.7x,0.4,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,ARC Resources Ltd.,0.74,0.74,0.02,2.62,0.74,0.1072,0.2104,0.2861,0.0602,1.2000,0.4385,0.5615,0.7809,-11.79,10.18,1.92,0.42,#DIV/0!,11.00,0.29,-16.09,"1,445,800",7.6x,17.9x,80.0x,2.0x,5.0x,28.5x,2.3x,1.2,5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,ARC Resources Ltd.,2.04,2.04,0.67,2.76,2.04,-0.1011,-0.3143,0.1838,-0.0578,-1.0100,0.4288,0.5712,0.7507,6.03,3.65,2.64,0.27,#DIV/0!,9.38,0.18,4.21,"964,800",5.6x,149.4x,29.0x,1.5x,5.5x,-33.2x,1.7x,1.2,4.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,ARC Resources Ltd.,2.58,2.58,0.50,1.41,2.58,0.0578,0.2066,0.1627,0.0336,0.5700,0.4183,0.5817,0.7190,-5.81,5.97,5.52,0.25,#DIV/0!,5.93,0.16,1.38,"454,100",15.7x,-112.3x,"-2,714.9x",2.1x,9.8x,-394.2x,2.4x,0.6,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,ARC Resources Ltd.,1.65,1.65,0.44,1.35,1.65,0.1060,0.3218,0.1942,0.0625,1.1000,0.4105,0.5895,0.6964,-14.42,7.57,2.75,0.26,#DIV/0!,9.13,0.19,3.76,"929,600",7.4x,15.6x,-22.4x,1.3x,4.9x,10.8x,1.4x,0.6,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,ARC Resources Ltd.,1.97,1.97,0.91,3.03,1.97,0.0582,0.1532,0.2320,0.0355,0.6000,0.3890,0.6110,0.6367,-8.09,7.08,2.71,0.37,#DIV/0!,16.44,0.23,5.08,"863,700",4.9x,14.3x,75.3x,0.8x,2.5x,22.4x,0.8x,0.6,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,ARC Resources Ltd.,0.53,0.53,0.02,1.75,0.53,-0.0080,-0.0226,0.2115,-0.0048,-0.0780,0.4047,0.5953,0.6798,1.95,0.96,5.61,0.27,#DIV/0!,10.57,0.21,-7.11,"416,700",5.0x,16.4x,-241.1x,0.9x,3.1x,20.4x,0.8x,0.6,3.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,ARC Resources Ltd.,0.44,0.44,0.00,1.78,0.44,-0.1961,-0.4824,0.2290,-0.1105,-1.5500,0.4367,0.5633,0.7753,15.85,0.27,3.82,0.30,279.56,8.37,0.23,-5.52,"566,100",8.1x,-18.7x,82.0x,0.8x,2.7x,-3.1x,0.8x,0.24,3.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,ARC Resources Ltd.,0.48,0.47,0.00,1.33,0.48,0.1327,0.1925,0.3591,0.0691,1.2600,0.4791,0.5209,0.9199,-8.89,0.24,2.73,0.37,83.30,6.44,0.36,-5.23,"2,000,300",10.0x,29.4x,9.5x,1.3x,4.2x,35.0x,1.5x,0.4,4.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,ARC Resources Ltd.,0.57,0.57,0.03,2.23,0.57,0.3460,0.3005,0.6592,0.1981,3.4800,0.4276,0.5724,0.7470,-31.64,0.48,1.16,0.77,460.81,9.17,0.66,-10.51,"4,273,000",2.8x,3.9x,5.7x,1.4x,1.6x,4.4x,1.5x,0.6,6.1,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
