Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Athabasca Oil Corp,8.04,8.04,1.48,-0.06,8.04,-0.0374,-1.1373,0.0255,-0.0290,-0.3200,0.2230,0.7770,0.2870,4.02,0.36,-78.65,-0.01,#DIV/0!,2.79,0.03,0.08,"-12,312",-176.5x,-25.1x,-1.3x,0.7x,27.4x,11.8x,0.8x,,9.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Athabasca Oil Corp,6.33,6.33,3.11,0.11,6.33,-0.0719,-1.9847,0.0267,-0.0529,-0.5700,0.2638,0.7362,0.3583,20.15,1.21,54.34,0.02,#DIV/0!,3.57,0.03,0.13,"20,860",59.9x,-8.8x,6.4x,0.3x,9.3x,-7.5x,0.3x,,8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Athabasca Oil Corp,12.92,12.77,9.68,-1.17,12.92,-0.2807,-8.2452,0.0244,-0.2012,-1.7300,0.2831,0.7169,0.3949,36.87,2.80,-20.05,-0.07,9.07,4.86,0.02,0.12,"-48,897",-23.7x,-3.0x,-5.1x,0.2x,10.6x,-2.8x,0.2x,,6.9,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Athabasca Oil Corp,1.23,1.21,1.03,-0.11,1.23,-0.6016,-5.3912,0.0770,-0.4149,-2.3100,0.3104,0.6896,0.4501,14.23,0.20,-12.15,-0.10,13.16,3.73,0.08,1.18,"-57,685",-12.0x,-2.5x,-10.9x,0.3x,5.3x,-1.1x,0.4x,,4.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Athabasca Oil Corp,3.19,2.91,1.24,0.47,3.19,-0.1374,-0.2711,0.3324,-0.0901,-0.4200,0.3439,0.6561,0.5240,2.01,0.10,5.16,0.08,16.11,7.13,0.33,2.68,"154,692",9.7x,-8.2x,-4.2x,0.4x,1.5x,-0.7x,0.3x,,4.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Athabasca Oil Corp,1.62,1.46,0.47,0.54,1.62,-0.5897,-0.7202,0.4332,-0.3120,-1.1100,0.4709,0.5291,0.8900,7.78,1.29,16.01,0.10,26.46,24.45,0.43,8.19,"53,697",5.1x,-6.7x,-15.8x,0.5x,1.0x,-1.8x,0.4x,,0.8,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Athabasca Oil Corp,2.60,2.36,1.43,0.52,2.60,0.2023,0.3008,0.3921,0.1179,0.4700,0.4172,0.5828,0.7159,-4.85,1.39,4.41,0.11,12.81,8.67,0.39,2.89,"197,970",6.8x,-1.8x,-11.8x,0.4x,0.9x,-1.3x,0.3x,,4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Athabasca Oil Corp,2.46,2.18,1.50,-0.21,2.46,-1.1596,-1.4339,0.3216,-0.4611,-1.2400,0.6024,0.3976,1.5149,8.27,0.31,148.69,-0.03,13.40,7.76,0.32,2.87,"5,777",10.7x,-6.8x,-6.9x,0.4x,1.1x,-0.1x,0.1x,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Athabasca Oil Corp,1.29,1.14,0.78,0.68,1.29,0.4460,0.4676,0.5617,0.2627,0.8600,0.4111,0.5889,0.6981,-6.99,0.31,2.62,0.27,13.70,11.06,0.56,11.70,"272,898",5.5x,16.2x,10.4x,0.8x,1.3x,38.0x,1.0x,,3.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Athabasca Oil Corp,1.30,1.09,0.72,1.15,1.30,0.3346,0.4252,0.6035,0.2566,1.0100,0.2331,0.7669,0.3039,-3.10,1.03,1.79,0.61,14.37,15.05,0.60,16.39,"289,800",6.1x,10.9x,16.7x,0.9x,1.3x,3.0x,1.0x,,6.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
