Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Baytex Energy Corp,0.91,0.90,0.07,2.37,0.91,0.1285,0.1478,0.4134,0.0611,1.3300,0.5247,0.4753,1.1040,-6.02,14.74,2.36,0.45,288.23,7.87,0.41,-45.90,"600,125",10.4x,25.7x,-68.2x,3.0x,5.4x,31.5x,4.0x,1.54,3.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Baytex Energy Corp,0.90,0.90,0.00,1.91,0.90,-0.0530,-0.0868,0.2455,-0.0213,-0.8900,0.5977,0.4023,1.4855,-1.02,1.03,3.16,0.24,#DIV/0!,7.52,0.25,-33.92,"1,178,419",5.6x,11.4x,13.1x,1.1x,3.6x,12.4x,1.1x,1.2,3.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Baytex Energy Corp,0.77,0.77,0.00,2.05,0.77,-0.4733,-1.2987,0.1603,-0.2082,-5.7700,0.5601,0.4399,1.2732,13.38,0.99,5.72,0.18,#DIV/0!,8.97,0.16,-13.98,"537,605",9.0x,-7.0x,-6.8x,0.6x,2.5x,-0.9x,0.3x,1.2,1.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Baytex Energy Corp,0.78,0.78,0.02,1.64,0.78,-0.2452,-0.8060,0.1310,-0.1056,-2.2900,0.5692,0.4308,1.3215,6.31,1.49,12.14,0.09,#DIV/0!,5.37,0.13,-17.75,"215,440",4.1x,-6.3x,6.9x,0.8x,5.5x,-2.8x,0.7x,0,0.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Baytex Energy Corp,0.67,0.67,0.00,1.65,0.67,0.0455,0.1016,0.1962,0.0199,0.3700,0.5620,0.4380,1.2832,-0.34,2.86,5.61,0.13,#DIV/0!,7.60,0.20,-13.03,"437,641",6.8x,-4.9x,35.2x,0.7x,3.2x,-2.5x,0.5x,0,1.6,6,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Baytex Energy Corp,0.73,0.73,0.00,1.87,0.73,-0.1065,-0.2917,0.1749,-0.0510,-0.9300,0.5209,0.4791,1.0872,2.95,3.75,4.91,0.15,#DIV/0!,10.00,0.17,-16.17,"676,014",7.2x,-98.2x,13.0x,0.6x,3.1x,-74.0x,0.4x,0,2.2,5,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Baytex Energy Corp,0.79,0.79,0.02,3.58,0.79,-0.0042,-0.0084,0.2512,-0.0021,-0.0220,0.5017,0.4983,1.0067,-0.30,2.58,3.29,0.28,#DIV/0!,8.55,0.25,-30.49,"900,442",2.9x,-59.8x,14.8x,0.6x,2.1x,-8.3x,0.3x,0,2.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Baytex Energy Corp,0.57,0.57,0.00,1.78,0.57,-4.2181,-3.0046,0.2382,-0.7156,-4.3500,0.8303,0.1697,4.8942,21.97,0.37,7.27,0.12,#DIV/0!,7.55,0.24,-9.40,"389,178",4.3x,-8.4x,8.8x,1.0x,2.2x,-0.1x,1.0x,0,-2.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Baytex Energy Corp,0.54,0.54,0.00,2.10,0.54,0.7297,1.0553,0.3163,0.3338,2.8600,0.5426,0.4574,1.1863,-18.49,1.43,1.13,0.27,#DIV/0!,8.82,0.32,-9.76,"2,326,886",2.2x,3.2x,2.7x,1.2x,2.9x,1.7x,1.3x,0,3.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Baytex Energy Corp,0.85,0.85,0.02,4.07,0.85,0.2823,0.3678,0.4558,0.1676,1.5300,0.4062,0.5938,0.6842,-11.28,1.94,1.49,0.57,#DIV/0!,11.22,0.46,-52.30,"1,387,064",2.5x,3.4x,5.4x,0.9x,1.5x,2.9x,0.8x,0,4,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
