Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Birchcliff Energy Ltd.,0.39,0.39,0.00,1.71,0.39,0.0715,0.2263,0.1822,0.0412,0.4300,0.4236,0.5764,0.7349,-5.02,1.42,3.59,0.25,#DIV/0!,7.81,0.18,-4.78,"187,252",8.8x,22.6x,-15.0x,1.2x,5.6x,33.9x,1.3x,,5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Birchcliff Energy Ltd.,0.32,0.32,0.00,2.74,0.32,0.1033,0.2621,0.2273,0.0596,0.7500,0.4234,0.5766,0.7344,-8.70,15.29,2.58,0.38,#DIV/0!,12.48,0.23,-5.68,"315,413",5.7x,10.0x,-12.4x,1.1x,4.1x,9.1x,1.1x,,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Birchcliff Energy Ltd.,0.55,0.55,0.00,3.13,0.55,-0.0111,-0.0398,0.1510,-0.0060,-0.1100,0.4577,0.5423,0.8439,-1.47,0.97,5.14,0.16,#DIV/0!,13.06,0.15,-14.20,"180,411",6.4x,24.4x,-7.4x,0.7x,4.0x,60.2x,0.6x,,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Birchcliff Energy Ltd.,0.64,0.64,0.00,1.38,0.64,-0.0139,-0.0768,0.1168,-0.0090,-0.1400,0.3527,0.6473,0.5449,-0.03,1.74,5.76,0.15,#DIV/0!,5.06,0.12,-8.58,"165,837",23.4x,-384.0x,-4.8x,1.3x,12.1x,-49.6x,1.5x,,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Birchcliff Energy Ltd.,0.83,0.83,0.00,3.30,0.83,-0.0277,-0.0889,0.2011,-0.0179,-0.1900,0.3544,0.6456,0.5489,1.06,9.71,2.68,0.31,#DIV/0!,7.62,0.20,-34.95,"347,114",5.6x,12.1x,-27.5x,0.8x,3.7x,-18.1x,0.7x,0.1,5.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Birchcliff Energy Ltd.,1.20,1.20,0.00,4.24,1.20,0.0576,0.1753,0.2111,0.0370,0.3700,0.3576,0.6424,0.5567,-5.95,11.30,2.49,0.33,#DIV/0!,11.23,0.21,37.35,"396,616",4.7x,14.1x,-35.6x,0.6x,2.6x,15.6x,0.5x,0.1,5.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Birchcliff Energy Ltd.,0.41,0.41,0.00,1.93,0.41,-0.0327,-0.0914,0.2152,-0.0197,-0.2200,0.3980,0.6020,0.6612,2.47,11.61,7.01,0.29,#DIV/0!,9.36,0.22,-6.05,"159,959",5.1x,21.6x,-74.4x,0.6x,2.5x,22.7x,0.4x,0.105,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Birchcliff Energy Ltd.,0.42,0.42,0.00,1.17,0.42,-0.0355,-0.1103,0.1806,-0.0199,-0.2300,0.4392,0.5608,0.7831,1.54,6.20,7.65,0.15,#DIV/0!,8.10,0.18,-5.58,"166,525",14.8x,-11.1x,-8.4x,0.6x,2.5x,-3.9x,0.3x,0.02,4.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Birchcliff Energy Ltd.,0.65,0.65,0.00,3.40,0.65,0.1641,0.3347,0.3176,0.1063,1.1700,0.3522,0.6478,0.5436,-14.42,1.98,1.60,0.49,#DIV/0!,10.17,0.32,-17.63,"651,043",4.3x,7.0x,14.4x,1.0x,3.0x,7.0x,1.0x,0.04,6.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Birchcliff Energy Ltd.,1.05,1.05,0.00,6.29,1.05,0.2722,0.4660,0.4447,0.2072,2.4600,0.2388,0.7612,0.3136,-55.24,2.39,0.69,1.22,#DIV/0!,11.28,0.44,178.38,"1,092,625",2.0x,2.5x,4.7x,0.9x,1.5x,3.1x,0.8x,0.28,9.4,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
