Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canadian Natural Resources Ltd,0.42,0.30,0.00,1.38,0.42,0.0881,0.1406,0.3120,0.0439,2.0900,0.5020,0.4980,1.0081,-11.88,10.66,3.20,0.28,11.86,11.31,0.31,-5.35,"8,114,000",6.1x,16.0x,155.6x,1.4x,3.0x,17.7x,1.5x,0.4,5.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canadian Natural Resources Ltd,0.68,0.55,0.00,1.65,0.68,0.1360,0.2083,0.3133,0.0653,3.6000,0.5201,0.4799,1.0837,-16.98,26.19,2.95,0.27,12.78,9.99,0.31,-11.41,"10,613,000",5.5x,11.3x,-17.8x,1.3x,2.9x,12.5x,1.4x,0.9,6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canadian Natural Resources Ltd,0.88,0.77,0.02,1.23,0.88,-0.0233,-0.0515,0.2086,-0.0107,-0.5800,0.5381,0.4619,1.1648,1.07,17.49,6.23,0.18,13.53,9.68,0.21,-23.07,"5,119,000",7.0x,33.0x,-163.2x,1.1x,3.6x,76.9x,1.2x,0.92,5.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canadian Natural Resources Ltd,0.85,0.72,0.00,0.68,0.85,-0.0078,-0.0179,0.1948,-0.0035,-0.1900,0.5521,0.4479,1.2328,1.78,2.84,8.72,0.11,10.17,7.97,0.19,-15.12,"3,715,000",21.2x,-29.0x,-77.1x,1.5x,6.5x,-74.2x,1.8x,1,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canadian Natural Resources Ltd,0.78,0.64,0.02,1.16,0.78,0.0757,0.1382,0.2348,0.0325,2.0400,0.5715,0.4285,1.3336,-5.55,11.51,5.46,0.17,10.30,7.23,0.23,-12.71,"7,730,000",10.6x,37.7x,25.5x,1.4x,4.9x,21.3x,1.7x,1.1,5.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canadian Natural Resources Ltd,0.63,0.43,0.02,2.13,0.63,0.0810,0.1232,0.2938,0.0362,2.1300,0.5532,0.4468,1.2380,-5.77,2.84,3.88,0.26,11.15,18.32,0.29,-12.07,"10,205,000",5.3x,10.2x,11.2x,1.1x,2.6x,10.6x,1.2x,1.34,5.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canadian Natural Resources Ltd,0.68,0.50,0.02,1.33,0.68,0.1548,0.2368,0.2928,0.0693,4.5500,0.5521,0.4479,1.2326,-6.93,4.26,3.82,0.20,9.53,9.28,0.29,-10.64,"11,279,000",7.4x,16.4x,18.3x,1.2x,3.5x,12.3x,1.4x,1.5,5.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canadian Natural Resources Ltd,0.86,0.65,0.04,0.93,0.86,-0.0134,-0.0258,0.2244,-0.0058,-0.3700,0.5698,0.4302,1.3248,0.15,1.90,7.38,0.11,10.17,7.71,0.22,-23.56,"5,813,000",9.4x,173.6x,18.0x,1.1x,3.3x,-61.5x,1.1x,1.7,4.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canadian Natural Resources Ltd,0.80,0.59,0.10,1.95,0.80,0.2074,0.2550,0.3921,0.1000,6.4900,0.5181,0.4819,1.0751,-14.94,1.84,2.58,0.36,8.89,9.66,0.39,-20.31,"15,392,000",6.7x,12.9x,10.1x,1.5x,3.1x,10.7x,1.8x,2.35,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canadian Natural Resources Ltd,0.82,0.61,0.11,2.24,0.82,0.2865,0.2586,0.5555,0.1436,9.6400,0.4986,0.5014,0.9946,-25.96,4.05,1.70,0.51,10.29,11.90,0.56,-26.54,"22,376,000",4.5x,6.9x,6.8x,2.0x,2.4x,8.2x,2.3x,4.9,6.7,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
