Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Cenovus Energy Inc,1.48,1.15,0.65,0.94,1.48,0.0666,0.0355,0.7397,0.0262,0.8800,0.6057,0.3943,1.5361,-5.01,3.22,4.22,0.23,11.35,11.38,0.74,10.19,"3,621,000",7.2x,14.0x,-269.5x,1.7x,1.6x,38.1x,2.3x,0.484,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Cenovus Energy Inc,1.42,1.00,0.30,1.19,1.42,0.0730,0.0379,0.7954,0.0301,0.9800,0.5875,0.4125,1.4244,-5.36,12.87,3.31,0.24,12.68,13.42,0.80,15.87,"4,387,000",5.4x,10.3x,30.5x,1.4x,1.1x,15.7x,1.7x,1.0648,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Cenovus Energy Inc,3.48,3.05,2.21,0.79,3.48,0.0499,0.0536,0.4470,0.0240,1.1200,0.5196,0.4804,1.0814,-3.97,4.91,5.98,0.11,12.93,10.18,0.45,2.50,"2,242,000",6.5x,48.5x,137.9x,0.9x,1.1x,18.5x,1.1x,0.64,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Cenovus Energy Inc,2.55,2.09,1.39,0.32,2.55,-0.0470,-0.0495,0.4357,-0.0216,-0.5500,0.5411,0.4589,1.1793,1.78,2.98,30.99,0.06,8.03,6.67,0.44,2.65,"441,000",45.3x,-16.5x,-82.7x,1.1x,1.8x,-19.0x,1.5x,0.2,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Cenovus Energy Inc,1.13,0.82,0.14,0.69,1.13,0.1685,0.1975,0.4164,0.0822,2.0600,0.5119,0.4881,1.0486,-5.35,0.74,9.56,0.15,9.89,10.51,0.42,29.80,"2,192,000",9.3x,58.0x,32.4x,0.8x,1.7x,5.0x,0.7x,0.2,4.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Cenovus Energy Inc,1.23,0.84,0.30,0.83,1.23,-0.1528,-0.1281,0.5926,-0.0759,-2.3700,0.5034,0.4966,1.0136,6.90,1.30,6.68,0.12,16.65,16.84,0.59,35.03,"2,649,000",10.3x,-16.2x,19.0x,0.7x,0.9x,-5.0x,0.6x,0.2,4.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Cenovus Energy Inc,1.30,0.69,0.07,1.30,1.30,0.1143,0.1068,0.5752,0.0614,1.7900,0.4624,0.5376,0.8600,-3.93,1.13,4.13,0.20,10.48,14.17,0.58,26.92,"3,994,000",6.0x,-200.8x,9.3x,0.9x,1.2x,22.2x,0.8x,0.25,5.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Cenovus Energy Inc,1.26,0.80,0.16,0.12,1.26,-0.1424,-0.1757,0.4133,-0.0726,-1.9400,0.4902,0.5098,0.9615,5.87,0.27,32.92,0.02,11.35,11.71,0.41,21.95,"488,000",24.9x,-9.6x,44.8x,0.7x,1.3x,-4.5x,0.6x,0,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Cenovus Energy Inc,1.64,1.10,0.39,0.81,1.64,0.0249,0.0127,0.8568,0.0108,0.2700,0.5637,0.4363,1.2918,-2.87,1.40,3.77,0.19,9.21,16.63,0.86,9.90,"8,092,000",7.4x,22.2x,14.8x,1.1x,1.3x,38.4x,1.3x,0.14,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Cenovus Energy Inc,1.55,1.01,0.56,1.42,1.55,0.2338,0.0964,1.1974,0.1154,3.2900,0.5062,0.4938,1.0250,-16.73,2.28,2.16,0.40,11.80,22.15,1.20,15.17,"13,098,000",4.6x,6.4x,8.2x,1.5x,0.9x,9.6x,1.9x,0.42,6.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
