Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Crescent Point Energy Corp.,0.38,0.38,0.02,1.98,0.38,0.0170,0.0503,0.2263,0.0114,0.3800,0.3326,0.6674,0.4984,-7.23,56.23,2.22,0.47,#DIV/0!,8.18,0.23,-4.64,"1,906,600",9.8x,90.3x,62.0x,1.7x,6.5x,256.3x,1.9x,1.61,4.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Crescent Point Energy Corp.,0.87,0.87,0.00,2.25,0.87,0.0501,0.1471,0.2101,0.0309,1.2200,0.3830,0.6170,0.6206,-9.16,24.65,1.97,0.39,#DIV/0!,8.26,0.21,-24.49,"3,200,100",6.2x,23.3x,41.9x,1.1x,4.2x,32.0x,1.2x,2.76,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Crescent Point Energy Corp.,1.01,1.01,0.03,2.34,1.01,-0.0859,-0.3681,0.1342,-0.0494,-1.8200,0.4252,0.5748,0.7399,9.02,1.57,3.36,0.26,#DIV/0!,7.23,0.13,211.10,"2,232,100",4.6x,-75.9x,89.9x,0.8x,4.9x,-22.2x,0.8x,1.2,3.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Crescent Point Energy Corp.,0.48,0.48,0.02,1.81,0.48,-0.0972,-0.4269,0.1352,-0.0577,-1.8100,0.4066,0.5934,0.6853,7.44,2.15,6.05,0.23,#DIV/0!,6.51,0.14,-4.98,"1,086,900",8.2x,-15.7x,20.0x,1.0x,6.4x,-12.3x,1.0x,0.36,2.6,4,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Crescent Point Energy Corp.,0.59,0.59,0.07,1.99,0.59,-0.0135,-0.0434,0.1786,-0.0077,-0.2300,0.4275,0.5725,0.7468,-0.85,7.01,3.72,0.25,#DIV/0!,7.52,0.18,-8.07,"1,840,300",5.4x,-12.6x,-100.6x,0.7x,3.5x,-9.0x,0.6x,0.36,2.9,6,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Crescent Point Energy Corp.,0.85,0.85,0.02,2.54,0.85,-0.3957,-0.8017,0.2564,-0.2056,-4.7700,0.4806,0.5194,0.9251,20.72,2.97,2.90,0.29,#DIV/0!,10.12,0.26,-32.00,"2,112,800",4.1x,85.5x,-93.0x,0.5x,1.8x,-8.1x,0.3x,0.36,-0.2,5,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Crescent Point Energy Corp.,0.81,0.81,0.07,2.25,0.81,-0.1934,-0.3591,0.2851,-0.1024,-1.8900,0.4706,0.5294,0.8889,5.65,1.24,2.62,0.37,#DIV/0!,9.72,0.29,-20.01,"1,814,600",2.8x,-2.3x,17.1x,0.7x,2.4x,-1.3x,0.5x,0.04,-0.1,7,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Crescent Point Energy Corp.,0.42,0.42,0.01,1.29,0.42,-0.8927,-1.6935,0.2239,-0.3792,-4.7600,0.5753,0.4247,1.3544,26.09,1.11,4.07,0.23,#DIV/0!,7.42,0.22,-3.81,"938,800",3.7x,-0.9x,2.2x,0.8x,2.4x,-0.5x,0.5x,0.01,-7.1,3,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Crescent Point Energy Corp.,0.40,0.40,0.01,1.45,0.40,0.4374,0.8355,0.3085,0.2578,4.1500,0.4106,0.5894,0.6967,-33.58,4.04,0.92,0.40,#DIV/0!,9.00,0.31,-4.55,"4,089,300",1.7x,2.2x,2.9x,0.8x,2.6x,1.8x,0.7x,0.12,2.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Crescent Point Energy Corp.,0.80,0.80,0.23,1.77,0.80,0.2284,0.3715,0.4209,0.1564,2.6200,0.3155,0.6845,0.4609,-28.00,3.09,1.28,0.73,#DIV/0!,12.18,0.42,-15.98,"2,330,700",2.9x,3.4x,14.6x,0.8x,1.7x,3.6x,0.8x,0.355,3,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
