Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Enbridge Inc,0.65,0.54,0.07,0.31,0.65,0.0339,0.0191,0.5718,0.0086,0.5500,0.6775,0.3225,2.1012,-1.70,2.16,14.26,0.09,24.04,8.33,0.57,-8.71,"2,735,000",19.5x,32.0x,-19.6x,1.7x,2.1x,41.0x,4.6x,1.05,3.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Enbridge Inc,0.86,0.74,0.13,0.27,0.86,0.0667,0.0373,0.5175,0.0221,1.3400,0.7106,0.2894,2.4556,-3.04,0.65,10.82,0.05,25.68,10.50,0.52,-28.95,"4,777,000",23.9x,41.0x,-13.2x,1.7x,2.3x,67.7x,4.7x,1.86,3.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Enbridge Inc,0.70,0.60,0.09,0.42,0.70,0.0112,0.0074,0.3999,-0.0019,-0.0440,0.7357,0.2643,2.7833,-1.01,1.73,14.06,0.07,22.72,9.50,0.40,-10.50,"4,422,000",19.6x,35.2x,-20.0x,1.4x,2.5x,-121.5x,3.5x,2.12,3.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Enbridge Inc,0.63,0.53,0.12,0.42,0.63,0.0816,0.0599,0.4056,0.0271,1.9500,0.7024,0.2976,2.3606,-2.54,0.89,9.54,0.09,19.47,9.03,0.41,-7.59,"6,273,000",15.4x,23.6x,"-1,201.9x",1.6x,2.9x,29.7x,4.0x,2.12,3.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Enbridge Inc,0.63,0.53,0.03,0.46,0.63,0.0410,0.0644,0.2738,0.0201,1.6600,0.5694,0.4306,1.3223,-1.22,0.75,9.67,0.07,18.74,8.26,0.27,-8.20,"9,547,000",18.3x,28.6x,"-1,812.2x",1.2x,3.7x,30.9x,1.7x,2.684,4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Enbridge Inc,0.58,0.49,0.03,0.71,0.58,0.0392,0.0621,0.2779,0.0200,1.4600,0.5600,0.4400,1.2728,-2.32,1.12,9.06,0.11,21.96,9.68,0.28,-7.38,"10,315,000",14.6x,21.0x,67.8x,1.2x,3.2x,52.5x,1.6x,2.952,4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Enbridge Inc,0.55,0.47,0.04,0.59,0.55,0.0822,0.1139,0.3069,0.0357,2.6400,0.5746,0.4254,1.3507,-3.83,1.28,7.70,0.10,23.87,9.57,0.31,-6.97,"12,175,000",14.4x,20.2x,63.4x,1.3x,3.4x,18.4x,1.7x,3.24,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Enbridge Inc,0.53,0.42,0.03,0.70,0.53,0.0523,0.0860,0.2439,0.0213,1.4800,0.5984,0.4016,1.4902,-2.50,1.35,8.12,0.10,13.46,9.80,0.24,-5.90,"11,817,000",12.4x,17.9x,27.2x,1.2x,3.5x,42.2x,1.4x,3.34,3.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Enbridge Inc,0.49,0.40,0.02,0.51,0.49,0.0977,0.1315,0.2788,0.0374,2.8700,0.6247,0.3753,1.6648,-3.91,1.88,8.92,0.09,17.19,9.30,0.28,-5.08,"11,828,000",14.4x,21.3x,67.3x,1.3x,3.8x,17.4x,1.8x,3.44,3.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Enbridge Inc,0.60,0.49,0.04,0.55,0.60,0.0474,0.0563,0.2968,0.0164,1.2800,0.6470,0.3530,1.8330,-2.43,1.29,9.12,0.10,14.45,9.30,0.30,-6.54,"12,740,000",14.4x,21.7x,31.9x,1.4x,3.4x,41.9x,2.0x,3.55,3.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
