Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Enerplus Corporation,0.49,0.49,0.01,1.59,0.49,0.0248,0.0374,0.3482,0.0130,0.2400,0.4752,0.5248,0.9054,-2.48,5.09,2.34,0.44,#DIV/0!,38.57,0.35,-5.17,"746,603",6.1x,14.4x,-69.9x,1.2x,3.7x,-14.8x,1.2x,0.63,3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Enerplus Corporation,0.89,0.89,0.00,1.64,0.89,0.1345,0.2070,0.3583,0.0742,1.4600,0.4486,0.5514,0.8134,-7.95,3.94,1.61,0.44,#DIV/0!,37.14,0.36,-26.98,"1,124,225",3.5x,8.9x,-12.4x,1.0x,2.3x,12.5x,1.1x,1.08,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Enerplus Corporation,0.88,0.88,0.03,1.86,0.88,-1.6969,-1.8277,0.3229,-0.5902,-7.3900,0.6522,0.3478,1.8752,24.44,2.74,4.04,0.28,#DIV/0!,43.03,0.32,-28.54,"417,173",3.0x,11.7x,-102.0x,0.8x,2.2x,-1.3x,0.6x,0.36,-1.2,2,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Enerplus Corporation,2.10,2.10,0.01,1.27,2.10,0.2721,0.5799,0.2597,0.1506,1.7500,0.4465,0.5535,0.8068,-4.53,0.71,5.49,0.27,#DIV/0!,6.02,0.26,2.54,"214,535",15.1x,-27.5x,98.2x,2.7x,5.4x,-2.8x,5.0x,0.12,1.2,7,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Enerplus Corporation,1.79,1.79,1.27,1.75,1.79,0.1481,0.2736,0.3274,0.0896,0.9800,0.3950,0.6050,0.6529,-9.24,5.23,2.10,0.46,#DIV/0!,6.70,0.33,4.05,"498,018",7.4x,16.9x,-20.7x,1.5x,4.0x,2.8x,1.9x,0.12,2.9,7,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Enerplus Corporation,1.78,1.78,1.03,2.08,1.78,0.1890,0.3138,0.3866,0.1213,1.5500,0.3583,0.6417,0.5584,-14.08,11.22,1.31,0.66,#DIV/0!,8.30,0.39,4.34,"856,175",5.2x,11.3x,-66.5x,1.1x,2.4x,17.0x,1.4x,0.12,5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Enerplus Corporation,0.88,0.88,0.36,1.61,0.88,-0.1802,-0.2314,0.4465,-0.1033,-1.1500,0.4265,0.5735,0.7436,5.57,7.42,1.87,0.62,#DIV/0!,6.50,0.45,-22.49,"586,655.185",3.0x,4.8x,-26.4x,1.0x,2.3x,5.0x,1.1x,0.12,2.5,4,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Enerplus Corporation,0.59,0.59,0.29,1.09,0.59,-1.6471,-1.3429,0.4480,-0.6016,-3.9700,0.6347,0.3653,1.7376,42.03,3.28,2.89,0.46,#DIV/0!,6.18,0.45,-4.13,"322,162.747",3.3x,16.0x,12.0x,1.1x,1.8x,-0.8x,1.2x,0.12,-3.6,3,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Enerplus Corporation,0.49,0.49,0.10,0.97,0.49,0.3848,0.1698,0.6938,0.1178,1.1800,0.6938,0.3062,2.2661,-13.26,5.55,2.20,0.44,#DIV/0!,6.06,0.69,-4.38,"794,935.404",10.8x,33.8x,13.3x,2.5x,3.4x,-40.1x,4.9x,0.1879,0.2,6,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Enerplus Corporation,0.81,0.81,0.08,2.33,0.81,0.8492,0.4182,1.1282,0.4718,5.2900,0.4445,0.5555,0.8001,-50.18,2.52,0.62,1.36,#DIV/0!,7.90,1.13,-22.90,"1,893,336.601",2.3x,3.0x,7.4x,2.4x,1.5x,3.3x,2.8x,0.2979,5.5,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
