Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Freehold Royalties Ltd.,1.16,1.16,0.01,4.21,1.16,0.1967,0.3302,0.4095,0.1352,0.8600,0.3127,0.6873,0.4550,-31.48,36.51,0.94,0.70,#DIV/0!,6.85,0.41,48.46,"142,184",10.9x,19.5x,25.4x,4.4x,8.8x,26.1x,5.0x,0.98,5.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Freehold Royalties Ltd.,1.12,1.12,0.04,4.98,1.12,0.1579,0.3422,0.2972,0.1017,0.9400,0.3558,0.6442,0.5522,-21.27,30.51,1.44,0.58,#DIV/0!,7.35,0.30,60.87,"161,332",9.7x,16.0x,-17.7x,2.8x,8.0x,20.5x,3.3x,1.68,5.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Freehold Royalties Ltd.,1.30,1.30,0.05,6.52,1.30,-0.0055,-0.0306,0.1420,-0.0043,-0.0450,0.2095,0.7905,0.2650,1.74,19.40,3.21,0.56,#DIV/0!,6.34,0.14,26.40,"61,250",11.2x,-121.1x,-3.2x,1.3x,8.6x,74.4x,1.4x,0.84,5.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Freehold Royalties Ltd.,1.77,1.77,0.06,6.60,1.77,-0.0126,-0.0868,0.1277,-0.0111,-0.1000,0.1218,0.8782,0.1388,2.11,1.28,1.28,0.76,#DIV/0!,5.35,0.13,11.87,"96,086",33.6x,-82.6x,7.6x,1.8x,14.4x,-82.6x,1.9x,0.48,9.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Freehold Royalties Ltd.,2.15,2.15,0.02,6.39,2.15,0.0147,0.0811,0.1576,0.0128,0.1000,0.1304,0.8696,0.1499,-7.54,45.80,1.01,0.96,#DIV/0!,5.81,0.16,7.05,"124,065",14.0x,124.6x,21.0x,1.9x,11.2x,75.7x,1.9x,0.6,8.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Freehold Royalties Ltd.,1.05,1.05,0.09,9.81,1.05,0.0181,0.0971,0.1627,0.0158,0.1200,0.1280,0.8720,0.1468,-6.18,35.93,0.91,1.17,#DIV/0!,11.17,0.16,231.27,"125,256",7.8x,45.2x,56.3x,1.2x,6.8x,96.5x,1.2x,0.63,8.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Freehold Royalties Ltd.,2.23,2.23,0.10,9.02,2.23,0.0073,0.0369,0.1677,0.0062,0.0440,0.1577,0.8423,0.1872,-3.10,26.20,1.23,0.80,#DIV/0!,5.66,0.17,9.80,"107,622",8.9x,-422.3x,17.3x,1.2x,7.6x,-169.9x,1.2x,0.63,6.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Freehold Royalties Ltd.,1.40,1.40,0.02,0.97,1.40,-0.0211,-0.1549,0.1084,-0.0168,-0.1200,0.2054,0.7946,0.2585,4.23,3.41,2.26,0.39,#DIV/0!,5.62,0.11,3.30,"75,328",10.2x,-105.1x,16.0x,0.9x,7.2x,-75.5x,0.9x,0.24,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Freehold Royalties Ltd.,3.43,3.43,0.12,8.79,3.43,0.0809,0.3449,0.1952,0.0673,0.5300,0.1677,0.8323,0.2015,-29.04,45.31,0.96,0.90,#DIV/0!,4.51,0.20,4.67,"186,669",13.3x,32.4x,-9.1x,1.9x,11.8x,42.5x,2.0x,0.72,7.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Freehold Royalties Ltd.,1.56,1.56,0.01,6.37,1.56,0.2178,0.5323,0.3243,0.1726,1.3900,0.2076,0.7924,0.2621,-45.61,52.59,0.70,1.30,#DIV/0!,6.82,0.32,13.72,"360,275",6.3x,8.8x,19.4x,2.0x,5.7x,10.0x,2.2x,1.08,7.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
