Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Gibson Energy Inc.,1.41,1.16,0.16,0.53,1.41,0.0759,0.0150,2.2761,0.0340,0.8600,0.5512,0.4488,1.2280,-3.66,0.45,4.12,0.20,42.62,11.97,2.28,26.93,"408,239",10.2x,17.9x,25.2x,1.9x,0.6x,28.0x,2.5x,0.55,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Gibson Energy Inc.,1.51,1.27,0.21,0.53,1.51,0.0644,0.0107,2.3995,0.0257,0.7400,0.6006,0.3994,1.5036,-2.91,4.99,5.06,0.16,53.57,14.39,2.40,26.18,"423,747",10.2x,19.1x,-95.2x,1.7x,0.5x,34.1x,2.4x,1.2,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Gibson Energy Inc.,1.17,0.96,0.16,0.90,1.17,-0.2405,-0.0519,1.6465,-0.0855,-2.3500,0.6445,0.3555,1.8132,2.91,5.77,6.47,0.22,49.10,15.33,1.65,62.55,"327,189",8.0x,22.0x,24.2x,1.1x,0.5x,-31.7x,1.3x,1.28,3.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Gibson Energy Inc.,1.64,1.39,0.11,0.37,1.64,-0.1511,-0.0348,1.4087,-0.0490,-1.3200,0.6759,0.3241,2.0852,1.74,0.37,10.79,0.09,31.53,11.16,1.41,12.67,"204,223",21.4x,-49.3x,-148.2x,1.6x,0.9x,-7.6x,2.4x,1.32,3.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Gibson Energy Inc.,1.31,1.01,0.06,0.36,1.31,0.0485,0.0078,1.9092,0.0149,-0.4700,0.6928,0.3072,2.2555,0.62,0.18,9.93,0.10,32.43,11.77,1.91,32.64,"206,932",16.5x,47.8x,141.6x,1.7x,0.7x,-42.6x,2.5x,1.32,2.8,7,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Gibson Energy Inc.,1.17,1.02,0.16,0.96,1.17,0.1992,0.0221,2.4369,0.0538,0.5600,0.7301,0.2699,2.7054,-2.85,2.70,5.22,0.27,76.42,25.10,2.44,70.37,"393,248",12.2x,23.1x,-78.7x,1.9x,0.6x,-122.7x,3.4x,1.32,2.8,6,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Gibson Energy Inc.,1.16,0.93,0.08,0.63,1.16,0.2405,0.0249,2.4646,0.0614,1.2100,0.7445,0.2555,2.9136,-3.72,0.72,5.44,0.17,51.05,17.57,2.46,76.57,"407,319",11.9x,16.3x,18.0x,2.2x,0.7x,20.8x,5.0x,1.32,2.9,6,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Gibson Energy Inc.,1.10,0.79,0.10,0.86,1.10,0.1785,0.0246,1.6100,0.0396,0.8300,0.7784,0.2216,3.5129,-3.33,0.55,6.31,0.19,28.40,15.02,1.61,91.85,"378,558",10.2x,15.4x,29.0x,2.0x,0.8x,20.6x,4.1x,1.36,2.6,4,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Gibson Energy Inc.,1.26,0.94,0.08,0.27,1.26,0.2252,0.0201,2.1013,0.0423,0.9900,0.8123,0.1877,4.3278,-3.95,2.21,7.31,0.08,27.10,10.97,2.10,34.35,"381,236",13.6x,23.3x,58.6x,2.1x,0.7x,28.9x,5.1x,1.4,2.9,6,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Gibson Energy Inc.,1.20,0.82,0.12,0.87,1.20,0.3896,0.0202,3.4540,0.0699,1.5300,0.8207,0.1793,4.5758,-5.47,5.19,5.83,0.23,41.28,24.44,3.45,81.24,"449,443",10.7x,14.5x,17.8x,2.2x,0.4x,16.7x,5.5x,1.48,2.9,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
