Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Keyera Corp.,1.64,1.27,0.39,0.80,1.64,0.1590,0.0448,1.0741,0.0481,0.9400,0.6973,0.3027,2.3031,-5.89,0.24,5.68,0.18,16.26,8.04,1.07,10.68,"374,727",15.0x,20.8x,-206.7x,3.2x,1.9x,29.8x,5.5x,0.7,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Keyera Corp.,1.15,0.92,0.02,0.85,1.15,0.1745,0.0635,0.9410,0.0597,1.4000,0.6577,0.3423,1.9213,-8.97,2.30,4.30,0.18,23.75,8.99,0.94,44.89,"588,792",15.6x,21.2x,-26.3x,3.2x,2.2x,29.1x,5.2x,1.29,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Keyera Corp.,0.87,0.73,0.02,1.15,0.87,0.1444,0.0801,0.5868,0.0470,1.1900,0.6746,0.3254,2.0728,-6.66,0.58,4.40,0.22,23.10,7.33,0.59,-34.24,"659,182",12.7x,17.2x,-46.6x,2.8x,3.0x,32.6x,4.9x,1.5,4.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Keyera Corp.,1.09,0.88,0.03,0.78,1.09,0.1178,0.0867,0.5044,0.0437,1.2100,0.6285,0.3715,1.6918,-5.95,0.24,5.49,0.13,17.19,6.87,0.50,53.97,"567,376",15.3x,22.6x,-48.3x,2.7x,3.7x,37.0x,4.1x,1.59,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Keyera Corp.,1.56,1.31,0.54,0.85,1.56,0.1169,0.0849,0.5811,0.0494,1.5300,0.5779,0.4221,1.3693,-7.37,0.14,5.45,0.15,18.33,7.84,0.58,10.14,"622,341",16.1x,22.9x,-31.6x,2.3x,3.0x,30.6x,3.7x,1.68,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Keyera Corp.,1.00,0.68,0.00,0.82,1.00,0.1438,0.0902,0.6737,0.0608,1.9400,0.5774,0.4226,1.3661,-9.29,0.86,4.37,0.16,14.81,10.56,0.67,"3,580.76","876,263",9.9x,13.6x,-12.0x,1.6x,1.8x,17.0x,2.1x,1.8,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Keyera Corp.,0.80,0.69,0.01,1.09,0.80,0.1453,0.1226,0.4813,0.0590,2.0700,0.5936,0.4064,1.4606,-5.53,0.82,5.30,0.20,27.89,7.40,0.48,-22.51,"842,197",10.6x,14.4x,-54.7x,1.7x,2.7x,12.5x,2.4x,1.92,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Keyera Corp.,1.30,0.97,0.01,1.38,1.30,0.0225,0.0206,0.3983,0.0082,0.2800,0.6349,0.3651,1.7389,-1.61,1.02,5.88,0.14,12.73,6.73,0.40,20.38,"816,917",9.4x,12.9x,-83.3x,1.3x,2.5x,30.0x,1.7x,1.92,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Keyera Corp.,1.20,0.90,0.02,0.64,1.20,0.1220,0.0650,0.6131,0.0399,1.4700,0.6731,0.3269,2.0592,-3.72,0.67,6.12,0.11,14.03,6.64,0.61,26.78,"893,993",13.5x,20.8x,42.0x,1.6x,2.5x,39.5x,2.4x,1.92,4.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Keyera Corp.,1.11,0.81,0.00,0.93,1.11,0.1165,0.0465,0.8240,0.0383,1.4800,0.6710,0.3290,2.0397,-3.79,0.81,5.63,0.16,19.56,9.96,0.82,65.29,"1,020,902",10.9x,14.1x,146.3x,1.7x,1.6x,22.1x,2.6x,1.92,4.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
