Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,MEG Energy Corp,3.33,3.04,2.62,0.28,3.33,-0.0348,-0.1247,0.1413,-0.0176,-0.7500,0.4932,0.5068,0.9730,0.65,1.24,15.68,0.03,5.60,7.63,0.14,1.28,"297,177",44.5x,192.1x,-4.5x,1.2x,8.8x,-75.3x,1.7x,,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,MEG Energy Corp,2.14,1.81,1.42,1.66,2.14,-0.0221,-0.0373,0.2850,-0.0106,-0.4700,0.5198,0.4802,1.0826,-0.89,3.85,5.63,0.15,9.08,16.89,0.28,5.38,"916,750",16.3x,28.1x,-8.5x,0.9x,4.8x,68.2x,1.5x,,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,MEG Energy Corp,2.46,2.25,1.64,0.45,2.46,-0.3180,-0.6073,0.2049,-0.1244,-5.2100,0.6087,0.3913,1.5559,3.86,0.41,28.00,0.02,22.23,14.79,0.20,5.30,"204,360",10.2x,33.0x,-31.4x,0.7x,2.6x,-2.7x,0.4x,,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,MEG Energy Corp,1.27,1.08,0.43,-0.26,1.27,-0.1304,-0.2303,0.2087,-0.0481,-1.9000,0.6316,0.3684,1.7143,0.92,0.27,36.17,-0.02,18.38,8.50,0.21,19.31,"155,770",308.2x,-12.7x,459.0x,0.8x,3.6x,-1.8x,0.4x,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,MEG Energy Corp,1.60,1.43,0.88,0.61,1.60,0.0419,0.0671,0.2643,0.0177,0.5700,0.5766,0.4234,1.3620,-1.32,0.23,8.66,0.06,16.88,9.28,0.26,7.91,"623,324",11.9x,495.7x,29.1x,0.7x,2.7x,-5.2x,0.4x,,3.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,MEG Energy Corp,1.62,1.41,0.68,0.60,1.62,-0.0306,-0.0435,0.3250,-0.0141,-0.4000,0.5380,0.4620,1.1647,-0.39,0.18,8.20,0.06,18.81,13.67,0.32,9.46,"552,000",13.7x,-77.6x,-131.9x,0.7x,2.0x,107.8x,0.6x,,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,MEG Energy Corp,1.22,1.05,0.37,1.13,1.22,-0.0161,-0.0158,0.4997,-0.0079,-0.2100,0.5102,0.4898,1.0415,-0.68,0.78,4.95,0.16,26.54,10.89,0.50,31.96,"810,000",4.8x,16.3x,16.6x,0.8x,1.6x,-9.0x,0.5x,,3.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,MEG Energy Corp,1.12,0.91,0.26,0.68,1.12,-0.1018,-0.1558,0.3173,-0.0494,-1.1800,0.5147,0.4853,1.0605,0.81,0.15,6.53,0.08,18.99,8.71,0.32,41.67,"569,000",6.4x,54.0x,9.6x,0.7x,1.4x,-2.7x,0.2x,,3.2,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,MEG Energy Corp,1.17,0.99,0.40,0.77,1.17,0.0743,0.0655,0.5691,0.0373,0.9200,0.4985,0.5015,0.9940,-2.52,0.60,3.63,0.18,13.99,8.96,0.57,28.62,"1,043,000",14.7x,213.4x,14.1x,1.0x,1.8x,52.3x,0.9x,,4.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,MEG Energy Corp,1.44,1.16,0.29,2.89,1.44,0.2058,0.1474,0.8699,0.1283,2.9700,0.3768,0.6232,0.6046,-7.87,1.24,1.29,0.71,16.12,12.88,0.87,21.17,"2,047,000",3.6x,4.6x,7.8x,1.2x,1.2x,5.7x,1.1x,,6.3,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
