Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,NexGen Energy Ltd.,31.48,31.48,30.09,-11.50,31.48,-0.0902,#DIV/0!,0.0000,-0.0862,-0.0350,0.0437,0.9563,0.0457,-115.11,97.76,-0.49,-1.69,#DIV/0!,#DIV/0!,0.00,0.00,"-3,520.253",-12.0x,-12.0x,-5.2x,1.0x,NA,-14.8x,1.2x,,26.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,NexGen Energy Ltd.,8.13,8.13,7.98,-1.17,8.13,-0.1521,#DIV/0!,0.0000,-0.1469,-0.0600,0.0341,0.9659,0.0353,-68.12,16.26,-0.58,-1.04,#DIV/0!,#DIV/0!,0.00,0.00,"-3,380.249",-21.9x,-21.3x,-4.5x,1.4x,NA,-24.1x,1.5x,,32.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,NexGen Energy Ltd.,34.82,34.82,34.31,-2.70,34.82,-0.0464,#DIV/0!,0.0000,-0.0459,-0.0200,0.0099,0.9901,0.0100,-25.04,13.95,-0.20,-2.70,#DIV/0!,#DIV/0!,0.00,0.00,"-4,926.601",-43.8x,-19.3x,-9.2x,2.3x,NA,-22.6x,2.5x,,109.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,NexGen Energy Ltd.,32.71,32.71,12.80,-3.31,32.71,-0.1420,#DIV/0!,0.0000,-0.0911,-0.0560,0.3818,0.6182,0.6175,1.47,1.13,-5.24,-0.11,#DIV/0!,#DIV/0!,0.00,0.00,"-14,025.932",-67.3x,-64.1x,-15.4x,3.7x,NA,-195.5x,6.0x,,6.5,0,2,,,,,,,,,,,,,,,,,,,,,,,
2017,NexGen Energy Ltd.,54.95,54.95,54.72,-3.70,54.95,-0.3778,#DIV/0!,0.0000,-0.1759,-0.1700,0.5409,0.4591,1.1780,4.58,1.09,-10.18,-0.06,#DIV/0!,#DIV/0!,0.00,0.00,"-17,159.779",-65.4x,-59.4x,-22.5x,3.3x,NA,-27.9x,6.8x,,6.2,2,2,,,,,,,,,,,,,,,,,,,,,,,
2018,NexGen Energy Ltd.,19.29,19.29,19.19,-1.30,19.29,0.0125,#DIV/0!,0.0000,0.0046,0.0066,0.4434,0.5566,0.7967,-1.12,0.89,-5.89,-0.06,#DIV/0!,#DIV/0!,0.00,0.00,"-24,593.923",-38.1x,-36.5x,-14.8x,2.8x,NA,-18.7x,6.0x,,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,NexGen Energy Ltd.,11.17,11.17,10.89,-2.68,11.17,-0.0833,#DIV/0!,0.0000,-0.0528,-0.0440,0.4056,0.5944,0.6825,0.53,1.16,-5.30,-0.10,#DIV/0!,#DIV/0!,0.00,0.00,"-24,016.897",-27.8x,-25.4x,-9.5x,2.1x,NA,61.2x,3.5x,,4.2,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,NexGen Energy Ltd.,10.24,10.24,10.11,-1.45,10.24,-0.9210,#DIV/0!,0.0000,-0.3203,-0.3000,0.6663,0.3337,1.9969,7.61,0.75,-10.69,-0.04,#DIV/0!,#DIV/0!,0.00,0.00,"-22,268",-68.7x,-64.3x,-27.2x,4.2x,NA,-22.1x,9.5x,,2.6,1,1,,,,,,,,,,,,,,,,,,,,,,,
2021,NexGen Energy Ltd.,26.00,26.00,24.60,-2.05,26.00,-0.2581,#DIV/0!,0.0000,-0.2323,-0.2600,0.1559,0.8441,0.1847,39.80,4.11,-1.70,-0.20,#DIV/0!,#DIV/0!,0.00,0.00,"-50,037",-66.2x,-64.1x,-50.1x,4.7x,NA,-16.2x,6.1x,,8.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,NexGen Energy Ltd.,8.70,8.70,8.12,-1.22,8.70,-0.1243,#DIV/0!,0.0000,-0.1087,-0.1200,0.1788,0.8212,0.2177,-153.89,39.41,-1.68,-0.20,#DIV/0!,#DIV/0!,0.00,0.00,"-58,845",-42.0x,-41.3x,-22.2x,4.6x,NA,-44.0x,6.0x,,6.6,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
