Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,NuVista Energy Ltd.,0.39,0.39,0.03,1.02,0.39,-0.0864,-0.3176,0.2126,-0.0675,-0.5100,0.2185,0.7815,0.2796,18.04,3.48,2.87,0.42,#DIV/0!,6.54,0.21,-3.85,"68,968",15.9x,-39.4x,8.3x,1.4x,5.8x,-13.4x,1.5x,,5.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,NuVista Energy Ltd.,1.38,1.38,0.00,1.69,1.38,-0.0856,-0.2485,0.2314,-0.0575,-0.4300,0.3285,0.6715,0.4893,11.47,15.19,2.02,0.26,#DIV/0!,6.05,0.23,12.19,"166,182",12.4x,-78.3x,-5.2x,1.3x,5.4x,-16.1x,1.4x,,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,NuVista Energy Ltd.,0.88,0.88,0.00,1.77,0.88,-0.2746,-0.7899,0.2230,-0.1762,-1.1600,0.3586,0.6414,0.5590,24.55,17.14,3.66,0.32,#DIV/0!,7.41,0.22,-28.72,"96,113",5.3x,-35.8x,-4.8x,0.9x,3.4x,-4.3x,0.9x,,2.7,2,1,,,,,,,,,,,,,,,,,,,,,,,
2016,NuVista Energy Ltd.,0.53,0.53,0.08,1.79,0.53,-0.0022,-0.0065,0.2657,-0.0017,-0.0100,0.2135,0.7865,0.2714,-0.67,0.61,1.86,0.62,#DIV/0!,7.91,0.27,-7.72,"110,540",11.9x,61.9x,-16.8x,1.7x,5.7x,-16.7x,1.8x,,5.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,NuVista Energy Ltd.,0.69,0.69,0.00,3.23,0.69,0.1093,0.2581,0.3082,0.0795,0.5400,0.2721,0.7279,0.3738,-7.52,19.04,1.35,0.70,#DIV/0!,7.63,0.31,-16.95,"238,523",8.8x,22.9x,-9.4x,1.5x,5.2x,22.9x,1.7x,,5.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,NuVista Energy Ltd.,0.91,0.91,0.00,2.45,0.91,0.0970,0.2525,0.2474,0.0625,0.7100,0.3558,0.6442,0.5522,-9.84,2.81,2.02,0.32,#DIV/0!,10.12,0.25,-61.64,"383,352",5.3x,14.9x,-33.9x,0.8x,2.7x,13.8x,0.7x,,6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,NuVista Energy Ltd.,0.67,0.67,0.00,2.11,0.67,-0.0473,-0.1144,0.2393,-0.0274,-0.2800,0.4215,0.5785,0.7285,2.12,7.84,6.61,0.27,#DIV/0!,8.89,0.24,-13.46,"148,675",4.3x,13.0x,-2.0x,0.7x,2.6x,10.3x,0.5x,,4.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,NuVista Energy Ltd.,0.54,0.54,0.00,1.35,0.54,-0.1710,-0.4853,0.1889,-0.0917,-0.8800,0.4639,0.5361,0.8652,4.82,3.21,6.81,0.15,#DIV/0!,7.68,0.19,-8.14,"146,986",8.9x,-13.1x,-19.5x,0.8x,2.2x,-0.2x,0.5x,,4.1,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,NuVista Energy Ltd.,0.44,0.44,0.00,1.69,0.44,0.1843,0.3227,0.3429,0.1106,1.1700,0.3997,0.6003,0.6659,-8.36,0.78,2.61,0.35,#DIV/0!,9.26,0.34,-7.31,"366,297",10.9x,37.7x,25.6x,1.1x,3.4x,1.8x,1.2x,,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,NuVista Energy Ltd.,1.31,1.31,0.19,3.90,1.31,0.3260,0.4078,0.5484,0.2236,2.7800,0.3141,0.6859,0.4579,-26.28,3.48,0.84,0.95,#DIV/0!,7.87,0.55,23.03,"1,052,523",2.5x,3.2x,10.2x,1.2x,1.7x,3.8x,1.2x,,8.5,9,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
