Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Paramount Resources Ltd.,0.18,0.18,0.04,0.15,0.18,-0.0572,-0.2687,0.0898,-0.0241,-0.9300,0.5783,0.4217,1.3713,1.01,0.85,24.79,0.03,#DIV/0!,10.88,0.09,-0.91,"57,099",79.0x,-17.8x,-8.0x,2.5x,20.5x,-17.4x,3.8x,,2.8,5,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Paramount Resources Ltd.,0.23,0.23,0.05,0.34,0.23,-0.0530,-0.2157,0.1039,-0.0224,-0.7100,0.5770,0.4230,1.3642,0.06,1.68,11.42,0.06,#DIV/0!,9.79,0.10,-1.24,"161,653",28.9x,-102.6x,-5.3x,1.5x,12.8x,83.9x,2.0x,,3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Paramount Resources Ltd.,0.51,0.51,0.06,0.40,0.51,-1.6426,-2.4598,0.1318,-0.3241,-8.5200,0.8027,0.1973,4.0685,7.26,0.17,11.28,0.04,#DIV/0!,10.31,0.13,-3.57,"197,910",11.7x,-10.8x,-4.3x,0.8x,6.1x,-1.6x,0.6x,,0.4,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Paramount Resources Ltd.,3.59,3.59,2.91,0.21,3.59,0.7128,4.7250,0.1198,0.5660,10.9800,0.2060,0.7940,0.2595,-17.65,0.04,3.51,0.11,#DIV/0!,21.29,0.12,0.45,"120,951",22.6x,-2.4x,-5.1x,1.0x,5.0x,5.4x,1.2x,,8.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Paramount Resources Ltd.,1.06,1.06,0.43,0.44,1.06,0.1264,0.7218,0.1042,0.0752,2.9300,0.4049,0.5951,0.6805,-42.90,0.78,8.42,0.07,#DIV/0!,4.41,0.10,25.30,"215,571",14.9x,17.4x,14.7x,1.0x,11.7x,5.2x,1.0x,,4.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Paramount Resources Ltd.,0.82,0.82,0.07,0.85,0.82,-0.1631,-0.4096,0.2176,-0.0892,-2.7800,0.4535,0.5465,0.8298,17.57,0.67,4.11,0.12,#DIV/0!,15.11,0.22,-18.47,"454,433",5.9x,-2.0x,-19.3x,0.6x,1.5x,-6.3x,0.4x,,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Paramount Resources Ltd.,0.57,0.57,0.02,1.04,0.57,-0.0422,-0.1032,0.2411,-0.0249,-0.6700,0.4101,0.5899,0.6952,-1.61,1.11,4.06,0.18,#DIV/0!,9.86,0.24,-8.10,"356,630",2.7x,-4.7x,112.1x,0.6x,2.0x,-4.4x,0.5x,,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Paramount Resources Ltd.,0.53,0.53,0.02,0.37,0.53,-0.0111,-0.0382,0.1701,-0.0065,-0.1700,0.4173,0.5827,0.7161,-0.77,1.32,6.12,0.06,#DIV/0!,8.16,0.17,-5.81,"238,400",6.9x,-6.7x,44.8x,0.6x,2.3x,-1.8x,0.4x,,4.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Paramount Resources Ltd.,0.61,0.61,0.01,1.88,0.61,0.0909,0.1778,0.3429,0.0610,1.7700,0.3291,0.6709,0.4906,-7.85,0.99,3.12,0.38,#DIV/0!,11.28,0.34,-13.41,"409,300",8.6x,7.7x,32.4x,1.3x,3.2x,7.4x,1.4x,0.72,5.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Paramount Resources Ltd.,1.79,1.79,0.01,3.72,1.79,0.2015,0.3109,0.5047,0.1569,4.8300,0.2212,0.7788,0.2839,-136.28,4.32,0.81,1.09,#DIV/0!,10.83,0.50,9.78,"1,178,100",3.3x,5.0x,"1,132.8x",1.3x,1.8x,6.3x,1.3x,1.5,8.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
