Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Parex Resources Inc,1.14,1.09,0.34,1.24,1.14,0.0261,0.0227,0.6541,0.0148,0.5100,0.4325,0.5675,0.7623,-7.15,12.91,1.16,0.56,23.17,6.10,0.65,23.29,"338,682.493",2.4x,24.0x,21.2x,1.3x,1.3x,-26.8x,1.5x,,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Parex Resources Inc,1.02,0.96,0.21,1.36,1.02,-0.1646,-0.1645,0.6391,-0.1052,-0.8300,0.3613,0.6387,0.5658,0.41,6.44,1.06,0.67,24.90,8.93,0.64,202.74,"408,186.091",2.3x,4.5x,32.0x,1.0x,1.3x,8.7x,1.1x,,5.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Parex Resources Inc,1.68,1.66,0.85,1.43,1.68,-0.0601,-0.0924,0.5039,-0.0466,-0.4200,0.2255,0.7745,0.2912,-86.90,4.67,1.20,0.74,81.98,18.29,0.50,6.29,"249,849.074",4.9x,-66.8x,12.1x,1.3x,1.9x,-6.6x,1.5x,,7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Parex Resources Inc,1.87,1.84,1.39,1.44,1.87,-0.0651,-0.1130,0.4476,-0.0506,-0.4100,0.2230,0.7770,0.2870,-57.44,13.96,1.52,0.75,73.85,26.58,0.45,4.41,"180,806.685",15.8x,-46.1x,71.9x,2.4x,4.6x,-429.4x,2.5x,,6.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Parex Resources Inc,2.05,2.03,1.51,1.83,2.05,0.1746,0.3016,0.4584,0.1382,1.2600,0.2082,0.7918,0.2630,70.88,19.03,0.73,1.22,42.68,18.13,0.46,3.15,"400,347.127",7.5x,21.1x,27.7x,2.5x,4.3x,41.7x,2.7x,,9.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Parex Resources Inc,1.70,1.69,1.47,1.69,1.70,0.3165,0.4837,0.5073,0.2454,3.5400,0.2248,0.7752,0.2899,47.19,49.81,0.59,1.44,110.35,14.88,0.51,3.81,"849,816.073",2.8x,3.6x,5.3x,1.2x,2.0x,4.6x,1.5x,,10.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Parex Resources Inc,2.62,2.62,1.87,1.72,2.62,0.2339,0.3355,0.5803,0.1947,2.9100,0.1675,0.8325,0.2012,68.16,54.56,0.43,1.29,387.18,6.81,0.58,2.84,"859,682.185",3.4x,4.4x,17.5x,1.7x,2.4x,9.0x,2.0x,,13.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Parex Resources Inc,3.61,3.60,2.70,2.37,3.61,0.0741,0.1867,0.3451,0.0644,0.9100,0.1302,0.8698,0.1497,82.54,241.08,0.65,1.45,91.21,6.63,0.35,1.66,"390,554.05",3.7x,5.7x,22.2x,1.1x,2.3x,13.9x,1.3x,,13.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Parex Resources Inc,2.31,2.31,1.52,2.15,2.31,0.2175,0.3367,0.5045,0.1699,3.0600,0.2189,0.7811,0.2802,313.69,621.28,0.59,1.37,123.92,5.01,0.50,2.76,"831,807.834",3.1x,4.3x,6.9x,1.3x,2.1x,7.8x,1.5x,0.5,11.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Parex Resources Inc,1.17,1.16,0.82,1.93,1.17,0.3565,0.4664,0.5663,0.2642,7.2900,0.2590,0.7410,0.3495,88.89,119.22,0.58,1.64,43.42,11.58,0.57,15.42,"1,406,009.377",1.7x,2.2x,3.1x,1.0x,1.3x,3.5x,1.2x,1,10.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
