Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Parkland Fuel Corporation,1.34,1.08,0.02,0.27,1.34,0.2139,0.0162,4.5119,0.0733,1.3100,0.6576,0.3424,1.9203,-8.44,0.25,4.22,0.16,39.91,14.27,4.51,34.01,"195,517",8.4x,11.8x,41.1x,2.2x,0.3x,16.6x,3.2x,0.6069,5.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Parkland Fuel Corporation,1.92,1.62,0.49,0.42,1.92,0.0875,0.0066,4.9143,0.0326,0.6600,0.6280,0.3720,1.6881,-3.99,0.29,5.40,0.18,57.49,22.98,4.91,20.00,"178,211",11.5x,19.3x,40.6x,2.2x,0.3x,26.9x,3.4x,1.0596,6.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Parkland Fuel Corporation,1.24,0.96,0.09,0.54,1.24,0.0486,0.0063,3.4638,0.0217,0.4500,0.5532,0.4468,1.2381,-3.14,7.16,4.84,0.22,48.32,26.80,3.46,63.12,"207,700",14.3x,26.3x,9.9x,2.1x,0.4x,62.3x,2.8x,1.08,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Parkland Fuel Corporation,1.09,0.93,0.02,0.16,1.09,0.0587,0.0075,2.4462,0.0184,0.5000,0.6862,0.3138,2.1863,-2.98,1.83,7.26,0.09,33.69,19.39,2.45,68.78,"242,200",14.3x,27.0x,-20.8x,2.2x,0.6x,45.1x,3.3x,1.134,4.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Parkland Fuel Corporation,0.92,0.61,0.02,0.20,0.92,0.0498,0.0086,1.7664,0.0152,0.7000,0.6960,0.3040,2.2900,-1.88,0.27,9.35,0.07,21.31,17.74,1.77,-89.35,"403,000",19.8x,33.1x,-5.5x,1.5x,0.7x,97.7x,2.3x,1.1544,3.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Parkland Fuel Corporation,1.06,0.71,0.04,0.42,1.06,0.1144,0.0143,2.5511,0.0364,1.5600,0.6819,0.3181,2.1433,-3.15,0.52,4.36,0.12,31.94,27.56,2.55,215.55,"886,000",9.1x,14.6x,3.3x,1.8x,0.5x,26.4x,2.8x,1.1736,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Parkland Fuel Corporation,1.16,0.75,0.13,0.47,1.16,0.1654,0.0207,1.9878,0.0446,2.6000,0.7513,0.2487,3.0204,-3.42,2.30,5.92,0.13,20.02,20.64,1.99,59.91,"1,179,000",8.9x,13.4x,35.0x,1.8x,0.6x,24.9x,3.9x,1.194,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Parkland Fuel Corporation,1.16,0.74,0.16,0.72,1.16,0.0362,0.0059,1.5407,0.0123,0.5500,0.7508,0.2492,3.0132,-1.66,1.45,8.20,0.17,17.32,22.97,1.54,55.38,"833,000",9.2x,19.4x,10.5x,1.6x,0.6x,29.5x,3.2x,1.2144,4.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Parkland Fuel Corporation,1.39,0.83,0.13,0.40,1.39,0.0416,0.0045,1.8587,0.0109,0.6400,0.7981,0.2019,3.9528,-1.73,0.42,7.99,0.10,14.63,19.43,1.86,24.56,"1,153,000",9.1x,15.1x,-172.4x,1.5x,0.5x,41.8x,2.8x,1.2348,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Parkland Fuel Corporation,1.39,0.86,0.20,0.40,1.39,0.1021,0.0087,2.4819,0.0242,1.9400,0.7874,0.2126,3.7046,-2.41,2.59,7.88,0.12,18.02,22.60,2.48,27.53,"1,427,000",8.1x,13.2x,19.0x,1.2x,0.3x,18.1x,1.9x,1.3,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
