Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Pembina Pipeline Corp,0.79,0.60,0.06,0.84,0.79,0.0679,0.0701,0.5476,0.0384,1.1200,0.4344,0.5656,0.7679,-5.89,0.91,4.72,0.17,26.53,11.95,0.55,-29.45,"841,000",17.7x,23.0x,-102.8x,2.0x,2.8x,34.8x,2.5x,0.98,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Pembina Pipeline Corp,0.97,0.77,0.08,1.13,0.97,0.0604,0.0631,0.5389,0.0340,1.0700,0.4374,0.5626,0.7775,-6.56,1.99,5.22,0.16,38.08,39.41,0.54,-275.86,"943,000",17.1x,21.5x,-43.7x,2.0x,2.8x,38.9x,2.8x,1.74,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Pembina Pipeline Corp,1.06,0.86,0.05,1.32,1.06,0.0547,0.0876,0.3592,0.0315,1.0200,0.4246,0.5754,0.7379,-6.45,0.58,5.78,0.15,31.69,41.76,0.36,125.27,"948,000",17.9x,25.9x,-15.2x,1.5x,3.4x,36.0x,2.0x,1.83,4.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Pembina Pipeline Corp,0.87,0.64,0.04,1.38,0.87,0.0562,0.1093,0.2840,0.0310,1.0200,0.4476,0.5524,0.8101,-6.85,2.42,6.05,0.16,17.64,26.49,0.28,-41.81,"1,111,000",20.5x,28.5x,-30.2x,1.8x,5.1x,41.6x,2.5x,1.92,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Pembina Pipeline Corp,0.89,0.74,0.28,1.32,0.89,0.0638,0.1635,0.2112,0.0345,1.8700,0.4586,0.5414,0.8471,-6.99,1.04,7.75,0.13,23.64,30.51,0.21,-42.19,"1,513,000",22.3x,30.5x,-33.4x,2.2x,6.0x,46.7x,3.4x,2.16,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Pembina Pipeline Corp,0.68,0.55,0.11,1.51,0.68,0.0887,0.1739,0.2757,0.0479,2.2800,0.4598,0.5402,0.8512,-7.36,0.99,6.01,0.18,27.56,14.70,0.28,-15.41,"2,039,000",12.1x,15.6x,67.1x,1.4x,3.3x,16.6x,1.8x,2.28,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Pembina Pipeline Corp,0.68,0.60,0.09,1.75,0.68,0.0893,0.2084,0.2207,0.0460,2.6900,0.4850,0.5150,0.9418,-6.01,1.13,7.20,0.16,41.13,12.57,0.22,-15.72,"2,205,000",12.8x,16.4x,61.3x,1.5x,4.0x,15.5x,2.0x,2.4,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Pembina Pipeline Corp,0.56,0.43,0.05,1.26,0.56,-0.0210,-0.0531,0.1895,-0.0101,-0.8700,0.5221,0.4779,1.0923,0.04,1.69,6.72,0.14,17.57,10.30,0.19,-7.52,"2,441,000",10.5x,14.0x,70.9x,1.1x,4.2x,18.3x,1.2x,2.52,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Pembina Pipeline Corp,0.52,0.36,0.02,1.11,0.52,0.0865,0.1440,0.2743,0.0395,2.0000,0.5434,0.4566,1.1901,-4.93,1.53,6.56,0.16,16.31,11.61,0.27,-7.53,"2,606,000",12.7x,17.3x,22.0x,1.3x,4.0x,-103.0x,1.8x,2.52,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Pembina Pipeline Corp,0.67,0.53,0.05,1.43,0.67,0.1882,0.2559,0.3689,0.0944,5.1400,0.4984,0.5016,0.9935,-8.22,1.91,5.50,0.19,33.00,16.68,0.37,-16.98,"2,851,000",10.7x,13.7x,20.4x,1.4x,2.6x,8.6x,1.8x,2.61,4.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
