Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Peyto Exploration&Development Corp,0.48,0.48,0.00,2.05,0.48,0.1188,0.2737,0.2040,0.0558,0.9600,0.5301,0.4699,1.1282,-7.11,21.43,3.03,0.30,#DIV/0!,6.23,0.20,-5.05,"446,874",13.5x,27.3x,-35.6x,2.8x,11.7x,37.1x,4.0x,0.56,4.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Peyto Exploration&Development Corp,1.00,1.00,0.00,2.95,1.00,0.1687,0.3083,0.2715,0.0837,1.7100,0.5037,0.4963,1.0149,-11.15,41.18,2.33,0.41,#DIV/0!,8.60,0.27,"1,298.30","677,058",9.7x,17.5x,-54.3x,2.6x,7.6x,22.3x,3.6x,1.32,5.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Peyto Exploration&Development Corp,1.02,1.02,0.00,3.24,1.02,0.0847,0.2363,0.1734,0.0410,0.8700,0.5164,0.4836,1.0680,-7.38,35.64,2.97,0.31,#DIV/0!,6.81,0.17,163.14,"584,463",8.0x,16.9x,-31.9x,1.9x,7.8x,24.3x,2.4x,1.32,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Peyto Exploration&Development Corp,0.38,0.38,0.01,1.68,0.38,0.0729,0.2113,0.1535,0.0324,0.6900,0.5550,0.4450,1.2474,-4.91,4.45,3.70,0.26,#DIV/0!,5.61,0.15,-2.84,"518,849",12.4x,35.3x,173.0x,2.4x,12.8x,46.6x,3.3x,1.32,4.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Peyto Exploration&Development Corp,1.52,1.52,0.04,3.34,1.52,0.1025,0.2640,0.1740,0.0459,1.0700,0.5519,0.4481,1.2314,-6.20,2.66,3.50,0.25,#DIV/0!,7.41,0.17,8.02,"606,754",6.3x,13.6x,-35.1x,1.3x,5.4x,15.2x,1.5x,1.32,4.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Peyto Exploration&Development Corp,0.55,0.55,0.00,1.99,0.55,0.0768,0.2715,0.1289,0.0350,0.7800,0.5444,0.4556,1.1951,-4.40,1.70,3.85,0.24,#DIV/0!,7.91,0.13,-4.38,"521,233",4.0x,8.6x,8.8x,0.8x,4.5x,7.3x,0.7x,0.72,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Peyto Exploration&Development Corp,0.71,0.71,0.05,2.79,0.71,0.0779,0.2927,0.1268,0.0371,0.8100,0.5235,0.4765,1.0988,-2.31,1.22,5.09,0.17,#DIV/0!,7.43,0.13,-13.75,"369,931",4.5x,12.8x,14.5x,0.6x,3.9x,4.1x,0.4x,0.08,4.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Peyto Exploration&Development Corp,0.87,0.87,0.10,2.14,0.87,-0.0212,-0.0940,0.1050,-0.0099,-0.2200,0.5342,0.4658,1.1467,-0.25,3.37,7.31,0.11,#DIV/0!,6.79,0.11,-30.48,"263,156",6.4x,102.5x,20.3x,0.6x,4.2x,-4.9x,0.3x,0.04,4.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Peyto Exploration&Development Corp,0.60,0.60,0.02,1.91,0.60,0.0862,0.1812,0.2221,0.0402,0.9200,0.5333,0.4667,1.1428,-4.24,2.13,3.90,0.23,#DIV/0!,7.28,0.22,-8.82,"517,332",6.2x,14.8x,10.4x,1.0x,4.0x,10.8x,1.0x,0.6,4.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Peyto Exploration&Development Corp,0.46,0.46,0.03,1.72,0.46,0.1895,0.2650,0.3673,0.0974,2.2900,0.4862,0.5138,0.9463,-11.99,3.14,2.23,0.42,#DIV/0!,7.84,0.37,-5.82,"875,887",3.3x,5.1x,8.9x,1.0x,2.0x,5.2x,1.0x,0.6,5.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
