Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,PrairieSky Royalty Ltd,2.28,2.28,2.84,8.94,2.28,0.5561,0.4503,0.9769,0.4399,,0.2090,0.7910,0.2642,151.98,149.03,0.25,2.76,#DIV/0!,6.66,0.98,11.88,"216,521",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2014,PrairieSky Royalty Ltd,2.21,2.21,1.07,5.35,2.21,0.2424,0.6860,0.3044,0.2088,3.0000,0.1385,0.8615,0.1608,380.50,462.25,0.51,2.04,#DIV/0!,5.23,0.30,4.77,"306,171.48",NA,NA,-214.3x,12.0x,NA,NA,12.2x,0.6348,12.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,PrairieSky Royalty Ltd,6.44,6.44,4.90,4.32,6.44,0.0232,0.3640,0.0589,0.0214,0.4000,0.0776,0.9224,0.0841,67.50,140.08,1.25,0.74,#DIV/0!,4.69,0.06,0.82,"181,800",14.3x,20.6x,19.7x,4.4x,14.0x,24.6x,4.6x,1.3,16.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,PrairieSky Royalty Ltd,2.34,2.34,1.03,6.18,2.34,0.0079,0.0984,0.0734,0.0072,0.0870,0.0849,0.9151,0.0928,9.26,107.68,1.25,0.87,#DIV/0!,4.79,0.07,4.60,"187,700",42.3x,505.5x,62.7x,2.8x,39.2x,612.3x,2.8x,0.72,13.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,PrairieSky Royalty Ltd,2.06,2.06,1.05,6.94,2.06,0.0443,0.4500,0.0902,0.0406,0.5100,0.0847,0.9153,0.0925,114.92,248.83,0.81,1.19,#DIV/0!,6.25,0.09,5.86,"309,500",26.5x,69.4x,-83.1x,2.7x,28.5x,78.2x,2.8x,0.75,14.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,PrairieSky Royalty Ltd,0.66,0.66,1.53,7.59,0.66,0.0309,0.3184,0.0885,0.0282,0.3400,0.0864,0.9136,0.0945,-206.80,470.40,0.98,0.97,#DIV/0!,16.41,0.09,-23.98,"248,700",14.5x,29.1x,34.9x,1.6x,15.1x,36.6x,1.6x,0.78,13.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,PrairieSky Royalty Ltd,0.92,0.92,1.16,5.11,0.92,0.0448,0.4472,0.0916,0.0410,0.4800,0.0860,0.9140,0.0941,-69.25,91.17,0.97,0.90,#DIV/0!,6.77,0.09,-80.35,"240,100",15.9x,40.8x,18.0x,1.4x,15.5x,38.2x,1.4x,0.78,13.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,PrairieSky Royalty Ltd,0.40,0.40,0.68,2.19,0.40,0.0135,0.1985,0.0612,0.0122,0.1400,0.1021,0.8979,0.1137,-26.20,69.23,1.77,0.57,#DIV/0!,5.87,0.06,-3.80,"150,300",13.5x,43.5x,15.8x,1.0x,13.0x,53.8x,1.0x,0.3,11,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,PrairieSky Royalty Ltd,1.19,1.19,1.07,5.66,1.19,0.0475,0.4200,0.0836,0.0351,0.5500,0.2609,0.7391,0.3530,-31.92,42.71,3.36,0.28,#DIV/0!,5.60,0.08,34.95,"272,400",15.3x,28.4x,-92.5x,1.4x,14.1x,34.7x,1.4x,0.36,5.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,PrairieSky Royalty Ltd,0.45,0.45,0.27,3.18,0.45,0.1147,0.5127,0.1813,0.0930,1.3300,0.1895,0.8105,0.2338,-23.35,1.27,1.10,0.87,#DIV/0!,7.71,0.18,-6.40,"587,900",10.1x,13.8x,-20.1x,1.8x,9.7x,17.6x,1.9x,0.96,7.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
