Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Secure Energy Services Inc.,1.76,1.38,0.09,0.74,1.76,0.0586,0.0261,1.4355,0.0375,0.3600,0.3610,0.6390,0.5651,-9.23,1.75,2.94,0.27,26.79,12.39,1.44,14.66,"127,830",19.3x,39.3x,-21.1x,3.0x,1.6x,54.0x,3.8x,0.0625,6.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Secure Energy Services Inc.,1.48,1.15,0.02,0.92,1.48,0.0402,0.0135,1.5184,0.0205,0.2600,0.4905,0.5095,0.9626,-6.58,3.28,3.79,0.27,28.24,13.89,1.52,22.52,"193,377",12.8x,24.8x,-18.2x,2.1x,1.2x,36.8x,2.7x,0.2292,5.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Secure Energy Services Inc.,2.19,1.59,0.05,1.35,2.19,-0.1939,-0.1187,1.0236,-0.1215,-1.2000,0.3732,0.6268,0.5954,16.49,0.82,4.81,0.27,19.64,14.69,1.02,11.63,"102,034",10.2x,43.4x,-16.8x,1.2x,0.9x,-13.3x,1.3x,0.24,5.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Secure Energy Services Inc.,1.87,1.44,0.02,0.60,1.87,-0.0528,-0.0347,0.9893,-0.0343,-0.3200,0.3496,0.6504,0.5374,4.73,1.31,6.91,0.19,18.49,9.50,0.99,10.08,"72,094",41.7x,-40.3x,-591.2x,1.8x,1.8x,-14.9x,2.0x,0.24,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Secure Energy Services Inc.,1.52,1.25,0.04,0.41,1.52,-0.0391,-0.0147,1.4898,-0.0219,-0.2100,0.4404,0.5596,0.7870,1.38,5.34,5.07,0.16,30.79,10.27,1.49,16.70,"135,722",14.5x,"14,285.1x",86.2x,1.4x,0.8x,-70.3x,1.6x,0.27,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Secure Energy Services Inc.,1.86,1.47,0.04,1.05,1.86,0.0236,0.0068,1.8550,0.0126,0.1200,0.4668,0.5332,0.8755,-3.12,7.56,4.27,0.25,39.69,16.87,1.86,19.19,"172,928",9.4x,36.3x,-21.9x,1.2x,0.5x,-63.1x,1.3x,0.27,4.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Secure Energy Services Inc.,1.50,1.19,0.04,0.94,1.50,0.0020,0.0005,1.8531,0.0001,0.0100,0.5068,0.4932,1.0275,-0.97,4.36,6.05,0.24,44.93,17.68,1.85,29.31,"137,973",7.7x,30.5x,21.6x,1.0x,0.4x,61.6x,1.0x,0.27,4.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Secure Energy Services Inc.,1.32,1.02,0.04,0.95,1.32,-0.1185,-0.0466,1.3256,-0.0625,-0.5400,0.4789,0.5211,0.9191,3.54,1.55,6.22,0.23,36.92,17.37,1.33,35.76,"106,000",6.6x,"-2,134.9x",9.7x,0.7x,0.4x,-9.0x,0.5x,0.03,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Secure Energy Services Inc.,1.40,1.10,0.03,0.22,1.40,-0.1835,-0.0539,1.2823,-0.0695,-0.8700,0.6234,0.3766,1.6555,4.15,0.19,7.47,0.04,35.72,14.10,1.28,28.32,"245,000",20.9x,325.0x,40.0x,1.1x,1.0x,-21.3x,1.3x,0.03,3.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Secure Energy Services Inc.,1.25,1.04,0.03,0.90,1.25,0.1453,0.0230,2.8176,0.0648,0.5900,0.5542,0.4458,1.2433,-3.90,0.98,3.03,0.26,75.09,25.32,2.82,68.39,"519,000",6.6x,10.3x,14.5x,1.4x,0.4x,-155.7x,1.7x,0.4,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
