Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Spartan Delta Corp,3.25,3.25,2.80,0.54,3.25,-0.4357,-1.0693,0.3380,-0.3614,-22.8000,0.1705,0.8295,0.2055,-226.65,7.31,29.02,0.42,#DIV/0!,6.78,0.34,1.15,36.071,73.9x,-23.0x,-392.8x,3.6x,7.4x,-22.7x,4.1x,,-5,3,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Spartan Delta Corp,1.65,1.65,1.37,-0.97,1.65,-12.2228,-99.3567,0.0498,-4.9505,-51.9600,0.5950,0.4050,1.4690,"-1,432.30",12.12,-0.76,-0.91,#DIV/0!,0.44,0.05,0.14,-950.794,1.3x,0.5x,NM,NM,-2.4x,-0.5x,0.2x,,-107.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Spartan Delta Corp,0.88,0.88,0.48,-2.34,0.88,8.2539,-19.3200,0.1129,-2.1815,-4.3900,1.2643,-0.2643,-4.7836,"-1,746.53",16.27,-0.79,-2.07,#DIV/0!,0.39,0.11,-0.86,-497.214,-0.6x,-0.1x,-0.3x,12.6x,8.4x,-0.1x,19.7x,,-332.8,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Spartan Delta Corp,2.64,2.64,0.88,-0.46,2.64,-0.4252,-0.7284,0.0546,-0.0398,-4.6100,0.9065,0.0935,9.6960,-140.16,5.74,-21.66,-0.04,#DIV/0!,0.69,0.05,0.48,-411.974,-13.1x,-12.8x,-25.1x,-14.8x,213.6x,-14.4x,-15.0x,,-6.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Spartan Delta Corp,5.52,5.52,5.16,-0.87,5.52,-0.3831,-1.0883,0.1359,-0.1479,-5.6300,0.6140,0.3860,1.5905,-786.38,18.46,-5.78,-0.10,#DIV/0!,6.20,0.14,0.41,"-1,616.39",-9.9x,-5.5x,-10.6x,3.2x,5.6x,-6.6x,6.5x,,-2.3,3,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Spartan Delta Corp,2.67,2.67,2.00,-4.38,2.67,-1.0368,-1.5518,0.1657,-0.2571,-2.8500,0.7520,0.2480,3.0325,"-1,194.60",40.56,-5.50,-0.23,#DIV/0!,21.39,0.17,2.50,"-1,677.374",-1.8x,-1.1x,-0.7x,0.5x,1.4x,-0.8x,0.5x,,-7.6,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Spartan Delta Corp,17.91,17.91,17.71,-0.93,17.91,-0.0779,-1.2116,0.0482,-0.0583,-1.0000,0.2513,0.7487,0.3356,-583.03,24.29,-5.31,-0.15,#DIV/0!,12.40,0.05,0.07,"-1,621",-78.3x,-37.9x,-171.1x,41.4x,86.6x,-38.0x,109.7x,,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Spartan Delta Corp,0.54,0.54,0.06,0.70,0.54,0.3465,0.5247,0.2741,0.1438,1.0600,0.5850,0.4150,1.4097,-15.07,0.49,12.50,0.17,#DIV/0!,5.68,0.27,-4.28,"15,509",-20.8x,-9.6x,-2.2x,1.2x,4.6x,4.9x,1.4x,,3.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Spartan Delta Corp,0.45,0.45,0.01,1.15,0.45,0.3769,0.6053,0.3169,0.1918,2.8900,0.4911,0.5089,0.9652,-28.05,1.57,2.56,0.33,#DIV/0!,6.08,0.32,-4.14,"334,639",8.9x,14.7x,7.4x,1.1x,4.3x,4.2x,1.2x,,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Spartan Delta Corp,1.11,1.11,0.45,2.85,1.11,0.4490,0.5178,0.6265,0.3244,4.3600,0.2775,0.7225,0.3841,-26.28,1.31,0.63,1.37,#DIV/0!,10.13,0.63,43.29,"920,474",2.8x,3.6x,7.8x,1.5x,2.0x,3.7x,1.7x,0,9.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
