Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Tamarack Valley Energy Ltd,0.17,0.17,0.00,0.32,0.17,0.1001,0.2356,0.2332,0.0549,0.4400,0.4512,0.5488,0.8221,-9.11,4.12,3.31,0.27,#DIV/0!,3.69,0.23,-0.74,"36,711.807",7.1x,35.9x,-18.6x,1.6x,4.3x,118.3x,2.0x,,2.5,8,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Tamarack Valley Energy Ltd,0.59,0.59,0.02,1.30,0.59,-0.0827,-0.2293,0.2206,-0.0506,-0.4000,0.3882,0.6118,0.6346,11.31,8.97,2.51,0.35,#DIV/0!,5.39,0.22,-5.19,"77,038.79",5.7x,15.7x,-1.6x,0.8x,3.5x,10.3x,0.7x,,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Tamarack Valley Energy Ltd,0.92,0.92,0.02,1.93,0.92,-0.0467,-0.1813,0.1741,-0.0316,-0.1900,0.3240,0.6760,0.4792,4.04,2.73,2.68,0.35,#DIV/0!,6.14,0.17,-36.06,"66,326.548",5.2x,-20.2x,-10.1x,0.9x,3.9x,-4.9x,0.8x,,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Tamarack Valley Energy Ltd,0.50,0.50,0.01,1.70,0.50,-0.0592,-0.2607,0.1608,-0.0419,-0.2300,0.2921,0.7079,0.4126,8.56,1.48,4.81,0.31,#DIV/0!,6.45,0.16,-6.00,"40,265",10.9x,43.4x,-9.3x,1.0x,5.5x,-33.2x,1.0x,,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Tamarack Valley Energy Ltd,0.74,0.74,0.01,2.45,0.74,-0.0180,-0.0545,0.2116,-0.0115,-0.0620,0.3593,0.6407,0.5608,1.47,49.72,2.64,0.33,#DIV/0!,6.61,0.21,-16.72,"164,611",6.1x,187.0x,-7.1x,0.9x,3.9x,-66.5x,0.8x,,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Tamarack Valley Energy Ltd,0.99,0.99,0.01,5.34,0.99,0.0471,0.1065,0.2845,0.0303,0.1700,0.3572,0.6428,0.5556,-8.33,22.61,1.79,0.52,#DIV/0!,16.95,0.28,"-1,393.65","252,811",3.3x,34.1x,-10.9x,0.7x,1.9x,78.6x,0.7x,,5.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Tamarack Valley Energy Ltd,0.93,0.93,0.01,4.33,0.93,-0.0504,-0.1135,0.2756,-0.0313,-0.1700,0.3795,0.6205,0.6117,4.65,16.85,2.46,0.43,#DIV/0!,8.14,0.28,-109.34,"192,741",3.0x,15.1x,-49.2x,0.6x,2.0x,14.7x,0.5x,,4.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Tamarack Valley Energy Ltd,0.56,0.56,0.01,2.13,0.56,-0.6111,-1.5764,0.1922,-0.3030,-1.4000,0.5042,0.4958,1.0168,41.21,10.62,4.24,0.24,#DIV/0!,6.96,0.19,-7.63,"122,217",3.6x,-1.2x,3.8x,0.8x,2.4x,-1.0x,0.7x,,0.2,2,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Tamarack Valley Energy Ltd,0.93,0.93,0.01,3.15,0.93,0.3098,0.6520,0.2573,0.1677,1.1000,0.4585,0.5415,0.8468,-25.19,4.78,1.29,0.28,#DIV/0!,7.82,0.26,-88.19,"825,853",3.6x,6.6x,7.0x,1.3x,4.7x,6.8x,1.4x,,6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Tamarack Valley Energy Ltd,0.29,0.29,0.00,1.25,0.29,0.1596,0.2928,0.2552,0.0747,0.7500,0.5317,0.4683,1.1355,-10.15,4.36,2.85,0.33,#DIV/0!,6.75,0.26,-2.57,"861,676",3.6x,6.5x,-6.5x,0.9x,2.7x,5.6x,0.9x,0.15,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
