Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,TC Energy Corp,0.59,0.54,0.17,0.69,0.59,0.0887,0.2030,0.1632,0.0355,2.4200,0.6264,0.3736,1.6767,-3.67,1.65,7.74,0.11,15.90,7.84,0.16,-3.98,"4,361,000",13.3x,20.0x,-361.0x,1.4x,6.5x,21.5x,2.1x,0.92,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,TC Energy Corp,0.41,0.37,0.06,0.56,0.41,0.0891,0.1807,0.1740,0.0341,2.4600,0.6471,0.3529,1.8337,-3.36,1.86,7.72,0.11,16.47,7.76,0.17,-2.28,"4,903,000",13.6x,20.3x,-311.7x,1.5x,6.5x,23.7x,2.4x,1.92,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,TC Energy Corp,0.53,0.49,0.12,0.60,0.53,-0.0631,-0.1009,0.1763,-0.0177,-1.7500,0.7181,0.2819,2.5471,-0.19,1.26,8.48,0.09,16.67,8.19,0.18,-3.30,"5,453,000",11.9x,17.8x,-187.8x,1.3x,5.7x,19.0x,1.9x,2.08,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,TC Energy Corp,1.05,1.00,0.13,0.66,1.05,0.0090,0.0186,0.1425,0.0055,0.1600,0.7049,0.2951,2.3888,-1.43,0.56,10.35,0.08,16.30,6.05,0.14,31.06,"5,995,000",17.2x,25.7x,56.1x,1.4x,8.3x,-26.5x,3.0x,2.26,4.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,TC Energy Corp,0.47,0.44,0.11,0.53,0.47,0.1174,0.2347,0.1562,0.0394,3.4400,0.6877,0.3123,2.2019,-2.73,0.58,8.98,0.09,16.39,5.33,0.16,-2.59,"6,592,000",14.5x,21.2x,-51.8x,1.5x,7.0x,30.2x,2.6x,2.5,3.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,TC Energy Corp,0.40,0.36,0.03,0.51,0.40,0.1194,0.2706,0.1383,0.0356,3.9200,0.6867,0.3133,2.1917,-2.89,1.16,8.46,0.10,11.59,5.08,0.14,-1.75,"8,031,000",12.2x,17.3x,-71.2x,1.2x,6.7x,13.5x,1.9x,2.76,3.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,TC Energy Corp,0.59,0.56,0.10,0.55,0.59,0.1278,0.3123,0.1335,0.0447,4.2800,0.6737,0.3263,2.0645,-3.39,1.25,8.11,0.11,9.23,5.15,0.13,-2.53,"8,250,000",12.7x,17.8x,-39.7x,1.4x,8.0x,16.3x,2.4x,3,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,TC Energy Corp,0.43,0.38,0.13,0.59,0.43,0.1379,0.3551,0.1296,0.0490,4.7400,0.6663,0.3337,1.9964,-3.50,1.17,7.96,0.11,6.17,5.67,0.13,-1.92,"8,394,000",11.6x,16.8x,146.1x,1.2x,7.5x,11.0x,1.7x,3.24,3.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,TC Energy Corp,0.57,0.51,0.05,0.53,0.57,0.0585,0.1460,0.1285,0.0196,1.8700,0.6796,0.3204,2.1207,-2.00,0.69,7.70,0.10,5.53,4.06,0.13,-2.38,"9,202,000",12.6x,18.0x,"-1,247.4x",1.3x,8.0x,31.6x,2.0x,3.48,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,TC Energy Corp,0.43,0.38,0.04,0.38,0.43,0.0219,0.0499,0.1310,0.0069,0.6400,0.7016,0.2984,2.3517,-1.56,1.69,9.20,0.08,5.73,3.68,0.13,-1.56,"8,717,000",11.0x,15.2x,24.5x,1.2x,7.0x,17.0x,1.6x,3.6,3.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
