Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Tourmaline Oil Corp.,0.37,0.37,0.62,1.23,0.37,0.0440,0.2092,0.1507,0.0319,0.8100,0.2829,0.7171,0.3944,-18.43,13.73,2.59,0.36,#DIV/0!,5.20,0.15,-2.89,"513,292",19.8x,71.4x,-13.8x,2.5x,14.4x,78.7x,2.7x,,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Tourmaline Oil Corp.,0.73,0.73,0.37,1.30,0.73,0.1097,0.3827,0.1929,0.0757,2.4600,0.3273,0.6727,0.4866,-25.11,18.02,2.25,0.42,#DIV/0!,6.29,0.19,-6.73,"965,183",10.1x,22.3x,-10.3x,1.8x,7.2x,28.0x,1.9x,,6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Tourmaline Oil Corp.,0.48,0.48,0.51,1.75,0.48,0.0153,0.0758,0.1382,0.0103,0.3700,0.3153,0.6847,0.4605,-4.54,12.26,2.77,0.35,#DIV/0!,6.01,0.14,-4.27,"868,183",6.8x,26.6x,-5.1x,1.0x,5.7x,15.9x,1.0x,,5.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Tourmaline Oil Corp.,0.49,0.49,0.55,1.60,0.49,-0.0047,-0.0290,0.1177,-0.0035,-0.1400,0.2767,0.7233,0.3826,0.02,12.10,4.03,0.27,#DIV/0!,5.47,0.12,-4.92,"642,859",16.7x,-364.1x,-21.4x,1.6x,10.9x,-169.0x,1.7x,,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Tourmaline Oil Corp.,0.58,0.58,0.47,2.28,0.58,0.0481,0.2145,0.1587,0.0341,1.2900,0.2913,0.7087,0.4110,-18.92,23.55,2.31,0.40,#DIV/0!,5.97,0.16,-7.37,"1,284,751",6.5x,17.7x,-7.2x,0.9x,4.9x,19.4x,0.9x,,6.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Tourmaline Oil Corp.,0.58,0.58,0.45,2.34,0.58,0.0530,0.2378,0.1573,0.0374,1.4800,0.2945,0.7055,0.4175,-10.99,11.00,2.30,0.40,#DIV/0!,6.42,0.16,-7.39,"1,377,142",4.9x,14.4x,-129.6x,0.7x,3.5x,15.5x,0.6x,0.4,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Tourmaline Oil Corp.,0.65,0.65,0.55,2.68,0.65,0.0401,0.1741,0.1642,0.0286,1.1800,0.2875,0.7125,0.4034,-5.47,16.31,2.67,0.37,#DIV/0!,7.07,0.16,-12.00,"1,202,369",4.2x,10.9x,-18.5x,0.6x,3.6x,9.2x,0.5x,0.48,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Tourmaline Oil Corp.,1.22,1.22,0.43,2.17,1.22,0.0667,0.2780,0.1739,0.0484,2.2700,0.2747,0.7253,0.3788,-8.72,13.45,2.92,0.32,#DIV/0!,6.12,0.17,19.91,"1,202,587",6.3x,31.8x,-172.3x,0.7x,3.3x,100.8x,0.7x,0.56,6.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Tourmaline Oil Corp.,0.66,0.66,0.23,2.71,0.66,0.1746,0.4251,0.3116,0.1327,6.4900,0.2410,0.7590,0.3176,-187.16,1.53,1.30,0.77,#DIV/0!,7.31,0.31,-13.20,"2,826,028",7.2x,15.4x,25.9x,1.2x,3.6x,8.1x,1.3x,1.47,8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Tourmaline Oil Corp.,1.56,1.56,0.17,3.27,1.56,0.3278,0.6321,0.3757,0.2375,13.3700,0.2756,0.7244,0.3804,"1,334.36",18.51,1.03,0.90,#DIV/0!,6.49,0.38,8.77,"5,030,707",4.1x,5.4x,17.4x,1.5x,2.9x,4.6x,1.5x,8,8.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
