Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Whitecap Resources Inc.,0.59,0.59,0.00,2.46,0.59,0.0315,0.1012,0.1945,0.0197,0.2700,0.3756,0.6244,0.6016,-4.48,2.99,3.13,0.36,#DIV/0!,7.24,0.19,-8.50,"246,331",10.6x,26.5x,-8.7x,1.6x,6.6x,44.0x,1.8x,0.3675,5.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Whitecap Resources Inc.,1.67,1.67,0.00,3.21,1.67,0.1788,0.6411,0.1827,0.1171,1.9500,0.3451,0.6549,0.5269,-17.48,3.99,1.89,0.35,#DIV/0!,7.85,0.18,7.24,"705,671",8.0x,17.1x,-4.2x,1.2x,5.7x,10.2x,1.3x,0.75,6.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Whitecap Resources Inc.,0.90,0.90,0.00,3.04,0.90,-0.1998,-0.9280,0.1290,-0.1197,-1.7600,0.4008,0.5992,0.6688,13.35,4.69,6.28,0.30,#DIV/0!,7.03,0.13,-32.54,"267,055",6.5x,-23.5x,41.1x,1.0x,6.0x,-11.0x,1.0x,0.75,3.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Whitecap Resources Inc.,0.48,0.48,0.00,1.58,0.48,0.0545,0.3136,0.1060,0.0333,0.5000,0.3900,0.6100,0.6394,-9.18,2.77,6.21,0.18,#DIV/0!,5.33,0.11,-4.53,"322,508",18.0x,-108.4x,-10.9x,1.4x,10.7x,-41.7x,1.5x,0.2796,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Whitecap Resources Inc.,0.77,0.77,0.00,2.31,0.77,-0.0372,-0.1431,0.1453,-0.0208,-0.3300,0.4409,0.5591,0.7885,4.42,4.32,4.32,0.19,#DIV/0!,6.21,0.15,-17.46,"608,855",8.4x,10.2x,85.6x,1.1x,5.7x,12.5x,1.2x,0.294,4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Whitecap Resources Inc.,1.17,1.17,0.00,4.11,1.17,0.0202,0.0518,0.2110,0.0109,0.1600,0.4580,0.5420,0.8451,-2.78,8.96,3.11,0.27,#DIV/0!,10.38,0.21,41.21,"876,833",4.7x,-16.4x,-5.1x,0.7x,2.4x,-10.4x,0.6x,0.324,4.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Whitecap Resources Inc.,0.83,0.83,0.00,2.97,0.83,-0.0532,-0.1298,0.2240,-0.0291,-0.3800,0.4535,0.5465,0.8299,3.24,4.67,3.87,0.27,#DIV/0!,6.97,0.22,-32.38,"627,468",4.2x,26.0x,10.9x,0.8x,3.1x,41.3x,0.7x,0.342,3.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Whitecap Resources Inc.,0.91,0.91,0.00,2.72,0.91,-1.8506,-2.2752,0.2398,-0.5456,-4.5200,0.7052,0.2948,2.3918,42.72,3.19,5.17,0.19,#DIV/0!,6.99,0.24,-54.62,"461,044",6.1x,-1.1x,3.5x,1.7x,3.5x,-0.8x,2.9x,0.171,-3.6,5,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Whitecap Resources Inc.,0.61,0.61,0.00,2.08,0.61,0.4751,0.7799,0.3312,0.2583,2.9700,0.4563,0.5437,0.8394,-65.29,2.29,0.61,0.36,#DIV/0!,7.47,0.33,-10.77,"5,125,973",2.2x,2.3x,3.1x,1.2x,3.3x,2.4x,1.3x,0.27,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Whitecap Resources Inc.,1.29,1.29,0.00,2.89,1.29,0.3319,0.4277,0.4112,0.1759,2.7200,0.4701,0.5299,0.8872,-56.75,49.62,1.82,0.49,#DIV/0!,8.16,0.41,17.96,"2,455,400",1.7x,4.1x,2.2x,1.2x,2.3x,4.2x,1.4x,0.4404,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
