Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Andlauer Healthcare Gr,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Andlauer Healthcare Gr,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Andlauer Healthcare Gr,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Andlauer Healthcare Gr,3.26,3.25,0.91,0.78,3.26,0.1305,0.0856,0.8700,0.0797,,0.4289,0.5711,0.7511,-11.17,1.70,3.10,0.27,406.75,5.37,0.87,2.61,"35,597",NA,NA,NM,NM,NA,NA,NA,,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Andlauer Healthcare Gr,3.75,3.72,1.26,1.07,3.75,0.1294,0.0864,0.9368,0.0865,,0.3748,0.6252,0.5994,-12.61,2.26,2.53,0.42,148.89,5.58,0.94,2.30,"39,714",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Andlauer Healthcare Gr,3.55,3.52,1.19,1.16,3.55,0.1574,0.0965,1.0016,0.1019,,0.3863,0.6137,0.6295,-18.85,2.76,2.30,0.49,139.80,5.72,1.00,2.41,"46,408",NA,NA,NM,NM,NA,NA,NA,,9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Andlauer Healthcare Gr,1.54,1.52,0.33,1.08,1.54,0.4841,0.1027,1.3615,0.1425,0.7900,0.7112,0.2888,2.4631,-17.95,0.29,2.99,0.40,183.19,5.68,1.36,9.49,"50,611",16.0x,18.8x,-14.2x,3.3x,2.8x,26.5x,4.6x,,6.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Andlauer Healthcare Gr,1.92,1.90,0.63,1.06,1.92,0.3998,0.1200,1.2434,0.1492,1.0000,0.6269,0.3731,1.6800,-11.81,2.04,2.96,0.32,170.30,5.43,1.24,7.08,"53,607",30.5x,34.9x,15.2x,7.8x,5.3x,49.8x,18.9x,0.2,7.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Andlauer Healthcare Gr,1.35,1.32,0.28,0.93,1.35,0.2555,0.2044,0.6832,0.1396,2.3000,0.4534,0.5466,0.8294,-19.01,2.70,3.23,0.29,123.49,4.89,0.68,13.91,"90,381",30.5x,36.9x,87.7x,7.0x,6.2x,44.2x,14.7x,0.2,8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Andlauer Healthcare Gr,2.01,1.97,0.77,1.60,2.01,0.1730,0.1176,0.9101,0.1071,1.8200,0.3810,0.6190,0.6156,-17.58,3.89,1.86,0.51,127.82,6.59,0.91,7.51,"145,654",15.2x,20.1x,24.5x,3.7x,3.4x,27.8x,4.8x,0.28,10.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
