Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Bausch Health Companies Inc,1.55,1.20,0.24,0.41,1.55,-0.1655,-0.1502,0.2061,-0.0309,-2.8700,0.8129,0.1871,4.3448,0.57,0.15,7.98,0.05,1.73,3.44,0.21,4.20,"3,025,282.572",23.7x,51.1x,29.6x,2.5x,12.1x,-36.2x,7.9x,,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Bausch Health Companies Inc,1.53,1.20,0.12,0.85,1.53,0.1631,0.1074,0.3117,0.0335,3.0400,0.7946,0.2054,3.8697,-2.09,0.48,5.34,0.11,2.48,3.95,0.31,5.76,"4,530,369.84",16.9x,30.0x,22.2x,3.0x,7.9x,95.6x,9.4x,,6.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Bausch Health Companies Inc,1.04,0.80,0.11,0.42,1.04,-0.0484,-0.0280,0.2133,-0.0059,-1.1800,0.8769,0.1231,7.1216,-0.90,0.34,8.41,0.05,1.95,3.89,0.21,53.82,"7,083,085.4",13.0x,22.8x,16.7x,1.7x,6.5x,58.5x,5.5x,,4.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Bausch Health Companies Inc,1.41,1.11,0.15,0.58,1.41,-0.7394,-0.2490,0.2222,-0.0553,-9.3100,0.9252,0.0748,12.3607,0.33,0.49,9.89,0.05,2.43,3.84,0.22,6.59,"5,466,620.22",8.0x,23.3x,8.0x,1.0x,3.5x,-2.2x,1.2x,,3.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Bausch Health Companies Inc,1.11,0.87,0.17,0.54,1.11,0.4044,0.2756,0.2327,0.0641,8.6300,0.8415,0.1585,5.3084,-0.05,0.14,9.24,0.07,2.43,4.10,0.23,18.25,"4,290,789.47",9.4x,40.1x,10.2x,1.0x,3.7x,5.3x,1.4x,,3.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Bausch Health Companies Inc,1.10,0.85,0.19,0.39,1.10,-1.4735,-0.4950,0.2579,-0.1275,-16.1200,0.9134,0.0866,10.5425,1.48,0.13,8.94,0.05,2.52,4.49,0.26,22.35,"4,530,368.62",9.1x,120.7x,6.8x,1.1x,3.6x,-2.0x,2.0x,,1.6,4,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Bausch Health Companies Inc,1.12,0.94,0.52,0.24,1.12,-1.5739,-0.2079,0.2540,-0.0527,-6.5900,0.9665,0.0335,28.8090,0.15,0.25,9.58,0.05,2.12,4.68,0.25,11.93,"4,436,940.33",10.0x,27.1x,11.3x,1.3x,4.0x,-17.1x,4.2x,,2.3,5,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Bausch Health Companies Inc,1.09,0.86,0.12,0.23,1.09,-0.9256,-0.0698,0.2573,-0.0179,-2.0100,0.9806,0.0194,50.5686,-0.39,0.16,9.75,0.04,2.06,5.09,0.26,18.71,"3,992,853.96",9.8x,24.7x,11.8x,1.2x,3.8x,-3.8x,12.6x,,1.8,4,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Bausch Health Companies Inc,1.08,0.89,0.11,0.27,1.08,27.8824,-0.1124,0.2888,-0.0321,-3.3400,1.0012,-0.0012,-859.8824,-0.28,0.29,8.97,0.05,2.41,4.75,0.29,20.62,"4,122,367.8",9.7x,19.1x,8.9x,1.4x,3.7x,-8.5x,-48.6x,,1.7,3,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Bausch Health Companies Inc,1.08,0.80,0.14,-0.18,1.08,-0.8654,-0.0277,0.3163,-0.0083,-0.8400,0.9899,0.0101,97.7923,-0.91,0.08,8.83,-0.03,2.17,4.54,0.32,26.55,"3,896,668.1",8.3x,16.2x,11.3x,1.1x,3.0x,-11.5x,-3.7x,,1.1,4,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
