Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,BELLUS Health Inc.,5.20,5.20,3.46,-0.98,5.20,-0.0806,-0.3865,0.0955,-0.0411,-0.0660,0.5422,0.4578,1.1843,-17.18,2.48,#VALUE!,-0.25,#DIV/0!,2.93,0.10,0.16,,NA,-5.7x,-3.8x,0.5x,4.4x,-26.5x,1.8x,,-53.9,5,0,,,,,,,,,,,,,,,,,,,,,,,
2014,BELLUS Health Inc.,3.70,3.70,2.43,-0.93,3.70,-0.2031,-0.8127,0.1422,-0.1178,-0.1500,0.4309,0.5691,0.7573,-22.46,0.67,#VALUE!,-0.47,#DIV/0!,2.26,0.14,0.24,,NA,-17.8x,-27.8x,4.0x,27.8x,-24.3x,7.9x,,-79.2,2,0,,,,,,,,,,,,,,,,,,,,,,,
2015,BELLUS Health Inc.,2.87,2.87,0.66,-0.62,2.87,0.0195,0.0502,0.2680,0.0270,0.0150,0.3091,0.6909,0.4475,1.82,21.23,#VALUE!,-0.61,#DIV/0!,2.14,0.27,0.47,,NA,-36.6x,-19.2x,4.2x,12.9x,-102.0x,5.8x,,-87.1,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,BELLUS Health Inc.,6.84,6.84,2.12,-2.42,6.84,-0.2613,-1.1405,0.1975,-0.2325,-0.1300,0.1378,0.8622,0.1599,-25.87,33.07,#VALUE!,-2.23,#DIV/0!,61.06,0.20,0.27,,NA,-15.0x,-3.8x,1.1x,2.9x,-21.7x,1.9x,,-144.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
2017,BELLUS Health Inc.,11.80,11.80,3.51,-1.97,11.80,-0.0713,-11.3576,0.0058,-0.0658,-0.0980,0.0775,0.9225,0.0841,-27.28,63.20,#VALUE!,-1.97,#DIV/0!,6.60,0.01,0.01,,NA,-8.3x,-9.0x,4.1x,75.0x,-57.4x,4.7x,,-33.5,3,0,,,,,,,,,,,,,,,,,,,,,,,
2018,BELLUS Health Inc.,18.73,18.73,5.50,-3.75,18.73,-0.1796,-259.5429,0.0007,-0.1704,-0.2700,0.0510,0.9490,0.0537,-26.45,28.50,#VALUE!,-3.75,#DIV/0!,0.23,0.00,0.00,,NA,-16.0x,-19.9x,6.5x,"2,801.4x",-18.8x,7.4x,,-1.8,2,0,,,,,,,,,,,,,,,,,,,,,,,
2019,BELLUS Health Inc.,12.38,12.38,2.46,-2.77,12.38,-0.2931,-963.2656,0.0003,-0.2699,-0.7100,0.0792,0.9208,0.0860,-24.16,21.60,#VALUE!,-2.76,#DIV/0!,0.11,0.00,0.00,,NA,-16.7x,-28.8x,3.3x,"11,817.8x",-23.2x,4.3x,,4.7,0,2,,,,,,,,,,,,,,,,,,,,,,,
2020,BELLUS Health Inc.,18.11,18.11,8.65,-5.26,18.11,-0.2159,-2117.1666,0.0001,-0.2074,-0.6800,0.0392,0.9608,0.0408,-32.57,36.32,#VALUE!,-4.96,#DIV/0!,0.05,0.00,0.00,,NA,-4.8x,-5.4x,1.4x,"9,056.9x",-6.9x,2.0x,,18.2,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,BELLUS Health Inc.,15.23,15.23,8.85,-3.61,15.23,-0.2439,-4451.6056,0.0001,-0.2301,-1.1400,0.0567,0.9433,0.0602,-402.25,"1,974.65",-0.24,-3.48,#DIV/0!,0.04,0.00,0.00,"-92,440.516",NA,-11.9x,-16.4x,8.1x,"48,329.3x",-13.0x,8.7x,,17.9,1,2,,,,,,,,,,,,,,,,,,,,,,,
2022,BELLUS Health Inc.,22.42,22.42,5.50,-4.86,22.42,-0.1946,-4755.0439,0.0000,-0.1866,-0.8900,0.0412,0.9588,0.0430,-17.47,18.00,-0.22,-4.59,#DIV/0!,0.02,0.00,0.00,"-105,059.75",-19.3x,-19.2x,-19.3x,3.8x,"93,462.7x",-24.0x,4.7x,,26.6,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
