Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canopy Growth Corp,2.41,2.41,1.63,-1.08,2.41,-0.2434,#DIV/0!,0.0000,-0.1810,-15.7700,0.2562,0.7438,0.3444,"-4,340.19",#VALUE!,-1.42,-1.05,#DIV/0!,#DIV/0!,0.00,0.00,-930.76,NA,NA,NA,NM,NA,NA,NA,,6.8,1,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canopy Growth Corp,3.75,2.58,2.11,-3.56,3.75,-0.4122,-7.7958,0.0441,-0.3440,-0.3000,0.1654,0.8346,0.1982,-136.70,383.70,-0.67,-2.27,0.23,6.27,0.04,0.15,"-6,374.204",NA,NA,NM,NM,NA,0.0x,0.0x,,7.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canopy Growth Corp,6.49,5.08,4.74,-1.93,6.49,-0.1806,-3.9418,0.0397,-0.1565,-0.2300,0.1332,0.8668,0.1537,-184.25,#VALUE!,-1.05,-1.37,0.06,5.55,0.04,0.08,"-6,057.6",NA,NA,61.6x,NA,NA,NA,NA,,11.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canopy Growth Corp,6.23,2.42,2.14,-1.88,6.23,-0.0282,-0.2753,0.0886,-0.0244,-0.0450,0.1366,0.8634,0.1581,23.07,6.63,21.12,-0.69,0.23,11.44,0.09,0.34,927,52.8x,80.8x,-7.8x,1.8x,29.6x,817.2x,2.0x,,12,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canopy Growth Corp,10.12,6.68,5.76,-1.53,10.12,-0.0118,-0.1885,0.0568,-0.0108,-0.0630,0.0896,0.9104,0.0985,#VALUE!,#VALUE!,-91.03,-0.43,0.02,14.28,0.06,0.25,-692,163.4x,311.9x,-36.4x,4.9x,42.1x,"-2,095.4x",5.4x,,17.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canopy Growth Corp,5.24,3.86,3.51,-0.89,5.24,-0.0541,-0.8632,0.0543,-0.0355,-0.3800,0.1347,0.8653,0.1557,-91.91,86.16,-2.02,-0.42,0.35,13.29,0.05,0.20,"-95,705",-247.6x,-143.5x,-36.1x,6.3x,91.0x,-321.0x,6.9x,,11.4,1,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canopy Growth Corp,11.95,11.44,6.03,-1.30,11.95,-0.1041,-3.2530,0.0264,-0.0831,-2.7600,0.1743,0.8257,0.2111,-23.91,20.41,-2.63,-0.36,0.94,3.66,0.03,0.05,"-567,140",-33.5x,-31.5x,-17.0x,1.9x,100.5x,-49.9x,2.7x,,11.7,1,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canopy Growth Corp,6.10,5.12,3.10,-1.84,6.10,-0.2552,-3.3135,0.0581,-0.2023,-3.8000,0.2450,0.7550,0.3244,-26.32,13.96,-2.19,-0.46,0.72,7.79,0.06,0.19,"-767,755",-7.2x,-6.4x,-3.1x,0.9x,14.4x,-17.3x,1.4x,,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canopy Growth Corp,9.98,8.68,4.06,-1.64,9.98,-0.4818,-3.1920,0.0801,-0.2449,-4.6900,0.4692,0.5308,0.8840,-131.46,171.79,-7.14,-0.15,1.24,8.15,0.08,0.21,"-448,159",-28.6x,-22.1x,-40.5x,2.9x,28.3x,-6.6x,3.9x,,2.9,3,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Canopy Growth Corp,8.16,7.20,3.64,-2.56,8.16,-0.0832,-0.5808,0.0927,-0.0571,-0.7700,0.3534,0.6466,0.5466,2.38,3.69,-3.82,-0.28,2.94,6.67,0.09,0.34,"-519,641",-7.3x,-6.0x,-6.9x,0.7x,6.6x,-8.7x,0.9x,,0.9,3,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
