Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Cronos Group Inc,0.10,0.10,0.02,-0.34,0.10,-0.7464,3.1669,-0.1657,-0.5249,-0.0530,0.2968,0.7032,0.4220,#DIV/0!,#DIV/0!,#DIV/0!,-0.34,#DIV/0!,#DIV/0!,-0.17,0.62,0,NA,NA,NM,NM,NA,NA,NA,0,-1.1,2,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Cronos Group Inc,2.24,2.21,1.13,-2.36,2.24,-0.5169,7.2055,-0.0643,-0.4634,-0.1500,0.1035,0.8965,0.1155,#DIV/0!,#DIV/0!,-0.33,-1.55,1.87,#DIV/0!,-0.06,-0.76,"-3,252.147",NA,-12.0x,-8.6x,2.3x,-48.5x,-13.5x,2.6x,0,8.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Cronos Group Inc,0.53,0.53,0.48,-0.59,0.53,0.0330,0.1134,0.2312,0.0262,0.0110,0.2052,0.7948,0.2582,-1.52,3.31,5.40,-0.46,#DIV/0!,#DIV/0!,0.23,-3.09,559.96,-4.4x,-4.2x,-4.7x,1.7x,-23.4x,-2.6x,1.8x,0,5.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Cronos Group Inc,1.04,0.56,0.45,-0.83,1.04,-0.0353,-2.1480,0.0129,-0.0277,-0.0150,0.2150,0.7850,0.2739,6.58,2.22,-5.27,-0.70,0.39,5.18,0.01,1.73,"-1,749",-185.3x,-148.3x,-105.2x,5.0x,75.8x,-479.7x,5.7x,0,6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Cronos Group Inc,3.39,1.85,1.17,-0.68,3.39,-0.0215,-0.4712,0.0391,-0.0184,-0.0140,0.1451,0.8549,0.1698,23.18,44.10,-2.18,-0.37,0.16,3.46,0.04,0.21,"-6,729.738","-6,650.8x","-1,342.0x",-61.9x,19.7x,322.3x,802.2x,21.4x,0,10.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Cronos Group Inc,1.20,0.98,0.72,-0.23,1.20,-0.1456,-1.7850,0.0661,-0.1189,-0.1600,0.1903,0.8097,0.2351,-259.31,92.80,-1.88,-0.22,0.80,3.97,0.07,1.82,"-25,384.533",-217.9x,-196.5x,-16.9x,10.5x,205.1x,-246.1x,11.0x,0,6.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Cronos Group Inc,4.73,4.61,3.60,-0.39,4.73,0.6669,49.1160,0.0114,0.5576,4.8900,0.1633,0.8367,0.1952,40.69,10.93,-2.28,-0.38,1.09,5.12,0.01,0.02,"-194,156.717",-16.5x,-15.6x,4.0x,0.7x,55.0x,2.5x,1.7x,0,14.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Cronos Group Inc,6.63,6.42,5.21,-0.70,6.63,-0.0428,-1.5655,0.0243,-0.0391,-0.2600,0.1130,0.8870,0.1273,-4.98,7.87,-1.25,-0.67,1.65,5.23,0.02,0.04,"-220,958.278",-6.3x,-6.1x,-2.2x,0.6x,30.2x,24.5x,1.4x,0,17.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Cronos Group Inc,19.86,19.25,16.31,-2.83,19.86,-0.2969,-5.3215,0.0533,-0.2842,-1.3500,0.0454,0.9546,0.0476,-44.78,16.93,-0.35,-2.42,2.80,3.37,0.05,0.07,"-231,979.293",-2.0x,-1.8x,-1.7x,0.3x,6.1x,-3.9x,1.0x,0,30.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Cronos Group Inc,14.10,13.54,11.23,-1.31,14.10,-0.1479,-1.8360,0.0758,-0.1391,-0.6100,0.0594,0.9406,0.0631,-6.97,3.95,-0.69,-1.23,2.13,3.98,0.08,0.10,"-141,615.046",1.9x,1.7x,NM,NM,-2.2x,-4.0x,0.6x,0,25.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
