Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,dentalcorp Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,dentalcorp Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,dentalcorp Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,dentalcorp Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2017,dentalcorp Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2018,dentalcorp Holdings Ltd,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.1940,#VALUE!,#VALUE!,-1.4700,#VALUE!,#VALUE!,#VALUE!,0.70,0.04,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"92,881.646",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,dentalcorp Holdings Ltd,1.29,1.11,0.60,0.18,1.29,-0.0879,-0.0833,0.3099,-0.0258,-0.7300,0.7064,0.2936,2.4063,0.04,0.19,13.21,0.01,14.85,13.15,0.31,18.89,"132,437.105",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2020,dentalcorp Holdings Ltd,1.29,1.04,0.65,-0.22,1.29,-0.2690,-0.2358,0.2592,-0.0611,-1.7600,0.7728,0.2272,3.4009,0.30,0.21,99.31,-0.02,9.60,13.30,0.26,14.87,"20,000",NA,NA,NM,NM,NA,NA,NA,,1.1,1,0,,,,,,,,,,,,,,,,,,,,,,,
2021,dentalcorp Holdings Ltd,1.54,1.33,0.83,0.32,1.54,-0.1059,-0.1556,0.3632,-0.0565,-1.2200,0.4665,0.5335,0.8744,0.98,0.03,22.94,0.04,15.08,15.03,0.36,11.13,"57,700",49.8x,-49.5x,41.3x,1.4x,3.7x,-18.2x,1.8x,,2.3,7,1,,,,,,,,,,,,,,,,,,,,,,,
2022,dentalcorp Holdings Ltd,1.42,1.22,0.60,0.76,1.42,-0.0093,-0.0133,0.3704,-0.0049,-0.0910,0.4703,0.5297,0.8880,0.17,1.53,9.61,0.09,18.08,14.81,0.37,16.34,"165,200",17.7x,503.0x,24.1x,0.9x,2.3x,-99.8x,0.9x,,3.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
