Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Extendicare Inc,0.92,0.92,0.22,0.23,0.92,0.0055,0.0067,0.4239,0.0029,0.1200,0.9798,0.5188,1.8887,-1.54,0.81,26.05,0.05,#DIV/0!,4.79,0.42,-21.76,"69,553",9.5x,17.0x,23.9x,1.4x,0.8x,22.8x,12.5x,0.32,2.5,5,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Extendicare Inc,1.04,1.04,0.03,0.07,1.04,-0.0187,-0.0230,0.4261,-0.0098,0.1300,1.0013,0.5228,1.9153,-1.57,0.48,25.68,0.04,#DIV/0!,36.60,0.43,17.33,"74,666","19,610.8x",85.5x,-46.8x,1.4x,-14.0x,336.5x,-80.1x,0.48,2.7,5,1,,,,,,,,,,,,,,,,,,,,,,,
2015,Extendicare Inc,0.97,0.97,0.48,0.24,0.97,0.2382,0.2460,0.9185,0.2260,0.2700,0.8324,0.9488,0.8773,-2.63,0.40,10.21,0.06,#DIV/0!,24.37,0.92,-141.87,"83,691",13.3x,18.6x,14.9x,1.8x,1.2x,34.8x,4.9x,0.48,2.7,6,1,,,,,,,,,,,,,,,,,,,,,,,
2016,Extendicare Inc,0.88,0.88,0.49,0.00,0.88,0.0357,0.0334,1.0730,0.0359,0.3600,0.8232,1.0050,0.8191,-3.55,0.01,8.76,0.00,#DIV/0!,25.98,1.07,-43.92,"92,935",14.1x,20.7x,48.6x,1.9x,1.2x,34.4x,5.4x,0.48,2.6,3,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Extendicare Inc,0.93,0.93,0.59,0.22,0.93,0.0022,0.0019,1.1745,0.0023,0.3600,0.8620,1.0576,0.8150,-2.96,1.08,8.25,0.06,#DIV/0!,32.79,1.17,-69.69,"97,597",12.8x,19.3x,21.4x,1.8x,1.1x,23.4x,6.3x,0.48,2.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Extendicare Inc,0.69,0.69,0.29,0.17,0.69,0.0321,0.0283,1.2496,0.0354,0.0910,0.8594,1.1026,0.7795,-1.52,0.22,8.17,0.05,#DIV/0!,28.07,1.25,-16.13,"94,238",10.3x,15.4x,38.5x,1.6x,0.9x,20.5x,4.4x,0.48,1.8,6,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Extendicare Inc,0.67,0.67,0.34,0.16,0.67,0.0288,0.0253,1.2736,0.0322,0.1700,0.8701,1.1197,0.7771,-1.83,0.73,8.62,0.06,#DIV/0!,24.42,1.27,-12.31,"89,711",13.4x,22.8x,76.9x,1.8x,1.1x,589.0x,6.6x,0.48,1.5,4,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Extendicare Inc,1.06,1.06,0.64,0.43,1.06,0.0543,0.0491,1.1458,0.0563,0.4700,0.8669,1.0365,0.8364,-3.02,1.44,5.52,0.15,#DIV/0!,22.20,1.15,66.64,"151,373",5.3x,6.6x,8.6x,1.4x,0.9x,18.9x,4.9x,0.48,3.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Extendicare Inc,0.80,0.80,0.37,0.21,0.80,0.0114,0.0099,1.2962,0.0128,0.0830,0.8868,1.1204,0.7915,-1.72,1.14,11.71,0.07,#DIV/0!,17.45,1.30,-20.48,"68,171",6.3x,7.8x,12.4x,1.6x,1.0x,23.8x,5.6x,0.48,1.6,5,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Extendicare Inc,0.94,0.94,0.61,0.36,0.94,0.0717,0.0569,1.5630,0.0890,-0.0510,0.8712,1.2419,0.7015,-0.71,0.60,13.05,0.14,#DIV/0!,20.42,1.56,-72.08,"52,187",14.7x,29.6x,41.6x,1.6x,0.6x,-121.9x,5.5x,0.48,1.7,7,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
