Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Fennec Pharmaceuticals Inc,0.55,0.55,0.52,-0.69,0.55,-1.2680,#DIV/0!,0.0000,1.0531,0.2000,1.8305,-0.8305,-2.2041,921.38,"1,104.85",#VALUE!,-0.69,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-3.5x,11.3x,-2.2x,NA,-1.7x,-2.4x,,-89.7,5,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Fennec Pharmaceuticals Inc,1.35,1.35,1.31,-0.97,1.35,-3.5498,#DIV/0!,0.0000,-0.9174,-0.2600,0.7416,0.2584,2.8695,"-1,089.07",849.55,#VALUE!,-0.97,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-11.1x,-9.2x,-8.6x,NA,-11.5x,-8.8x,,-59.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Fennec Pharmaceuticals Inc,2.16,2.16,2.00,-3.95,2.16,-1.2026,#DIV/0!,0.0000,-0.6467,-0.0840,0.4622,0.5378,0.8595,-220.69,620.73,#VALUE!,-3.95,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-8.3x,-3.3x,17.4x,NA,15.0x,18.7x,,-134.4,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Fennec Pharmaceuticals Inc,9.88,9.88,9.77,-5.28,9.88,-0.7812,#DIV/0!,0.0000,-0.7022,-0.2900,0.1012,0.8988,0.1126,-349.61,265.49,#VALUE!,-5.28,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-10.8x,-12.4x,5.8x,NA,-13.3x,6.9x,,1.9,2,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Fennec Pharmaceuticals Inc,17.28,17.28,17.19,-2.21,17.28,-0.2633,#DIV/0!,0.0000,-0.2481,-0.5900,0.0579,0.9421,0.0614,-150.91,77.47,#VALUE!,-2.21,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-31.3x,-40.8x,19.7x,NA,-31.3x,20.8x,,61.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Fennec Pharmaceuticals Inc,14.02,14.02,13.92,-4.78,14.02,-0.4639,#DIV/0!,0.0000,-0.4308,-0.7100,0.0713,0.9287,0.0768,-29.41,22.49,#VALUE!,-4.78,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-10.3x,-13.3x,4.4x,NA,-13.7x,5.5x,,37.7,1,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Fennec Pharmaceuticals Inc,6.11,6.11,6.01,-3.99,6.11,-1.0758,#DIV/0!,0.0000,-0.9031,-0.8300,0.1605,0.8395,0.1912,-51.90,36.10,#VALUE!,-3.99,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-9.1x,-9.6x,7.6x,NA,-10.6x,8.6x,,17.8,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Fennec Pharmaceuticals Inc,13.39,13.39,12.93,-6.64,13.39,-0.6229,-106.5237,0.0054,-0.5764,-0.9700,0.0747,0.9253,0.0807,54.89,48.13,#VALUE!,-6.64,#DIV/0!,#DIV/0!,0.01,0.01,,NA,-8.7x,-11.2x,5.1x,NA,-10.4x,6.2x,,41.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Fennec Pharmaceuticals Inc,13.54,13.54,12.76,-8.60,13.54,-1.0998,#DIV/0!,0.0000,-0.7739,-0.8400,0.2963,0.7037,0.4211,196.11,139.43,#VALUE!,-2.14,#DIV/0!,#DIV/0!,0.00,0.00,,NA,-5.8x,-6.1x,4.0x,559.3x,-7.1x,6.0x,,-2.3,3,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Fennec Pharmaceuticals Inc,5.80,5.67,5.16,-3.92,5.80,9.2308,-15.4489,0.0570,-0.8803,-1.2200,1.0954,-0.0954,-11.4862,24.44,3.04,#VALUE!,-0.61,0.15,0.99,0.06,0.07,,NA,-9.6x,-11.9x,9.7x,141.1x,-9.1x,-83.9x,,-7.9,1,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
