Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Knight Therapeutics Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Knight Therapeutics Inc,56.22,56.14,37.18,0.11,56.22,0.2628,344.8192,0.0008,0.2586,2.2000,0.0157,0.9843,0.0159,32.80,0.21,-1.54,0.11,0.00,3.61,0.00,0.00,"-4,947",NA,NA,"1,116.5x",1.5x,NA,NA,2.4x,,75.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Knight Therapeutics Inc,74.11,73.89,35.23,1.43,74.11,0.0532,32.9479,0.0016,0.0526,0.3600,0.0107,0.9893,0.0108,0.99,0.52,-0.62,1.39,0.29,2.50,0.00,0.00,"-11,184",-15.3x,-15.2x,-30.1x,0.5x,224.6x,5.2x,1.3x,,106.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Knight Therapeutics Inc,81.96,81.88,52.77,1.51,81.96,0.0189,3.1246,0.0060,0.0187,0.1500,0.0112,0.9888,0.0113,-0.04,0.60,-1.49,1.33,1.96,2.28,0.01,0.01,"-7,399",-96.1x,-91.8x,-138.8x,1.0x,149.0x,93.9x,1.7x,,102.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Knight Therapeutics Inc,56.04,55.95,34.81,1.64,56.04,0.0174,1.9972,0.0086,0.0171,0.1200,0.0147,0.9853,0.0149,-0.19,0.89,-2.03,1.59,1.29,4.08,0.01,0.01,"-7,277",-29.3x,-25.2x,-26.5x,0.4x,30.9x,65.8x,1.2x,,79.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Knight Therapeutics Inc,41.75,41.69,14.24,-0.33,41.75,0.0234,1.9263,0.0119,0.0229,0.1700,0.0207,0.9793,0.0212,0.41,0.27,-5.66,-0.26,1.96,4.32,0.01,0.02,"-3,851",-19.2x,-13.5x,31.6x,0.3x,7.6x,35.4x,1.1x,,58,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Knight Therapeutics Inc,1.77,1.57,0.48,0.01,1.77,0.0159,0.3059,0.0364,0.0138,0.1000,0.2989,0.7011,0.4264,-0.02,0.32,-431.63,0.01,0.29,0.55,0.04,0.18,-904,1.5x,1.2x,14.9x,0.3x,-0.8x,48.0x,1.1x,,7.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Knight Therapeutics Inc,4.84,4.35,2.01,-0.11,4.84,0.0475,0.2108,0.1919,0.0305,0.3200,0.1476,0.8524,0.1731,1.94,1.76,51.59,-0.08,2.09,3.19,0.19,0.46,"2,974",19.6x,-13.7x,-3.0x,0.4x,1.1x,25.6x,0.8x,,13.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Knight Therapeutics Inc,2.90,2.21,0.82,0.42,2.90,0.0186,0.0644,0.2455,0.0158,0.1300,0.1511,0.8489,0.1780,0.78,2.25,4.62,0.30,1.77,4.40,0.25,1.22,"32,458",12.1x,-57.8x,16.1x,0.6x,1.5x,19.5x,0.7x,,12.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Knight Therapeutics Inc,2.80,2.14,0.51,0.29,2.80,-0.0362,-0.1018,0.2783,-0.0283,-0.2600,0.2171,0.7829,0.2773,-11.90,2.49,5.59,0.18,1.68,3.09,0.28,1.15,"40,976",6.2x,-14.8x,20.3x,0.4x,0.9x,-17.7x,0.6x,,10.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
