Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Profound Medical Corp,3.24,3.24,0.84,-4.43,3.24,0.4747,#DIV/0!,0.0000,-5.5228,-65.5700,12.6332,-11.6332,-1.0860,7.54,1.95,-10.89,-0.10,#DIV/0!,#DIV/0!,0.00,0.00,"-2,985.399",NA,NA,NM,NM,NA,NA,NA,,NA,1,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Profound Medical Corp,0.06,0.06,0.01,-0.08,0.06,0.2162,#DIV/0!,0.0000,-3.1446,-37.8600,15.5418,-14.5418,-1.0688,2.83,1.39,-9.53,-0.07,#DIV/0!,#DIV/0!,0.00,0.00,"-4,253.861",NA,NA,NM,NM,NA,NA,NA,,-149.2,1,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Profound Medical Corp,16.52,16.52,8.31,-5.41,16.52,-1.1728,#DIV/0!,0.0000,-0.7728,-6.9100,0.3410,0.6590,0.5175,1.87,1.14,-0.65,-0.95,#DIV/0!,#DIV/0!,0.00,0.00,"-11,148.076",-1.3x,-1.3x,-2.3x,0.6x,NA,-1.9x,1.8x,,-0.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Profound Medical Corp,4.54,4.46,4.21,-2.93,4.54,-1.1005,#DIV/0!,0.0000,-0.6891,-3.9300,0.3738,0.6262,0.5970,16.74,12.02,-0.57,-1.64,0.00,#DIV/0!,0.00,0.00,"-15,494.147",-4.3x,-4.3x,-6.5x,6.2x,NA,-4.2x,20.7x,,-4.5,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Profound Medical Corp,1.66,1.52,1.05,-1.40,1.66,-1.3310,-3.8377,0.1759,-0.6751,-3.0700,0.4928,0.5072,0.9715,13.92,3.59,-0.83,-1.08,2.12,1.23,0.18,0.70,"-16,462.685",-2.8x,-2.8x,-4.5x,2.1x,16.6x,-3.2x,3.3x,,-14.4,4,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Profound Medical Corp,4.81,4.35,3.89,-2.32,4.81,-0.7798,-7.9788,0.0559,-0.4460,-2.0700,0.4280,0.5720,0.7483,32.75,23.60,-1.02,-0.92,0.49,1.45,0.06,0.09,"-19,464.552",-1.9x,-1.8x,-3.0x,0.8x,12.2x,-2.8x,1.8x,,-3,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Profound Medical Corp,2.77,2.33,1.80,-1.83,2.77,-1.0592,-3.6469,0.1389,-0.5064,-1.7800,0.5219,0.4781,1.0917,21.27,7.81,-1.09,-0.96,0.49,2.09,0.14,0.29,"-18,659.301",-9.0x,-8.6x,-13.0x,4.4x,37.3x,-9.0x,7.7x,,-10.1,3,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Profound Medical Corp,20.32,19.22,17.45,-4.28,20.32,-0.2221,-2.9603,0.0698,-0.2067,-1.5900,0.0693,0.9307,0.0745,-145.81,2.18,-0.39,-2.84,0.72,1.13,0.07,0.08,"-23,359.086",-18.2x,-17.7x,-19.5x,3.4x,48.7x,-22.4x,4.3x,,17.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Profound Medical Corp,18.56,16.78,16.16,-5.38,18.56,-0.3808,-4.4666,0.0792,-0.3538,-1.9000,0.0710,0.9290,0.0764,-222.70,90.16,-0.21,-3.63,0.53,4.87,0.08,0.09,"-37,442.733",-6.6x,-6.4x,-8.1x,1.8x,18.7x,-8.3x,2.7x,,14,2,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Profound Medical Corp,14.82,12.92,11.12,-6.16,14.82,-0.5513,-4.2911,0.1037,-0.4450,-1.8600,0.1927,0.8073,0.2388,-46.12,94.51,-0.43,-2.08,0.46,1.14,0.10,0.12,"-39,028.963",-6.7x,-6.5x,-8.2x,3.2x,28.8x,-8.0x,4.4x,,0.8,3,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
