Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Sienna Senior Living Inc,0.50,0.50,0.17,0.29,0.50,-0.0372,-0.0266,0.3616,-0.0096,-0.3100,0.7416,0.2584,2.8696,-0.49,0.39,14.64,0.04,#DIV/0!,62.31,0.36,-7.82,"49,474",17.5x,42.9x,22.8x,1.3x,2.5x,-94.4x,2.3x,0.6,2.9,5,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Sienna Senior Living Inc,0.38,0.38,0.21,0.18,0.38,-0.0795,-0.0347,0.4825,-0.0167,-0.4400,0.7896,0.2104,3.7533,-0.05,0.07,11.64,0.03,#DIV/0!,88.47,0.48,-5.40,"64,240",18.0x,46.0x,17.3x,1.3x,2.5x,-22.7x,2.5x,0.9,2.2,3,1,,,,,,,,,,,,,,,,,,,,,,,
2015,Sienna Senior Living Inc,0.56,0.56,0.30,0.56,0.56,0.0409,0.0160,0.4757,0.0076,0.1600,0.8141,0.1859,4.3792,-1.41,1.08,11.90,0.06,#DIV/0!,62.63,0.48,-11.95,"65,092",18.2x,41.8x,21.0x,1.5x,2.6x,144.7x,3.2x,0.9,2.6,6,1,,,,,,,,,,,,,,,,,,,,,,,
2016,Sienna Senior Living Inc,0.29,0.29,0.16,0.27,0.29,0.0377,0.0227,0.4135,0.0095,0.0680,0.7507,0.2493,3.0113,-1.24,0.47,11.47,0.05,#DIV/0!,59.41,0.41,-4.07,"78,810",20.2x,41.8x,21.6x,1.4x,3.1x,"1,085.4x",2.5x,0.9,2.2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Sienna Senior Living Inc,0.30,0.30,0.11,0.35,0.30,0.0540,0.0384,0.3998,0.0156,0.4500,0.7160,0.2840,2.5206,-2.18,0.38,10.35,0.06,#DIV/0!,71.20,0.40,-4.48,"96,499",18.4x,30.1x,24.9x,1.6x,3.2x,45.5x,3.3x,0.9,2.5,7,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Sienna Senior Living Inc,0.25,0.25,0.10,0.40,0.25,0.0174,0.0154,0.3662,0.0056,0.1500,0.6762,0.3238,2.0885,-1.37,0.25,9.16,0.07,#DIV/0!,55.51,0.37,-3.93,"129,471",16.8x,33.3x,24.6x,1.3x,3.3x,75.8x,1.8x,0.918,2.5,5,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Sienna Senior Living Inc,0.37,0.37,0.14,0.58,0.37,0.0142,0.0113,0.3957,0.0045,0.1100,0.6866,0.3134,2.1907,-1.35,0.32,9.00,0.07,#DIV/0!,49.41,0.40,-7.20,"129,156",16.6x,38.7x,22.2x,1.4x,3.3x,180.8x,2.3x,0.936,2.7,5,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Sienna Senior Living Inc,0.54,0.54,0.36,0.26,0.54,-0.0547,-0.0369,0.3958,-0.0146,-0.3700,0.7334,0.2666,2.7505,-0.18,0.14,9.93,0.06,#DIV/0!,36.71,0.40,-5.46,"123,879",15.2x,37.0x,30.2x,1.2x,2.9x,-64.7x,2.0x,0.936,2.2,4,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Sienna Senior Living Inc,0.48,0.48,0.12,0.41,0.48,0.0509,0.0309,0.4154,0.0128,0.3100,0.7478,0.2522,2.9650,-2.15,0.30,11.63,0.08,#DIV/0!,31.14,0.42,-5.42,"103,461",18.5x,40.6x,16.6x,1.4x,2.9x,138.7x,2.4x,0.936,2,7,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Sienna Senior Living Inc,0.25,0.25,0.11,0.32,0.25,0.0245,0.0148,0.4276,0.0063,0.1500,0.7413,0.2587,2.8658,-1.44,0.62,12.07,0.09,#DIV/0!,41.07,0.43,-2.84,"103,249",15.3x,27.1x,17.6x,1.2x,2.2x,75.3x,1.8x,0.936,1.4,5,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
