Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Tilray Inc,0.00,0.00,0.00,-0.98,0.00,1.0000,#DIV/0!,0.0000,-40.6709,-5.7100,41.6703,-40.6703,-1.0246,#DIV/0!,#DIV/0!,-1.03,-0.98,#DIV/0!,#DIV/0!,0.00,0.00,-608.471,NA,NA,NA,NM,NA,NA,NA,,NA,1,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Tilray Inc,0.04,0.04,0.04,-0.13,0.04,0.6655,#DIV/0!,0.0000,-0.8315,-0.0680,2.2494,-1.2494,-1.8004,#DIV/0!,#DIV/0!,-2.73,-0.13,#DIV/0!,#DIV/0!,0.00,0.00,"-1,434.765",NA,NA,NM,NM,NA,NA,NA,,-21.1,2,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Tilray Inc,10.91,9.09,7.44,-5.75,10.91,-0.4903,-11.8663,0.0386,-0.4578,-0.1400,0.0663,0.9337,0.0710,-51.24,41.80,-0.31,-5.75,0.33,#DIV/0!,0.04,0.06,"-3,014.729",-13.6x,-12.6x,-6.2x,3.2x,860.3x,-8.0x,3.9x,,18.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Tilray Inc,17.29,15.64,13.01,-0.78,17.29,0.0114,0.0472,0.2325,0.0110,0.0068,0.0349,0.9651,0.0362,-3.85,3.51,-6.58,-0.78,0.89,4.74,0.23,0.41,-192.606,-89.6x,-52.6x,-10.8x,3.1x,13.8x,-69.9x,3.5x,,35.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Tilray Inc,17.39,17.01,7.75,0.52,17.39,0.0153,0.2054,0.0647,0.0133,0.0400,0.1332,0.8668,0.1537,4.95,63.39,10.57,0.13,0.81,24.74,0.06,0.12,"3,982",313.1x,"4,787.4x",-18.0x,3.0x,34.3x,88.1x,3.8x,,13.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Tilray Inc,4.44,3.93,1.36,-0.13,4.44,0.0251,0.7977,0.0281,0.0224,0.1800,0.1069,0.8931,0.1197,6.15,2.16,-213.52,-0.04,0.18,10.90,0.03,0.24,-658,"1,536.8x","-1,230.8x",-9.0x,2.9x,73.9x,75.0x,3.2x,,13.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Tilray Inc,5.64,4.98,3.98,-0.41,5.64,-0.0195,-0.1396,0.0993,-0.0200,-0.1700,0.2902,0.7098,0.4088,-8.25,12.58,-11.18,-0.08,2.01,9.51,0.10,0.38,"-63,364.273",-47.2x,-33.8x,-11.4x,1.2x,17.8x,-58.5x,1.3x,,8.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Tilray Inc,4.85,3.69,3.01,-0.84,4.85,-0.0804,-0.2530,0.2332,-0.0580,-0.6500,0.2664,0.7336,0.3632,4.64,3.54,-34.65,-0.22,2.21,10.69,0.23,0.88,"-18,398.94",42.0x,579.3x,-5.8x,0.8x,3.8x,50.4x,0.8x,,8.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Tilray Inc,2.20,1.56,1.22,-0.11,2.20,-0.0823,-0.7161,0.0852,-0.0558,-1.6400,0.2589,0.7411,0.3494,11.33,0.48,"-2,145.87",-0.03,1.52,5.88,0.09,1.06,-877.271,-266.3x,-100.4x,-80.8x,4.2x,17.7x,-14.8x,6.5x,,7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Tilray Inc,2.87,1.99,1.48,-0.63,2.87,-0.1074,-0.7588,0.1153,-0.0797,-1.2500,0.1850,0.8150,0.2270,14.77,1.10,-13.63,-0.18,2.08,6.60,0.12,1.20,"-93,556.967",-79.5x,-16.1x,-49.1x,0.5x,4.5x,55.4x,0.5x,,7.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
