Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Viemed Healthcare Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Viemed Healthcare Inc,4.34,3.89,0.95,4.42,4.34,1.1211,0.4059,2.2947,0.9314,1.8200,0.1692,0.8308,0.2036,-197.94,5.43,0.17,4.42,4.91,4.78,2.29,4.06,"11,432.467",NA,NA,NM,NM,NA,NA,NA,,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Viemed Healthcare Inc,1.57,1.39,0.38,1.22,1.57,0.8319,0.2580,1.6762,0.4325,2.2400,0.4801,0.5199,0.9235,-125.28,4.75,0.90,0.95,4.88,4.67,1.68,7.84,"16,560.961",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Viemed Healthcare Inc,1.22,1.04,0.47,0.70,1.22,0.0953,0.0392,1.2706,0.0498,0.0430,0.4781,0.5219,0.9161,-1.34,1.39,6.53,0.54,7.63,6.54,1.27,15.46,"2,426.476",NA,NA,NM,NM,NA,NA,NA,,6.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Viemed Healthcare Inc,1.29,1.17,0.39,0.91,1.29,0.3443,0.1742,1.2451,0.2169,0.2700,0.3700,0.6300,0.5874,-31.11,1.51,1.23,0.86,7.54,4.80,1.25,12.18,"14,290.479",5.9x,7.2x,9.4x,2.8x,1.7x,6.7x,3.6x,,6.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Viemed Healthcare Inc,1.18,1.03,0.53,1.14,1.18,0.2919,0.1475,1.2015,0.1772,0.3400,0.3929,0.6071,0.6473,-54.43,2.16,1.52,1.06,5.78,7.29,1.20,18.31,"18,963.667",12.2x,17.2x,29.9x,3.7x,2.3x,20.5x,4.4x,,6.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Viemed Healthcare Inc,1.07,1.02,0.52,0.74,1.07,0.1951,0.1062,0.9717,0.1032,0.2900,0.4709,0.5291,0.8901,-29.01,1.60,2.49,0.49,17.83,6.96,0.97,42.26,"20,278.518",17.2x,28.2x,-267.4x,3.8x,3.2x,27.9x,5.5x,,5.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Viemed Healthcare Inc,2.05,1.95,1.35,1.53,2.05,0.3860,0.2401,1.1666,0.2801,1.0400,0.2742,0.7258,0.3778,-52.79,3.07,1.01,1.14,22.16,10.61,1.17,5.44,"38,853.345",10.6x,15.6x,12.9x,3.2x,2.4x,10.6x,4.1x,,8.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Viemed Healthcare Inc,2.66,2.52,1.59,1.26,2.66,0.0962,0.0780,0.9924,0.0774,0.2900,0.1962,0.8038,0.2441,-40.32,5.21,1.06,0.97,17.77,9.13,0.99,3.97,"27,617.335",7.9x,14.8x,-32.6x,1.9x,1.6x,20.4x,2.3x,,7.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Viemed Healthcare Inc,2.11,1.92,0.90,1.47,2.11,0.0641,0.0448,1.1862,0.0532,0.2200,0.1704,0.8296,0.2055,-46.63,4.60,0.84,1.39,15.15,9.03,1.19,6.65,"32,261.921",15.8x,46.0x,-211.1x,3.9x,2.7x,63.9x,4.1x,,14.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
