Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,WELL Health Technologies Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,WELL Health Technologies Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,WELL Health Technologies Corp,0.19,0.19,0.17,-0.08,0.19,0.2905,-1.6572,0.7689,-1.2742,-0.0690,5.3865,-4.3865,-1.2280,15.04,2.31,-16.63,-0.07,25.17,109.15,0.77,-0.19,-172.952,NA,NA,NM,NM,NA,NA,NA,,NA,2,0,,,,,,,,,,,,,,,,,,,,,,,
2016,WELL Health Technologies Corp,0.50,0.21,0.08,-0.76,0.50,-1.2372,-2.0568,0.3002,-0.6174,-0.0590,0.5010,0.4990,1.0038,-869.54,1.47,-3.21,-0.76,1.69,12.89,0.30,-1.20,-147.753,NA,NA,NM,NM,NA,NA,NA,,-30.8,2,0,,,,,,,,,,,,,,,,,,,,,,,
2017,WELL Health Technologies Corp,0.64,0.51,0.39,-1.28,0.64,8.4111,-16.0128,0.7861,-12.5872,-0.0270,2.4965,-1.4965,-1.6682,-22.99,32.76,-6.88,-0.80,0.00,26.89,0.79,-1.39,-160.3525,NA,-34.5x,110.9x,3.7x,178.9x,-26.9x,4.4x,,-58.5,1,0,,,,,,,,,,,,,,,,,,,,,,,
2018,WELL Health Technologies Corp,1.71,1.67,1.06,-0.54,1.71,-0.2374,-0.2661,0.7085,-0.1885,-0.0330,0.2058,0.7942,0.2592,-83.42,44.11,-1.47,-0.45,74.64,8.72,0.71,5.84,"-1,786.589",NA,-20.3x,-26.3x,2.9x,6.9x,-6.0x,3.5x,,11.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,WELL Health Technologies Corp,2.25,2.24,1.87,-0.31,2.25,-0.2443,-0.2383,0.5607,-0.1332,-0.0810,0.4531,0.5469,0.8284,5.44,0.80,-5.67,-0.10,271.50,14.64,0.56,3.13,"-4,677.548",NA,NA,9.4x,5.0x,NA,NA,14.6x,,3.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,WELL Health Technologies Corp,4.35,4.29,3.65,-0.23,4.35,-0.0171,-0.0741,0.1892,-0.0122,-0.0280,0.1779,0.8221,0.2164,4.14,1.30,-9.93,-0.11,22.89,5.62,0.19,0.63,"-4,761",-398.7x,-204.0x,-71.1x,12.7x,29.9x,-146.1x,15.3x,,11.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,WELL Health Technologies Corp,1.04,1.03,0.45,0.16,1.04,-0.0624,-0.1461,0.2348,-0.0243,-0.2300,0.4502,0.5498,0.8189,2.01,0.45,16.43,0.04,187.43,4.54,0.23,60.51,"35,270",75.8x,-219.1x,-30.3x,1.4x,7.0x,-35.1x,1.8x,,3.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,WELL Health Technologies Corp,1.11,1.10,0.36,0.56,1.11,0.0017,0.0024,0.4315,0.0142,0.0062,0.3819,0.6181,0.6179,-1.71,0.58,6.28,0.15,194.05,7.16,0.43,39.59,"80,217",20.6x,49.9x,31.3x,1.4x,2.9x,919.9x,1.7x,,5.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
