Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,ATS Corporation,2.17,2.11,0.63,0.16,2.17,0.0377,0.0254,1.0186,0.0260,0.4700,0.3131,0.6869,0.4559,-28.14,8.10,2.70,0.15,41.35,2.84,1.02,3.00,"67,204",11.0x,13.0x,NA,1.9x,1.2x,20.1x,2.2x,,8.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,ATS Corporation,1.77,1.66,0.35,0.29,1.77,0.1201,0.0910,0.8779,0.0799,0.5600,0.3351,0.6649,0.5040,-20.24,1.45,3.42,0.24,20.74,2.72,0.88,4.07,"76,276",18.7x,23.5x,45.1x,2.5x,2.0x,28.0x,2.7x,,8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,ATS Corporation,1.69,1.55,0.36,0.27,1.69,0.0963,0.0587,0.7669,0.0451,0.4300,0.5324,0.4676,1.1388,-5.61,0.85,6.04,0.12,16.42,2.81,0.77,4.52,"107,629",13.5x,18.9x,22.5x,1.7x,1.7x,34.0x,2.2x,,7.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,ATS Corporation,1.91,1.78,0.51,0.11,1.91,0.0608,0.0380,0.7603,0.0290,0.4300,0.5243,0.4757,1.1020,-2.88,0.11,5.72,0.05,16.90,2.70,0.76,3.42,"125,266",9.2x,11.7x,24.1x,1.2x,1.1x,18.7x,1.5x,,7.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,ATS Corporation,2.23,2.06,0.96,0.43,2.23,0.0510,0.0346,0.7354,0.0255,0.3800,0.5009,0.4991,1.0037,-2.82,4.18,6.57,0.19,15.84,3.47,0.74,2.77,"104,731",13.5x,18.5x,14.2x,1.4x,1.4x,43.9x,1.9x,,8.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,ATS Corporation,2.15,1.99,0.90,0.16,2.15,0.0622,0.0423,0.7229,0.0306,0.5000,0.5080,0.4920,1.0325,-3.60,2.30,6.14,0.08,14.13,3.09,0.72,2.64,"127,592",14.3x,19.6x,12.4x,1.6x,1.6x,41.5x,2.3x,,8.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,ATS Corporation,1.65,1.51,0.49,0.28,1.65,0.0896,0.0564,0.7423,0.0419,0.7600,0.5324,0.4676,1.1388,-5.49,4.89,5.83,0.14,13.60,3.04,0.74,4.19,"154,271",11.9x,15.4x,15.4x,1.5x,1.5x,26.7x,2.2x,,7.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,ATS Corporation,2.13,1.98,0.78,0.04,2.13,0.0609,0.0370,0.6815,0.0252,0.5700,0.5858,0.4142,1.4142,-3.41,0.34,7.33,0.02,15.55,2.85,0.68,2.74,"167,645",10.6x,14.6x,149.8x,1.5x,1.3x,26.2x,1.8x,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,ATS Corporation,1.40,1.19,0.28,0.28,1.40,0.0704,0.0448,0.6495,0.0291,0.7000,0.5865,0.4135,1.4186,-2.98,0.23,7.72,0.14,7.65,2.66,0.65,5.36,"167,209",16.9x,23.7x,17.0x,2.0x,1.8x,45.6x,2.7x,,6.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,ATS Corporation,1.36,1.11,0.16,0.26,1.36,0.1239,0.0559,0.7111,0.0395,1.3200,0.6789,0.3211,2.1140,-5.80,1.03,6.99,0.10,7.42,3.18,0.71,7.24,"298,031",19.2x,26.6x,29.8x,2.4x,2.6x,39.6x,4.3x,,7,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
