Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Bombardier Inc Pref C,1.04,0.45,0.25,0.10,1.04,0.2303,0.0311,0.6182,0.0195,8.1300,0.9166,0.0834,10.9898,-17.76,14.23,28.94,0.05,1.90,13.10,0.62,30.25,"987,994.8",15.0x,22.2x,-6.2x,1.3x,0.7x,17.8x,5.5x,0.7813,3.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Bombardier Inc Pref C,0.98,0.38,0.19,0.06,0.98,-22.9091,-0.0627,0.7283,-0.0451,-21.3900,0.9980,0.0020,501.0727,245.67,0.63,26.20,0.03,2.20,14.22,0.73,-63.64,"1,218,289.64",12.2x,17.0x,-19.1x,1.3x,0.6x,12.4x,3.0x,1.5625,3.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Bombardier Inc Pref C,1.02,0.43,0.23,0.00,1.02,1.3189,-0.2942,0.7934,-0.2332,-89.4400,1.1770,-0.1770,-6.6495,37.70,0.02,44.12,0.00,2.32,13.60,0.79,64.44,"847,750.28",8.2x,10.9x,-8.8x,1.6x,0.4x,-2.1x,2.5x,1.5625,2.1,4,1,,,,,,,,,,,,,,,,,,,,,,,
2016,Bombardier Inc Pref C,1.14,0.55,0.34,0.01,1.14,0.2929,-0.0625,0.7158,-0.0430,-15.9900,1.1529,-0.1529,-7.5423,1.20,0.07,57.33,0.01,2.50,14.02,0.72,11.99,"616,354.38",29.8x,99.8x,-14.5x,2.2x,0.6x,-0.5x,-0.5x,1.5625,2.2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Bombardier Inc Pref C,1.06,0.82,0.21,0.04,1.06,0.1052,-0.0305,0.6501,-0.0211,-7.4600,1.1884,-0.1884,-6.3069,0.09,0.50,41.24,0.02,4.14,4.58,0.65,18.45,"902,662.42",25.8x,41.7x,-15.5x,2.7x,0.8x,-6.8x,-0.7x,1.5625,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Bombardier Inc Pref C,1.00,0.64,0.26,0.05,1.00,-0.0578,0.0143,0.6505,0.0127,3.4800,1.1608,-0.1608,-7.2177,-2.01,1.47,27.78,0.02,3.17,3.98,0.65,-369.00,"1,423,674.14",22.7x,31.1x,97.9x,2.2x,1.0x,-43.0x,-1.4x,1.5625,1.9,7,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Bombardier Inc Pref C,0.88,0.58,0.17,-0.04,0.88,0.3040,-0.2400,0.2999,-0.0644,-23.8600,1.2367,-0.2367,-5.2247,1.03,0.27,65.57,-0.02,1.40,1.78,0.30,-4.09,"611,588.79",14.2x,19.0x,-30.0x,2.4x,1.1x,11.3x,-0.5x,1.5625,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Bombardier Inc Pref C,0.99,0.77,0.11,-0.17,0.99,0.1304,-0.1338,0.2809,-0.0246,-6.4500,1.2883,-0.2883,-4.4685,-0.83,3.46,-323.34,-0.09,1.64,19.14,0.28,-35.84,"-117,062.64",42.5x,190.1x,-5.3x,3.5x,1.8x,-0.3x,-0.1x,1.5625,0.7,3,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Bombardier Inc Pref C,1.15,0.47,0.35,-0.06,1.15,-1.6319,0.8284,0.4767,0.3972,-4.0000,1.2420,-0.2420,-5.1321,-0.37,0.05,47.18,-0.02,1.59,20.28,0.48,8.53,"424,882.08",227.9x,-64.5x,23.3x,2.3x,1.6x,-8.2x,-1.3x,1.5625,1.3,6,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Bombardier Inc Pref C,1.03,0.42,0.24,0.20,1.03,0.0536,-0.0214,0.5609,-0.0120,-2.2500,1.2241,-0.2241,-5.4620,-0.48,0.69,24.81,0.07,1.70,22.16,0.56,46.71,"823,201.6",16.0x,23.0x,12.4x,2.9x,1.1x,-3.0x,-0.5x,1.5625,1.2,5,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
