Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canadien Pacifique Kansas City Limited,1.47,1.35,0.35,1.42,1.47,0.1233,0.1427,0.3603,0.0514,1.0000,0.5831,0.4169,1.3986,-5.05,5.84,4.25,0.20,21.94,15.81,0.36,9.42,"2,338,000",15.0x,19.3x,98.0x,3.0x,5.4x,34.9x,4.7x,0.14,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canadien Pacifique Kansas City Limited,0.87,0.74,0.16,1.50,0.87,0.2631,0.2230,0.4000,0.0892,1.7100,0.6610,0.3390,1.9501,-8.23,4.57,3.88,0.19,20.56,12.90,0.40,-34.84,"2,817,000",16.0x,19.5x,35.2x,3.6x,6.6x,34.4x,5.4x,0.28,5.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canadien Pacifique Kansas City Limited,1.06,0.93,0.45,1.70,1.06,0.2819,0.2014,0.3418,0.0688,1.6900,0.7558,0.2442,3.0945,-5.97,2.74,4.76,0.17,18.22,14.59,0.34,74.58,"3,115,000",11.1x,13.3x,22.5x,2.8x,5.2x,18.2x,6.8x,0.28,5.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canadien Pacifique Kansas City Limited,0.75,0.61,0.12,1.55,0.75,0.3457,0.2566,0.3242,0.0832,2.1400,0.7593,0.2407,3.1550,-5.57,4.10,4.63,0.14,15.75,14.53,0.32,-18.44,"3,155,000",11.9x,14.5x,37.8x,2.7x,5.9x,18.3x,6.0x,0.4,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canadien Pacifique Kansas City Limited,0.64,0.57,0.17,1.10,0.64,0.3736,0.3670,0.3255,0.1194,3.3000,0.6803,0.3197,2.1280,-6.28,4.32,4.03,0.16,19.60,12.83,0.33,-9.23,"3,399,000",12.5x,15.2x,26.8x,3.0x,6.4x,18.4x,6.0x,0.45,5.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canadien Pacifique Kansas City Limited,0.57,0.48,0.03,1.39,0.57,0.2940,0.2667,0.3442,0.0918,2.7300,0.6878,0.3122,2.2028,-6.71,2.25,3.79,0.19,18.97,11.31,0.34,-8.73,"3,862,000",11.7x,14.2x,29.5x,2.8x,6.0x,14.4x,4.8x,0.52,5.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canadien Pacifique Kansas City Limited,0.53,0.45,0.06,1.30,0.53,0.3452,0.3131,0.3484,0.1091,3.5200,0.6840,0.3160,2.1641,-8.02,3.15,3.67,0.20,18.95,12.75,0.35,-7.20,"4,167,000",13.1x,15.5x,28.7x,3.3x,7.0x,19.6x,6.3x,0.664,5.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canadien Pacifique Kansas City Limited,0.50,0.42,0.06,1.06,0.50,0.3339,0.3170,0.3261,0.1034,3.6100,0.6904,0.3096,2.2299,-7.99,5.17,3.68,0.17,15.76,12.10,0.33,-5.79,"4,432,000",15.9x,19.1x,41.8x,3.9x,8.9x,25.7x,7.8x,0.76,5.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canadien Pacifique Kansas City Limited,0.43,0.35,0.02,1.17,0.43,0.0843,0.3567,0.1173,0.0418,4.2000,0.5038,0.4962,1.0153,-9.23,4.62,7.49,0.11,13.96,13.46,0.12,-4.42,"4,587,000",20.7x,24.8x,39.4x,4.8x,11.9x,27.1x,8.9x,0.76,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canadien Pacifique Kansas City Limited,0.59,0.50,0.14,1.29,0.59,0.0904,0.3990,0.1199,0.0479,3.7800,0.4709,0.5291,0.8900,-7.36,2.23,7.42,0.12,14.13,11.63,0.12,-6.66,"4,667,000",15.3x,18.6x,56.4x,2.0x,8.2x,33.8x,2.5x,0.76,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
