Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Finning International Inc.,2.10,0.90,0.11,0.33,2.10,0.1805,0.0496,1.3358,0.0663,1.9500,0.6327,0.3673,1.7224,-6.71,1.17,4.46,0.16,2.52,7.53,1.34,3.98,"716,753",8.8x,12.5x,18.6x,1.8x,0.9x,13.5x,2.7x,0.305,7.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Finning International Inc.,2.53,1.32,0.33,0.40,2.53,0.1492,0.0460,1.3120,0.0603,1.8500,0.5959,0.4041,1.4744,-6.59,7.18,4.36,0.17,2.92,7.07,1.31,3.29,"720,000",7.6x,10.5x,11.2x,1.6x,0.8x,14.3x,2.1x,0.71,8.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Finning International Inc.,2.78,1.34,0.38,0.30,2.78,-0.0785,-0.0257,1.2285,-0.0315,-0.9400,0.5987,0.4013,1.4917,1.75,5.41,5.25,0.12,2.55,7.62,1.23,2.83,"582,000",7.1x,10.5x,26.7x,1.1x,0.7x,12.4x,1.4x,0.73,8.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Finning International Inc.,2.74,1.44,0.48,0.36,2.74,0.0342,0.0115,1.1462,0.0132,0.3900,0.6128,0.3872,1.5829,-2.16,5.12,6.72,0.15,2.59,6.27,1.15,2.62,"448,000",11.5x,20.1x,7.3x,1.6x,0.9x,-17.5x,2.3x,0.73,8.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Finning International Inc.,2.29,1.18,0.30,0.18,2.29,0.1094,0.0345,1.2342,0.0426,1.2800,0.6106,0.3894,1.5679,-5.00,0.66,5.57,0.09,2.69,5.92,1.23,3.15,"556,000",12.3x,18.5x,27.0x,1.8x,1.1x,33.1x,2.8x,0.76,8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Finning International Inc.,1.97,0.94,0.23,0.13,1.97,0.1100,0.0332,1.2282,0.0407,1.3800,0.6297,0.3703,1.7008,-6.03,3.56,5.92,0.07,2.54,6.60,1.23,3.62,"606,000",8.4x,11.6x,37.7x,1.5x,0.8x,16.6x,1.9x,0.8,7.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Finning International Inc.,1.81,0.82,0.13,0.09,1.81,0.1144,0.0310,1.3050,0.0404,1.4800,0.6469,0.3531,1.8322,-4.24,1.03,6.19,0.05,3.02,6.85,1.31,4.79,"626,000",8.8x,13.9x,24.2x,1.4x,0.8x,16.7x,2.0x,0.82,7.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Finning International Inc.,1.98,1.07,0.33,0.59,1.98,0.1052,0.0374,1.1352,0.0425,1.4300,0.5958,0.4042,1.4742,-4.94,2.64,6.31,0.30,3.13,6.45,1.14,3.89,"515,000",10.9x,17.3x,7.1x,1.4x,0.9x,20.9x,2.0x,0.82,7.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Finning International Inc.,1.68,0.90,0.23,0.20,1.68,0.1554,0.0499,1.2216,0.0608,2.2600,0.6076,0.3924,1.5484,-8.82,1.23,4.98,0.12,3.26,6.58,1.22,4.98,"729,000",9.6x,13.5x,17.2x,1.5x,0.9x,15.3x,2.2x,0.9,7.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Finning International Inc.,1.41,0.68,0.08,0.00,1.41,0.2044,0.0542,1.2765,0.0689,3.2500,0.6614,0.3386,1.9537,-9.21,0.00,4.93,0.00,2.87,5.98,1.28,6.72,"975,000",7.4x,9.4x,-55.0x,1.5x,0.8x,10.4x,2.1x,0.944,6.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
