Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Gfl Environmental Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Gfl Environmental Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Gfl Environmental Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Gfl Environmental Inc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.1630,#VALUE!,#VALUE!,-0.3800,#VALUE!,#VALUE!,#VALUE!,0.23,0.10,#VALUE!,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,"198,096",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Gfl Environmental Inc,1.18,1.18,0.00,0.37,1.18,-0.1984,-0.0758,0.3867,-0.0293,-0.1800,0.8523,0.1477,5.7726,-0.29,0.16,9.75,0.04,#DIV/0!,4.47,0.39,21.80,"301,484",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Gfl Environmental Inc,1.00,1.00,0.01,0.03,1.00,-0.1514,-0.2609,0.1673,-0.0437,-1.4900,0.7116,0.2884,2.4679,1.38,0.01,20.43,0.00,#DIV/0!,3.55,0.17,"-8,233.78","385,600",NA,NA,NM,NM,NA,NA,NA,,3.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Gfl Environmental Inc,1.64,1.64,0.66,0.29,1.64,-0.1632,-0.1350,0.2716,-0.0367,-2.5000,0.7754,0.2246,3.4524,0.26,0.12,12.65,0.03,#DIV/0!,5.16,0.27,6.03,"755,400",NA,NA,NM,NM,NA,NA,0.0x,,3.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Gfl Environmental Inc,0.86,0.86,0.02,0.42,0.86,-0.1979,-0.2627,0.2668,-0.0701,-3.1000,0.6458,0.3542,1.8231,2.32,0.07,10.81,0.05,#DIV/0!,5.34,0.27,-25.42,"939,300",19.8x,-223.1x,34.0x,1.4x,4.3x,-17.6x,2.1x,0.0509,2.4,3,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Gfl Environmental Inc,0.98,0.98,0.13,0.59,0.98,-0.1051,-0.1181,0.2792,-0.0330,-1.8800,0.6860,0.3140,2.1849,1.13,0.36,9.44,0.07,#DIV/0!,4.90,0.28,-192.38,"1,337,600",18.6x,-106.3x,26.8x,1.7x,4.8x,-13.5x,2.9x,0.05564,2.6,6,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Gfl Environmental Inc,0.51,0.51,0.03,0.41,0.51,-0.0516,-0.0461,0.3420,-0.0157,-0.7300,0.6942,0.3058,2.2706,-0.19,0.74,8.57,0.08,#DIV/0!,6.07,0.34,-5.17,"1,600,500",16.3x,176.5x,13.2x,1.7x,3.9x,-63.1x,2.8x,0.06499,1.7,5,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
