Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Nuvei Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Nuvei Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Nuvei Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Nuvei Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Nuvei Corp,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.1070,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,0.64,0.42,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"35,966.949",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Nuvei Corp,0.40,0.39,0.06,0.14,0.40,-0.2322,-0.2068,0.2592,-0.0536,,0.7691,0.2309,3.3315,2.11,0.09,14.04,0.03,21.06,6.25,0.26,-2.50,"43,183.872",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Nuvei Corp,0.84,0.84,0.16,0.06,0.84,-0.2049,-0.2868,0.1577,-0.0446,-1.4900,0.7793,0.2207,3.5311,0.37,0.07,16.50,0.02,57.49,8.04,0.16,-4.19,"95,616.908",NA,NA,NM,NM,NA,NA,NA,,2.2,3,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Nuvei Corp,1.29,1.29,0.34,0.18,1.29,-0.0729,-0.2824,0.1674,-0.0461,-1.3700,0.3514,0.6486,0.5418,0.91,0.12,5.54,0.12,865.68,13.32,0.17,2.47,"181,477.63",59.3x,103.8x,57.8x,6.7x,24.9x,-64.2x,7.3x,,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Nuvei Corp,1.78,1.78,0.87,0.31,1.78,0.0506,0.1412,0.2097,0.0310,0.9300,0.4149,0.5851,0.7091,-10.41,13.92,5.79,0.19,115.70,23.62,0.21,1.08,"312,973.704",38.9x,54.7x,35.9x,4.6x,15.1x,81.9x,5.9x,,8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Nuvei Corp,1.69,1.69,0.77,0.27,1.69,0.0287,0.0673,0.2393,0.0176,0.5400,0.4384,0.5616,0.7806,-6.89,11.29,8.15,0.17,80.98,22.48,0.24,1.25,"256,719.752",27.5x,48.6x,33.8x,2.1x,6.2x,95.9x,2.8x,,7.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
