Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Ritchie Bros. Auctioneers Inc.,1.38,1.20,0.81,0.51,1.38,0.1348,0.2003,0.4021,0.0813,0.9300,0.4024,0.5976,0.6734,-29.51,7.04,2.71,0.31,1.03,7.70,0.40,4.25,"183,407.955",15.1x,20.3x,57.4x,2.8x,5.5x,29.8x,3.6x,0.2762,8.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Ritchie Bros. Auctioneers Inc.,1.55,1.38,0.55,0.59,1.55,0.1283,0.1891,0.4290,0.0825,0.9800,0.3676,0.6324,0.5813,-43.24,2.35,2.40,0.36,1.35,7.93,0.43,3.42,"199,138.243",16.0x,21.4x,19.1x,3.3x,5.9x,30.1x,4.1x,0.6485,8.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Ritchie Bros. Auctioneers Inc.,1.48,1.28,0.72,0.68,1.48,0.1860,0.2640,0.4606,0.1237,1.7700,0.3464,0.6536,0.5299,-77.64,44.90,1.98,0.51,0.96,10.24,0.46,3.68,"272,556.571",11.2x,13.8x,10.0x,2.9x,4.5x,21.8x,3.7x,0.888,9.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Ritchie Bros. Auctioneers Inc.,1.50,1.38,0.82,0.70,1.50,0.1327,0.0815,0.7046,0.0585,1.1600,0.5675,0.4325,1.3120,-24.45,1.14,4.39,0.20,21.99,24.87,0.70,9.00,"277,568.951",17.4x,20.6x,70.9x,4.2x,6.4x,32.9x,5.3x,0.9131,6.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Ritchie Bros. Auctioneers Inc.,1.31,1.21,0.69,0.38,1.31,0.1007,0.0773,0.4814,0.0373,0.8800,0.6308,0.3692,1.7087,-3.02,0.99,6.51,0.12,11.50,12.47,0.48,8.09,"245,610.924",19.7x,24.4x,21.2x,2.5x,4.6x,48.5x,4.5x,0.8549,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Ritchie Bros. Auctioneers Inc.,1.37,1.11,0.54,0.33,1.37,0.1454,0.1038,0.5701,0.0592,1.5300,0.5928,0.4072,1.4559,-4.43,1.03,5.19,0.12,4.71,10.38,0.57,7.16,"320,037.306",17.8x,23.0x,31.0x,2.6x,3.7x,29.0x,4.4x,0.9828,7.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Ritchie Bros. Auctioneers Inc.,1.36,1.23,0.72,0.66,1.36,0.1643,0.1130,0.5915,0.0669,1.7800,0.5932,0.4068,1.4581,-5.62,2.68,5.05,0.25,9.94,10.83,0.59,7.39,"340,310.856",20.2x,25.1x,19.8x,3.1x,3.9x,35.0x,5.5x,1.0388,7.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Ritchie Bros. Auctioneers Inc.,1.08,0.91,0.54,0.50,1.08,0.1680,0.1235,0.5857,0.0724,1.9800,0.5695,0.4305,1.3227,-8.10,4.58,3.89,0.19,7.22,12.98,0.59,32.64,"437,900.798",25.9x,30.4x,29.0x,4.5x,6.0x,44.2x,8.0x,1.1197,7.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Ritchie Bros. Auctioneers Inc.,1.30,1.12,0.55,0.54,1.30,0.1418,0.1072,0.3944,0.0423,1.7400,0.7019,0.2981,2.3545,-6.77,6.12,7.05,0.13,5.89,11.92,0.39,8.15,"452,182.018",21.4x,25.5x,26.1x,3.9x,5.0x,39.8x,6.4x,1.2645,6.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Ritchie Bros. Auctioneers Inc.,1.21,1.08,0.62,0.58,1.21,0.2478,0.1844,0.6054,0.1117,3.9100,0.5495,0.4505,1.2198,-8.97,0.39,3.77,0.29,7.54,12.34,0.61,10.33,"564,832.737",24.9x,32.5x,23.7x,5.1x,6.0x,31.7x,7.9x,1.4623,8.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
