Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,SNC-Lavalin Group Inc.,0.88,0.86,0.25,0.07,0.88,0.0175,0.0045,0.6722,0.0031,0.2400,0.8267,0.1733,4.7702,-1.55,0.60,20.27,0.03,66.79,3.50,0.67,-15.02,"480,192",21.9x,38.8x,-14.3x,1.8x,1.1x,195.7x,3.7x,0.46,3.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,SNC-Lavalin Group Inc.,0.93,0.91,0.31,0.05,0.93,0.4010,0.1618,0.8056,0.1305,8.7600,0.6749,0.3251,2.0759,-7.91,0.23,10.66,0.04,67.78,3.05,0.81,-22.55,"647,377",10.3x,13.0x,-3.0x,1.6x,1.2x,24.2x,3.2x,0.96,5.2,9,2,,,,,,,,,,,,,,,,,,,,,,,
2015,SNC-Lavalin Group Inc.,1.02,0.99,0.31,-0.10,1.02,0.1036,0.0422,0.9128,0.0417,2.6800,0.6284,0.3716,1.6907,-27.46,17.05,10.22,-0.08,53.58,3.34,0.91,88.72,"645,597",12.6x,19.7x,2.9x,1.2x,0.6x,4.1x,1.6x,1,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,SNC-Lavalin Group Inc.,1.06,1.02,0.27,0.03,1.06,0.0656,0.0302,0.9110,0.0276,1.7000,0.5810,0.4190,1.3864,-11.17,2.61,9.71,0.02,52.34,3.47,0.91,37.17,"556,272",13.3x,18.2x,49.1x,1.9x,0.9x,28.6x,2.3x,1.04,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,SNC-Lavalin Group Inc.,1.02,1.00,0.16,-0.05,1.02,0.0731,0.0409,0.6783,0.0278,2.3500,0.6205,0.3795,1.6349,-6.41,0.10,10.51,-0.03,76.82,3.06,0.68,83.39,"812,436",17.1x,21.8x,46.5x,1.5x,1.4x,30.2x,2.0x,1.092,6.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2018,SNC-Lavalin Group Inc.,0.83,0.81,0.11,-0.05,0.83,-0.3602,-0.1306,0.7793,-0.1017,-7.5000,0.7175,0.2825,2.5394,6.86,0.13,16.64,-0.03,91.61,3.08,0.78,-10.61,"557,850",10.4x,15.6x,17.8x,1.3x,1.0x,24.1x,1.6x,1.148,3.6,2,2,,,,,,,,,,,,,,,,,,,,,,,
2019,SNC-Lavalin Group Inc.,1.14,1.12,0.26,-0.08,1.14,0.0883,0.0430,0.6552,0.0284,13.9000,0.6808,0.3192,2.1325,-17.47,0.09,12.42,-0.04,83.00,2.31,0.66,12.26,"638,391",105.7x,-25.7x,-16.9x,1.1x,0.7x,-5.4x,1.4x,0.08,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,SNC-Lavalin Group Inc.,0.95,0.94,0.22,0.03,0.95,-0.3759,-0.1378,0.6777,-0.0925,-2.0300,0.7516,0.2484,3.0255,3.34,0.08,161.41,0.02,431.60,3.03,0.68,-31.44,"48,147",7.0x,10.5x,6.5x,0.9x,0.9x,2.1x,1.1x,0.08,3.4,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,SNC-Lavalin Group Inc.,0.92,0.91,0.15,0.03,0.92,0.2227,0.0904,0.7464,0.0680,0.5700,0.6969,0.3031,2.2992,-1.99,0.35,17.44,0.02,406.51,3.25,0.75,-23.11,"394,528",47.1x,-60.9x,12.0x,1.4x,1.0x,-26.2x,1.9x,0.08,4.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,SNC-Lavalin Group Inc.,0.85,0.85,0.14,-0.06,0.85,0.0034,0.0013,0.7980,0.0000,0.0950,0.6957,0.3043,2.2858,-0.80,0.41,17.61,-0.04,409.97,3.19,0.80,-13.17,"373,684",18.5x,34.7x,253.7x,1.4x,0.9x,328.0x,1.9x,0.08,4.1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
