Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Stantec Inc,1.78,1.78,0.35,0.67,1.78,0.1638,0.0798,1.0984,0.0876,1.5800,0.4649,0.5351,0.8688,-24.08,3.17,3.14,0.35,#DIV/0!,3.50,1.10,5.74,"246,640",12.8x,15.6x,23.1x,3.0x,1.8x,21.6x,3.6x,0.165,9.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Stantec Inc,1.78,1.78,0.32,0.44,1.78,0.1514,0.0793,1.0590,0.0839,1.7600,0.4457,0.5543,0.8041,-27.21,1.38,3.11,0.24,#DIV/0!,3.36,1.06,5.62,"280,975",11.4x,13.8x,20.8x,2.4x,1.5x,18.5x,2.9x,0.37,10.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Stantec Inc,1.51,1.51,0.11,0.33,1.51,0.1182,0.0659,1.0136,0.0668,1.6600,0.4350,0.5650,0.7698,-20.36,1.27,3.49,0.20,#DIV/0!,2.99,1.01,7.43,"291,823",11.4x,14.7x,72.6x,2.1x,1.5x,19.2x,2.6x,0.42,9.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Stantec Inc,1.48,1.48,0.20,0.27,1.48,0.0660,0.0421,0.7231,0.0305,1.2200,0.5387,0.4613,1.1678,-7.32,0.63,6.91,0.12,#DIV/0!,2.57,0.72,6.08,"334,100",14.9x,21.3x,34.8x,1.6x,1.6x,30.6x,2.0x,0.45,8.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Stantec Inc,1.39,1.39,0.21,0.23,1.39,0.0511,0.0306,0.8173,0.0250,0.8500,0.5109,0.4891,1.0445,-11.17,1.08,5.87,0.13,#DIV/0!,2.63,0.82,7.01,"337,800",12.1x,18.0x,18.0x,1.7x,1.3x,34.8x,2.1x,0.5,7.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Stantec Inc,1.83,1.83,0.21,0.19,1.83,0.0248,0.0141,0.8367,0.0118,1.5100,0.5240,0.4760,1.1009,-8.89,0.73,5.70,0.08,#DIV/0!,2.71,0.84,4.52,"368,800",11.5x,15.4x,35.2x,1.5x,1.3x,20.9x,1.8x,0.55,8.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Stantec Inc,1.57,1.57,0.22,0.45,1.57,0.1036,0.0524,0.8136,0.0426,1.7400,0.5885,0.4115,1.4301,-4.81,1.42,6.19,0.17,#DIV/0!,2.97,0.81,6.47,"434,000",13.1x,17.0x,51.8x,1.6x,1.5x,23.6x,2.2x,0.58,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Stantec Inc,1.59,1.59,0.29,0.61,1.59,0.0887,0.0464,0.8395,0.0390,1.4300,0.5604,0.4396,1.2749,-5.40,0.90,5.59,0.25,#DIV/0!,3.26,0.84,6.38,"439,800",12.4x,16.4x,11.6x,1.7x,1.5x,24.8x,2.3x,0.62,7.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Stantec Inc,1.41,1.41,0.16,0.34,1.41,0.1002,0.0552,0.6957,0.0384,1.8000,0.6169,0.3831,1.6103,-7.94,1.77,7.84,0.12,#DIV/0!,2.78,0.70,7.50,"411,400",20.2x,24.5x,25.3x,2.7x,2.4x,39.7x,3.9x,0.66,7.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Stantec Inc,1.37,1.37,0.11,0.22,1.37,0.1080,0.0554,0.7885,0.0437,2.2300,0.5955,0.4045,1.4724,-6.08,1.01,6.37,0.09,#DIV/0!,2.70,0.79,8.44,"528,500",19.9x,26.9x,47.3x,2.5x,2.4x,36.3x,3.9x,0.72,7.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
