Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Thomson Reuters Corp,0.82,0.81,0.28,0.44,0.82,0.0083,0.0108,0.3916,0.0057,0.1800,0.4935,0.5065,0.9744,-2.79,0.75,6.00,0.13,199.93,7.33,0.39,-14.75,"2,836,501.2",13.2x,21.0x,34.9x,1.5x,2.9x,37.6x,1.8x,0.7605,9.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Thomson Reuters Corp,0.79,0.79,0.22,0.53,0.79,0.1302,0.1514,0.4120,0.0640,3.0100,0.5209,0.4791,1.0873,-4.15,1.37,5.87,0.15,245.24,7.04,0.41,-13.26,"3,145,318.12",14.9x,24.6x,21.8x,1.6x,3.1x,80.1x,2.2x,1.6837,9.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Thomson Reuters Corp,0.66,0.65,0.18,0.52,0.66,0.0958,0.1115,0.3867,0.0450,2.0900,0.5500,0.4500,1.2223,-2.73,2.24,6.82,0.18,247.33,6.57,0.39,-6.08,"3,259,190.52",15.3x,25.1x,47.9x,1.7x,3.2x,15.5x,2.3x,2.0478,7.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Thomson Reuters Corp,1.02,1.01,0.52,0.65,1.02,0.2337,0.2774,0.4009,0.1131,1.9900,0.5241,0.4759,1.1011,-4.40,3.69,6.13,0.20,250.63,8.41,0.40,155.08,"3,199,940.06",17.6x,27.5x,886.4x,1.9x,3.6x,29.2x,2.8x,2.0115,9.8,9,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Thomson Reuters Corp,0.62,0.61,0.18,0.42,0.62,0.1028,0.2634,0.2000,0.0551,1.1000,0.4873,0.5127,0.9506,-3.14,0.86,10.26,0.16,117.84,3.74,0.20,-2.91,"1,581,545.02",23.6x,31.5x,19.1x,1.8x,5.6x,57.0x,2.4x,1.9109,8.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Thomson Reuters Corp,1.68,1.67,1.01,0.77,1.68,0.4270,0.7150,0.3232,0.2364,0.1500,0.4588,0.5412,0.8478,-2.03,0.51,7.24,0.26,117.48,5.15,0.32,3.01,"1,471,448.44",27.4x,34.2x,-2.5x,1.6x,5.8x,52.8x,2.0x,2.1048,8.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Thomson Reuters Corp,0.95,0.95,0.26,0.22,0.95,0.1636,0.2648,0.3415,0.0904,4.0600,0.4472,0.5528,0.8091,-4.18,4.18,7.15,0.09,183.65,5.27,0.34,-39.91,"1,404,966.18",34.2x,44.4x,3.1x,3.1x,6.2x,250.1x,4.2x,1.8698,7.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Thomson Reuters Corp,1.50,1.49,0.67,0.66,1.50,0.1124,0.1875,0.3347,0.0627,2.9400,0.4419,0.5581,0.7917,-16.84,0.97,5.69,0.22,151.69,5.33,0.33,4.52,"1,767,391.38",29.6x,36.3x,46.7x,3.2x,7.0x,21.6x,4.3x,1.9341,9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Thomson Reuters Corp,0.95,0.94,0.30,0.69,0.95,0.4112,0.8962,0.2866,0.2569,14.5700,0.3754,0.6246,0.6011,-43.16,6.29,5.04,0.21,147.82,6.12,0.29,-49.59,"2,086,474.5",33.5x,38.3x,32.4x,3.3x,8.5x,9.0x,4.1x,2.0485,8.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Thomson Reuters Corp,0.57,0.57,0.22,0.39,0.57,0.1126,0.2019,0.3052,0.0616,3.8800,0.4526,0.5474,0.8268,-7.37,5.91,5.08,0.19,140.28,6.37,0.31,-3.19,"2,619,893.25",30.6x,33.4x,39.7x,3.9x,8.9x,44.4x,5.2x,2.41,6.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
