Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Toromont Industries Ltd.,2.19,1.08,0.24,0.67,2.19,0.2134,0.0772,1.5462,0.1194,1.6100,0.4405,0.5595,0.7874,-35.50,6.11,1.95,0.44,3.62,7.43,1.55,4.47,"232,639",9.0x,11.7x,25.0x,3.1x,1.4x,15.3x,3.8x,0.26,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Toromont Industries Ltd.,1.73,0.82,0.21,0.36,1.73,0.1994,0.0802,1.4988,0.1202,1.7300,0.3969,0.6031,0.6582,-45.81,16.95,1.77,0.33,3.40,7.65,1.50,5.63,"248,997",9.9x,13.7x,61.1x,3.0x,1.5x,18.0x,3.5x,0.6,8.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Toromont Industries Ltd.,2.55,1.07,0.21,0.09,2.55,0.1879,0.0808,1.4123,0.1142,1.8800,0.3924,0.6076,0.6460,-38.98,0.21,1.80,0.06,2.93,7.85,1.41,3.71,"277,973",9.7x,13.0x,47.3x,2.5x,1.5x,16.7x,3.3x,0.68,9.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Toromont Industries Ltd.,2.82,1.44,0.60,0.60,2.82,0.1759,0.0815,1.3714,0.1117,1.9900,0.3649,0.6351,0.5746,-66.92,38.33,1.77,0.37,3.31,7.73,1.37,3.32,"287,901",11.7x,16.0x,11.8x,3.4x,1.8x,21.5x,3.9x,0.72,10.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Toromont Industries Ltd.,2.08,0.99,0.23,0.37,2.08,0.1565,0.0749,0.8197,0.0614,2.2200,0.6077,0.3923,1.5490,-32.76,27.73,5.15,0.15,2.31,5.01,0.82,3.06,"338,327",14.7x,19.8x,29.3x,4.0x,2.2x,27.5x,4.6x,0.76,7.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Toromont Industries Ltd.,1.58,0.80,0.31,0.45,1.58,0.1898,0.0719,1.0834,0.0779,3.1000,0.5895,0.4105,1.4362,-17.01,1.85,3.74,0.27,3.02,6.94,1.08,5.36,"509,174",10.3x,14.5x,11.3x,2.5x,1.4x,19.5x,3.4x,0.92,7.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Toromont Industries Ltd.,1.83,0.92,0.37,0.15,1.83,0.1870,0.0780,1.0912,0.0851,3.5200,0.5450,0.4550,1.1979,-22.97,5.02,3.26,0.08,3.04,7.38,1.09,4.44,"562,991",11.2x,15.5x,22.1x,2.9x,1.7x,20.5x,4.0x,1.08,8.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Toromont Industries Ltd.,2.36,1.44,0.74,0.44,2.36,0.1501,0.0733,1.0395,0.0762,3.1000,0.4925,0.5075,0.9703,-17.82,11.17,3.14,0.21,3.63,6.71,1.04,3.23,"524,863",14.2x,19.9x,22.8x,3.3x,2.1x,28.7x,4.5x,1.24,9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Toromont Industries Ltd.,2.59,1.71,1.13,0.67,2.59,0.1703,0.0856,1.0845,0.0928,4.0300,0.4550,0.5450,0.8347,-24.87,18.71,2.60,0.33,4.05,8.86,1.08,3.00,"627,662",15.5x,20.6x,20.0x,3.7x,2.4x,29.8x,5.0x,1.4,9.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Toromont Industries Ltd.,2.43,1.46,0.88,0.21,2.43,0.1953,0.1074,1.0116,0.1086,5.5200,0.4440,0.5560,0.7985,-122.24,15.29,2.39,0.12,3.02,7.53,1.01,2.80,"777,099",11.2x,13.9x,26.2x,2.9x,2.1x,19.7x,3.9x,1.56,9.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
